鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,建物,新竹縣竹北市莊敬六街35號9樓,0.0,,,,1020428,土地0建物1車位0,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930517,143.09,3,2,2,有,有,有,22000,154,,0.0,0,,RPVNMLMJNHIFFBJ48CC
竹北市,建物,新竹縣竹北市文化街16巷10號3樓,0.0,,,,1020428,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940616,92.43,2,2,1,有,有,有,14000,151,,0.0,0,租金含管,RPWNMLMJNHIFFBJ58CC
竹北市,建物,新竹縣竹北市光明九路38號6樓之6,0.0,,,,1020427,土地0建物1車位0,六層,10,套房(1房1廳1衛),商業用,鋼筋混凝土造,0910627,37.839999999999996,1,1,1,有,有,有,8500,225,,0.0,0,,RPXNMLMJNHIFFBJ68CC
竹北市,建物,新竹縣竹北市自強北路168巷15號11樓,0.0,,,,1020430,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940131,261.72,2,2,3,有,有,有,33000,126,,0.0,0,,RPOOMLMJNHIFFBJ87CC
竹北市,建物,新竹縣竹北市隘口一街5號10樓之3,0.0,,,,1020418,土地0建物1車位0,十層,10,套房(1房1廳1衛),商業用,鋼筋混凝土造,0970310,38.69,2,1,1,有,有,有,10000,258,,0.0,0,,RPQOMLMJNHIFFBJ08CC
竹北市,建物,新竹縣竹北市成功十五街62號,92.77,,,,1020501,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,1010104,53.34,3,0,3,有,無,有,18000,337,,0.0,0,,RPUPMLMJNHIFFBJ58CC
竹北市,建物,新竹縣竹北市文興路二段86號,48.3,住,,,1020501,土地0建物1車位0,三層,3,店面(店鋪),商業用,鋼筋混凝土造,0970201,253.4,1,1,2,有,無,有,35000,138,,0.0,0,,RPQPMLSJNHIFFBJ78CC
竹北市,建物,新竹縣竹北市高鐵七路65號9樓之10,0.0,,,,1020509,土地0建物1車位0,九層,18,辦公商業大樓,商業用,鋼筋混凝土造,0990208,45.51,0,0,0,無,有,無,23500,516,,0.0,0,,RPPNMLLKNHIFFBJ87CC
竹北市,建物,新竹縣竹北市民權街58號5樓,0.0,住,,,1020506,土地0建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860107,140.18,3,2,2,有,有,有,21000,150,坡道機械,0.0,0,,RPQQMLPKNHIFFBJ68CC
竹北市,建物,新竹縣竹北市勝利六街39號6樓,0.0,,,,1020501,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931018,122.84,3,2,2,有,有,有,18000,147,,0.0,0,租金含管,RPVRMLLLNHIFFBJ98CC
