編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMJNHIFFBJ48CC,9,110.30,住家用,鋼筋混凝土造,93年5月17日,二十一層,
RPVNMLMJNHIFFBJ48CC,9,24.53,共用部分,鋼筋混凝土造,93年5月17日,二十一層,
RPVNMLMJNHIFFBJ48CC,9,8.26,共用部分,鋼筋混凝土造,93年5月17日,二十一層,
RPOOMLMJNHIFFBJ87CC,8,202.84,住家用,鋼筋混凝土造,94年1月31日,十四層,
RPOOMLMJNHIFFBJ87CC,8,27.45,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPOOMLMJNHIFFBJ87CC,8,31.43,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPWNMLMJNHIFFBJ58CC,8,68.43,住家用,鋼筋混凝土造,94年6月16日,十三層,
RPWNMLMJNHIFFBJ58CC,8,14.37,共用部分,鋼筋混凝土造,94年6月16日,十三層,
RPWNMLMJNHIFFBJ58CC,8,9.63,共用部分,鋼筋混凝土造,94年6月16日,十三層,
RPQOMLMJNHIFFBJ08CC,5,27.37,商業用,鋼筋混凝土造,97年3月10日,十層,
RPQOMLMJNHIFFBJ08CC,5,11.32,共用部分,鋼筋混凝土造,97年3月10日,十層,
RPUPMLMJNHIFFBJ58CC,1,53.34,住商用,鋼筋混凝土造,101年1月4日,五層,
RPXNMLMJNHIFFBJ68CC,11,24.99,商業用,鋼筋混凝土造,91年6月27日,十層,
RPXNMLMJNHIFFBJ68CC,11,12.85,共用部分,鋼筋混凝土造,91年6月27日,十一層,
RPXSMLLLNHIFFBJ66CC,2,91.27,住家用,鋼筋混凝土造,99年12月14日,十三層,
RPXSMLLLNHIFFBJ66CC,2,49.13,本共有部分之項目有防空避難室、停車空間、垃圾處理室、管理空間、廣場式開放空間、蓄水池、消防泵浦室等七項,鋼筋混凝土造,99年12月14日,十五層,
RPXSMLLLNHIFFBJ66CC,2,18.67,本共有部分之項目有梯間等一項,鋼筋混凝土造,99年12月14日,十三層,
RPQQMLPKNHIFFBJ68CC,16,113.08,住家用,鋼筋混凝土造,86年1月7日,八層,
RPQQMLPKNHIFFBJ68CC,16,11.64,共用部分,鋼筋混凝土造,86年1月7日,八層,
RPQQMLPKNHIFFBJ68CC,16,15.46,共用部分,鋼筋混凝土造,86年1月7日,八層,
RPQPMLSJNHIFFBJ78CC,5,253.40,商業用,鋼筋混凝土造,97年2月1日,十九層,
RPWSMLLLNHIFFBJ56CC,2,87.87,住家用,鋼筋混凝土造,100年1月28日,十四層,
RPWSMLLLNHIFFBJ56CC,2,23.54,本共有部分之項目有車道、資源回收室、管理員室、公共服務空間、開放空間、梯間、機械室、水箱等八項。,鋼筋混凝土造,100年1月28日,十四層,
RPWSMLLLNHIFFBJ56CC,2,80.85,本共有部分之項目有停車空間、防空避難室等二項。,鋼筋混凝土造,100年1月28日,十四層,
RPPNMLLKNHIFFBJ87CC,3,45.51,商業用,鋼筋混凝土造,99年2月8日,十八層,
RPOSMLLLNHIFFBJ38CC,1,95.47,住家用,鋼筋混凝土造,100年12月22日,十三層,
RPOSMLLLNHIFFBJ38CC,1,18.60,梯間,鋼筋混凝土造,100年12月22日,十三層,
RPOSMLLLNHIFFBJ38CC,1,61.20,本共有部分之項目有防空避難室、停車空間、頂蓋型開放空間、戶外安全梯、及梯廳、管理員室、垃圾儲藏室、梯間、水箱等九項,鋼筋混凝土造,100年12月22日,十三層,
RPTNMLLLNHIFFCJ48CC,11,288.40,住家用,鋼筋混凝土造,91年4月1日,三層,
RPVNMLMLNHIFFBJ78DC,6,378.13,住商用,鋼筋混凝土造,96年8月15日,五層,
RPVRMLLLNHIFFBJ98CC,9,89.96,住家用,鋼筋混凝土造,93年10月18日,十四層,
RPVRMLLLNHIFFBJ98CC,9,20.79,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPVRMLLLNHIFFBJ98CC,9,12.09,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPTSMLLLNHIFFBJ88CC,8,76.53,住家用,鋼筋混凝土造,94年9月23日,十五層,
RPTSMLLLNHIFFBJ88CC,8,10.38,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPTSMLLLNHIFFBJ88CC,8,15.31,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPQPMLNLNHIFFBJ48CC,4,22.98,住商用,鋼筋混凝土造,98年11月12日,四層,
RPPPMLNLNHIFFBJ38CC,8,72.08,商業用,鋼筋混凝土造,94年5月4日,七層,
RPPPMLNLNHIFFBJ38CC,8,13.13,共用部分,鋼筋混凝土造,94年5月4日,七層,
RPPPMLNLNHIFFBJ38CC,8,60.69,共用部分,鋼筋混凝土造,94年5月4日,七層,
RPOTMLLLNHIFFBJ48CC,9,87.93,住家用,鋼筋混凝土造,93年10月18日,十四層,
RPOTMLLLNHIFFBJ48CC,9,20.33,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPOTMLLLNHIFFBJ48CC,10,11.74,住家用,鋼筋混凝土造,92年2月27日,十層,
RPTOMLNLNHIFFBJ68CC,6,27.08,商業用,鋼筋混凝土造,96年6月6日,六層,
RPTOMLNLNHIFFBJ68CC,6,12.78,共用部分,鋼筋混凝土造,96年6月6日,六層,
RPWOMLNLNHIFFBJ98CC,1,102.36,住家用,鋼筋混凝土造,101年6月25日,十四層,
RPWOMLNLNHIFFBJ98CC,1,81.45,本共有部分之項目有防空避難室兼停車空間，廣場式開放空間，公共服務空間，梯間，機械室等五項。,鋼筋混凝土造,101年6月25日,十四層,
RPXOMLNLNHIFFBJ09CC,10,84.79,住家用,鋼筋混凝土造,92年2月27日,十層,
RPXOMLNLNHIFFBJ09CC,9,19.64,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPXOMLNLNHIFFBJ09CC,9,11.40,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPRTMLLLNHIFFBJ78CC,4,27.46,商業用,鋼筋混凝土造,97年11月28日,七層,
RPRTMLLLNHIFFBJ78CC,4,14.88,共用部分,鋼筋混凝土造,97年11月28日,七層,
RPRTMLLLNHIFFBJ78CC,4,4.25,共用部分,鋼筋混凝土造,97年11月28日,七層,
RPWTMLLLNHIFFBJ66CC,5,39.51,住家用,鋼筋混凝土造,96年12月28日,九層,
RPWTMLLLNHIFFBJ66CC,5,47.16,共用部分,鋼筋混凝土造,96年12月28日,九層,
RPWTMLLLNHIFFBJ66CC,5,8.53,共用部分,鋼筋混凝土造,96年12月28日,九層,
RPTTMLLLNHIFFBJ98CC,9,25.39,住商用,鋼筋混凝土造,93年6月11日,十四層,
RPTTMLLLNHIFFBJ98CC,9,4.28,共用部分,鋼筋混凝土造,93年6月11日,十四層,
RPTTMLLLNHIFFBJ98CC,9,7.15,共用部分,鋼筋混凝土造,93年6月11日,十四層,
RPRRMLRLNHIFFBJ56CC,20,100.00,住家用,鋼筋混凝土造,82年9月14日,七層,
RPXOMLLMNHIFFDJ56CC,4,101.32,集合住宅,鋼筋混凝土造,98年8月18日,七層,
RPTPMLNLNHIFFBJ78CC,5,28.46,商業用,鋼筋混凝土造,97年3月21日,十三層,
RPTPMLNLNHIFFBJ78CC,5,2.60,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPTPMLNLNHIFFBJ78CC,5,10.35,共用部分,鋼筋混凝土造,97年3月21日,十三層,
RPUPMLNLNHIFFBJ88CC,2,71.14,住家用,鋼筋混凝土造,99年12月14日,十五層,
RPUPMLNLNHIFFBJ88CC,2,43.64,本共有部分之項目有防空避難室、停車空間、垃圾處理室、管理空間、廣場式開放空間、蓄水池、消防泵浦室等七項,鋼筋混凝土造,99年12月14日,十五層,
RPUPMLNLNHIFFBJ88CC,2,17.09,本共有部分之項目有梯間等一項,鋼筋混凝土造,99年12月14日,十五層,
