編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLMJNHIFFBJ48CC,大學段,.00,非都市： ; 非都市編定：,,,,02200000
RPOOMLMJNHIFFBJ87CC,大學段,.00,非都市： ; 非都市編定：,,,,06380000
RPWNMLMJNHIFFBJ58CC,竹仁段,.00,非都市： ; 非都市編定：,,,,00450000
RPQOMLMJNHIFFBJ08CC,隘興段,.00,非都市： ; 非都市編定：,,,,05430000
RPUPMLMJNHIFFBJ58CC,自強段,92.77,非都市： ; 非都市編定：,,,,02230002
RPXNMLMJNHIFFBJ68CC,縣福段,.00,非都市： ; 非都市編定：,,,,02410000
RPXSMLLLNHIFFBJ66CC,隘興段,.00,非都市： ; 非都市編定：,,,,04080000
RPQQMLPKNHIFFBJ68CC,豆子埔段,.00,都市：住,,,,09870000
RPQPMLSJNHIFFBJ78CC,家興段,48.30,都市：住,,,,02790000
RPWSMLLLNHIFFBJ56CC,自強段,.00,非都市： ; 非都市編定：,,,,00800000
RPPNMLLKNHIFFBJ87CC,世興段,.00,非都市： ; 非都市編定：,,,,00270000
RPOSMLLLNHIFFBJ38CC,永興段,.00,非都市： ; 非都市編定：,,,,05440000
RPTNMLLLNHIFFCJ48CC,二坪段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,05870000
RPVNMLMLNHIFFBJ78DC,東興段,107.58,都市：住,,,,07050000
RPVRMLLLNHIFFBJ98CC,大學段,.00,非都市： ; 非都市編定：,,,,00240000
RPTSMLLLNHIFFBJ88CC,大學段,.00,非都市： ; 非都市編定：,,,,02140000
RPQPMLNLNHIFFBJ48CC,府前段,.00,非都市： ; 非都市編定：,,,,12290000
RPPPMLNLNHIFFBJ38CC,公園段,.00,非都市： ; 非都市編定：,,,,01740000
RPOTMLLLNHIFFBJ48CC,大學段,.00,非都市： ; 非都市編定：,,,,00240000
RPTOMLNLNHIFFBJ68CC,公園段,.00,非都市： ; 非都市編定：,,,,07320000
RPWOMLNLNHIFFBJ98CC,莊敬段,.00,非都市： ; 非都市編定：,,,,01760000
RPXOMLNLNHIFFBJ09CC,大學段,.00,非都市： ; 非都市編定：,,,,00240000
RPRTMLLLNHIFFBJ78CC,公園段,.00,非都市： ; 非都市編定：,,,,00340000
RPWTMLLLNHIFFBJ66CC,隘興段,.00,非都市： ; 非都市編定：,,,,06250001
RPTTMLLLNHIFFBJ98CC,公園段,.00,非都市： ; 非都市編定：,,,,04660000
RPRRMLRLNHIFFBJ56CC,新國段,.00,都市：住,,,,08830000
RPXOMLLMNHIFFDJ56CC,泰豐段,40.04,都市：住,,,,07300001
RPTPMLNLNHIFFBJ78CC,永興段,.00,非都市： ; 非都市編定：,,,,05060000
RPUPMLNLNHIFFBJ88CC,隘興段,.00,非都市： ; 非都市編定：,,,,04080000
RPSPMLNLNHIFFBJ68CC,永興段,.00,非都市： ; 非都市編定：,,,,05060000
RPRPMLNLNHIFFBJ58CC,大學段,.00,非都市： ; 非都市編定：,,,,00240000
RPWPMLNJOHIFFBJ98CC,世興段,.00,非都市： ; 非都市編定：,,,,00270000
RPQPMLNJOHIFFBJ38CC,世興段,.00,非都市： ; 非都市編定：,,,,00440000
RPUPMLNJOHIFFBJ78CC,翰林段,.00,非都市： ; 非都市編定：,,,,06070000
RPTUMLRLNHIFFBJ07CC,縣福段,.00,都市：住,,,,02270000
RPTUMLRLNHIFFBJ07CC,縣福段,.00,都市：住,,,,02280000
RPTUMLRLNHIFFBJ07CC,縣福段,.00,都市：住,,,,02290000
RPVPMLNJOHIFFBJ88CC,永興段,.00,非都市： ; 非都市編定：,,,,05900000
RPRPMLNJOHIFFBJ48CC,公園段,.00,非都市： ; 非都市編定：,,,,04770000
RPSPMLNJOHIFFBJ58CC,隘興段,.00,非都市： ; 非都市編定：,,,,06220001
RPWNMLOKOHIFFBJ09DC,家興段,.00,非都市： ; 非都市編定：,,,,06650000
RPSOMLTKOHIFFBJ56CC,永興段,.00,都市：商,,,,05060000
RPSOMLOKOHIFFBJ68CC,自強段,.00,都市：住,,,,02230002
RPVNMLKLOHIFFBJ58CC,永興段,.00,非都市： ; 非都市編定：,,,,05060000
RPTOMLOJOHIFFBJ68CC,大學段,.00,都市：商,,,,02200000
RPQOMLOKOHIFFBJ48CC,自強段,.00,都市：住,,,,02230002
RPXNMLNKOHIFFBJ98CC,自強段,166.06,都市：住,,,,00950000
RPXNMLNKOHIFFBJ98CC,自強段,391.96,都市：住,,,,00960000
RPUOMLKLOHIFFBJ58CC,大學段,.00,非都市： ; 非都市編定：,,,,02140000
RPOOMLKLOHIFFBJ97CC,公園段,.00,非都市： ; 非都市編定：,,,,02910000
RPROMLKLOHIFFBJ28CC,大學段,.00,非都市： ; 非都市編定：,,,,02190000
RPSOMLKLOHIFFBJ38CC,台科段,.00,非都市： ; 非都市編定：,,,,00560000
RPTOMLKLOHIFFBJ48CC,大學段,.00,非都市： ; 非都市編定：,,,,02190000
RPWNMLKLOHIFFBJ68CC,公園段,.00,非都市： ; 非都市編定：,,,,01740000
RPPOMLKLOHIFFBJ08CC,大學段,.00,非都市： ; 非都市編定：,,,,00310000
RPXNMLKLOHIFFBJ78CC,永興段,.00,非都市： ; 非都市編定：,,,,05060000
RPQOMLKLOHIFFBJ18CC,隘興段,.00,非都市： ; 非都市編定：,,,,06250001
