鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
苗栗市,土地,西山段391-6地號,575.0,住,,,1020403,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,17391,,0.0,0,,RPPOMLLJNHIFFBK77CA,0.0,0.0,0.0,,
苗栗市,房地(土地+建物),苗栗縣苗栗巿清華里１２鄰長安街２５號三樓,26.56,住,,,1020416,土地2建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810401,116.86,3,2,2,有,無,3300000,28239,,0.0,0,,RPVNMLMJNHIFFBK38CA,0.0,0.0,0.0,,
公館鄉,房地(土地+建物),苗栗縣苗栗巿玉泉村１４鄰玉泉３７２號,264.56,住,,,1020410,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1010402,559.98,5,4,6,有,無,17880000,31930,,0.0,0,,RPPNMLNJNHIFFBK87CA,510.23,16.21,33.54,,
公館鄉,房地(土地+建物),苗栗縣公館鄉玉泉村14鄰玉泉372號,264.56,住,,,1020410,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1010402,559.98,5,4,6,有,無,17880000,31930,,0.0,0,,SPPNMLNJNHIFFBK97CA,510.23,16.21,33.54,,
頭屋鄉,土地,明德段915地號,225.17,住,,,1020408,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,7994,,0.0,0,,RPTNMLQKNHIFFBK68CA,0.0,0.0,0.0,,
苗栗市,房地(土地+建物),苗栗縣苗栗巿恭敬里１０鄰中正路１１６４號,130.5,住,,,1020329,土地10建物1車位0,全,,透天厝,住商用,鋼筋混凝土造,0801231,126.02,5,2,3,有,無,6500000,51579,,0.0,0,兄弟買賣只賣1/2持分親友、員工或其他特殊關係間之交易。,RPROMLRLOHIFFBK88CA,119.48,0.0,6.54,,
通霄鎮,土地,烏眉坑段91地號,1305.0,,山坡地保育區,農牧用地,1020325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110000,84,,0.0,0,急買急賣。,RPPNMLQJNHIFFCK28CA,0.0,0.0,0.0,,
通霄鎮,土地,土城段6-4地號,2520.0,,山坡地保育區,農牧用地,1020122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,1548,,0.0,0,1.經農地改良完成本案標的包含高價值經濟作物2. 本案由買賣雙方自行訂立契約，依據當事人同意以新台幣390萬元整申報,RPSNMLSJNHIFFCK78CA,0.0,0.0,0.0,,
通霄鎮,土地,土城段6-10地號,2688.0,,山坡地保育區,農牧用地,1020429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,1749,,0.0,0,1.經農地改良完成本案標的包含高價值經濟作物2. 本案由買賣雙方自行訂立契約，依據當事人同意以新台幣470萬元整申報,RPTNMLSJNHIFFCK88CA,0.0,0.0,0.0,,
苑裡鎮,土地,新興段112地號,2875.27,住,,,1020227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52000000,18085,,0.0,0,,RPUNMLKKNHIFFCK28CA,0.0,0.0,0.0,,
苑裡鎮,土地,苑坑段424-3地號,250.52,,,,1020417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250520,1000,,0.0,0,,RPPNMLSKNHIFFCK58CA,0.0,0.0,0.0,,
後龍鎮,房地(土地+建物),苗栗縣後龍鎮大庄里５鄰光華路５０７之６號,76.09,住,,,1020412,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0960810,158.91,4,1,3,有,無,6000000,37757,,0.0,0,,RPWNMLMJNHIFFDK68CA,129.67,10.72,18.52,,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮營盤里１０鄰建興街３２之３號,47.25,住,,,1020409,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690306,117.06,4,2,2,有,無,1950000,16658,,0.0,0,,RPXNMLMJNHIFFDK78CA,107.3,0.0,0.0,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮山佳里２２鄰佳北二街９７巷３５弄１號二樓之七,25.64,住,,,1020412,土地4建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840714,137.97,3,2,2,有,無,2900000,21019,坡道平面,0.0,0,,RPPOMLMJNHIFFDK08CA,99.3,0.0,12.12,,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮營盤里9鄰環市路三段12巷70號,90.34,住,,,1020330,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1011122,233.14,5,2,4,有,無,10500000,45037,,0.0,0,,RPQOMLMJNHIFFDK18CA,219.03,1.1,13.01,,
後龍鎮,土地,龍坑段1161-12地號,492.9,,,,1020410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,261237,530,,0.0,0,,RPROMLMJNHIFFDK28CA,0.0,0.0,0.0,,
竹南鎮,土地,海口段海口小段849地號,3253.0,農,特定農業區,農牧用地,1020418,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15250000,4688,,0.0,0,,RPSOMLMJNHIFFDK38CA,0.0,0.0,0.0,,
竹南鎮,土地,大同段1360地號,378.95,住,,,1020415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16080000,42433,,0.0,0,,RPWNMLNJNHIFFDK78CA,0.0,0.0,0.0,,
竹南鎮,土地,大同段967地號,1028.22,住,,,1020408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39343000,38263,,0.0,0,,RPUNMLRJNHIFFDK98CA,0.0,0.0,0.0,,
竹南鎮,土地,西崎頂段1202地號,1065.29,農,一般農業區,農牧用地,1020409,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,3285,,0.0,0,,RPTNMLSJNHIFFDK98CA,0.0,0.0,0.0,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮中華里１６鄰萬大街７３號二樓之一,21.03,住,,,1020401,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820618,132.15,3,2,2,有,有,3000000,22701,坡道機械,0.0,0,,RPSNMLTJNHIFFDK98CA,85.04,0.0,11.91,,
竹南鎮,土地,大同段735地號,2447.02,住,,,1020401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110290000,45071,,0.0,0,,RPOPMLNKNHIFFDK28CA,0.0,0.0,0.0,,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉大西村８鄰十字路７０之１號,2533.92,,山坡地保育區,丁種建築用地,1020321,土地3建物1車位0,一層,一層,工廠,工業用,鋼造,0761226,1595.74,0,0,0,無,無,20400000,,,0.0,0,,RPROMLMLNHIFFDK48CA,1595.74,0.0,0.0,,
後龍鎮,土地,苦苓腳段2296地號,1767.0,農,特定農業區,農牧用地,1020422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1698,,0.0,0,,RPQOMLNLNHIFFDK48CA,0.0,0.0,0.0,,
後龍鎮,房地(土地+建物),苗栗縣後龍鎮埔頂里２０鄰中華路１０１３巷１０號,72.0,住,特定農業區,甲種建築用地,1020303,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0890608,173.28,4,2,3,有,無,3500000,20199,,0.0,0,,RPWOMLNLNHIFFDK09CA,148.72,14.38,10.18,,
