編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNJNHIFFBK87CA,台蠶段,264.56,都市：住,1,1,全筆移轉,00320003
RPPOMLLJNHIFFBK77CA,西山,262.00,都市：住,1,1,全筆移轉,03910001
RPPOMLLJNHIFFBK77CA,西山,224.00,都市：住,1,1,全筆移轉,03910003
RPPOMLLJNHIFFBK77CA,西山,89.00,都市：住,1,1,全筆移轉,03910006
SPPNMLNJNHIFFBK97CA,台蠶段,264.56,都市：住,1,1,全筆移轉,00320003
RPTNMLQKNHIFFBK68CA,明德段,3.64,都市：住,1,1,全筆移轉,08950000
RPTNMLQKNHIFFBK68CA,明德段,11.69,都市：住,1,1,全筆移轉,08960000
RPTNMLQKNHIFFBK68CA,明德段,73.60,都市：住,1,1,全筆移轉,08970000
RPTNMLQKNHIFFBK68CA,明德段,118.19,都市：住,1,1,全筆移轉,09110000
RPTNMLQKNHIFFBK68CA,明德段,11.01,都市：住,1,1,全筆移轉,09120000
RPTNMLQKNHIFFBK68CA,明德段,3.54,都市：住,1,1,全筆移轉,09130000
RPTNMLQKNHIFFBK68CA,明德段,.84,都市：住,1,1,全筆移轉,09140000
RPTNMLQKNHIFFBK68CA,明德段,2.66,都市：住,1,1,全筆移轉,09150000
RPVNMLMJNHIFFBK38CA,芒埔段,26.39,都市：住,91800,2656,持分移轉,02600004
RPVNMLMJNHIFFBK38CA,芒埔段,.17,都市：其他:,91800,2656,持分移轉,02600066
RPUNMLKKNHIFFCK28CA,新興段,2875.27,都市：住,1,1,全筆移轉,01120000
RPPNMLQJNHIFFCK28CA,烏眉坑段,1305.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00910000
RPTNMLSJNHIFFCK88CA,土城段,2688.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00060010
RPSNMLSJNHIFFCK78CA,土城段,2520.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00060004
RPWNMLMJNHIFFDK68CA,龍東段,18.00,都市：住,1,1,全筆移轉,02030007
RPWNMLMJNHIFFDK68CA,龍東段,3.09,都市：住,11,1,持分移轉,02030034
RPWNMLMJNHIFFDK68CA,龍北段,55.00,都市：住,1,1,全筆移轉,06020012
RPXNMLMJNHIFFDK78CA,中興段,47.25,都市：住,12,1,持分移轉,09990000
RPQOMLMJNHIFFDK18CA,中興段,66.09,都市：住,1,1,全筆移轉,11600007
RPQOMLMJNHIFFDK18CA,中興段,18.92,都市：住,31,1,持分移轉,11600000
RPQOMLMJNHIFFDK18CA,中興段,5.32,都市：住,31,1,持分移轉,11600032
RPPOMLMJNHIFFDK08CA,天聲段,23.27,都市：住,27862,421,持分移轉,05190000
RPPOMLMJNHIFFDK08CA,天聲段,.32,都市：住,27862,1206,持分移轉,05200001
RPPOMLMJNHIFFDK08CA,天聲段,.27,都市：住,27862,1206,持分移轉,05200002
RPPOMLMJNHIFFDK08CA,天聲段,1.79,都市：住,27862,421,持分移轉,05210000
RPROMLMJNHIFFDK28CA,龍坑段,239.20,非都市： ; 非都市編定：,1,1,全筆移轉,11610011
