鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南投市,土地,包尾段1287地號,1926.0,農,,,1020417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,3634,,0.0,0,權利人共有兩位,RPPOMLRJNHIFFAM48CA,0.0,0.0,0.0,,
南投市,房地(土地+建物),南投縣南投巿南新路３５１巷２６號,105.6,住,,,1020228,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1011008,194.72,4,2,3,有,無,10500000,53924,,0.0,0,,RPTNMLQJNHIFFAM68CA,178.74,0.0,15.98,,
草屯鎮,土地,新埔段607地號,1244.09,,特定農業區,農牧用地,1020325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,6832,,0.0,0,含未登記建物。,RPUNMLMJNHIFFBM48CA,0.0,0.0,0.0,,
草屯鎮,房地(土地+建物),南投縣草屯鎮芬草路二段３８６巷３２弄２３號,72.0,,鄉村區,乙種建築用地,1020419,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830905,146.04,4,2,3,有,無,4300000,29444,,0.0,0,,RPWNMLMJNHIFFBM68CA,130.34,0.0,15.7,,
草屯鎮,土地,新永安段109地號,702.0,農,,,1020307,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5940000,8462,,0.0,0,含未登記建物。,RPPNMLOJNHIFFBM18CA,0.0,0.0,0.0,,
草屯鎮,土地,上林段768地號,96.59,,,,1020403,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,32612,,0.0,0,,RPVNMLSJNHIFFBM56CA,0.0,0.0,0.0,,
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路１４２號,82.67,,鄉村區,乙種建築用地,1020330,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0740430,108.78,3,2,1,有,無,2100000,19305,,0.0,0,,RPSOMLSJNHIFFBM98CA,95.43,7.35,6.0,,
草屯鎮,土地,南坪段254地號,2774.17,,一般農業區,農牧用地,1020328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7100000,2559,,0.0,0,,RPQNMLSKNHIFFBM78CA,0.0,0.0,0.0,,
草屯鎮,土地,建興段1230地號,176.15,住,,,1020412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6700000,38036,,0.0,0,,RPSNMLSKNHIFFBM98CA,0.0,0.0,0.0,,
草屯鎮,土地,草屯段328地號,229.7,住,,,1020311,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,8707,,0.0,0,1.本件買賣包含未辦保存登記之建物 . 2.買受人2人各承買權利範圍1/2.親友、員工或其他特殊關係間之交易。,RPOOMLOLNHIFFBM38CA,0.0,0.0,0.0,,
國姓鄉,房地(土地+建物),南投縣埔里鎮長壽巷１０５之３號,332.0,,山坡地保育區,農牧用地,1020415,土地1建物1車位0,一層,一層,農舍,農舍,見其他登記事項,1011207,32.69,1,1,1,有,無,2600000,,,0.0,0,買清價格,RPQNMLMJNHIFFCM18CA,32.69,0.0,0.0,,
埔里鎮,土地,九芎林段196地號,3611.25,農,特定農業區,農牧用地,1020415,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14251500,3946,,0.0,0,,RPVNMLMJNHIFFCM68CA,0.0,0.0,0.0,,
埔里鎮,土地,埔里段信義小段163地號,272.0,住,,,1020415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,30147,,0.0,0,,RPWNMLMJNHIFFCM78CA,0.0,0.0,0.0,,
魚池鄉,土地,鹿篙段15-194地號,6504.0,,山坡地保育區,農牧用地,1020423,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1756080,270,,0.0,0,,RPPOMLNJNHIFFCM28CA,0.0,0.0,0.0,,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮信義路３３５巷３號五樓,26.61,住,,,1020417,土地1建物1車位1,五層,十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0931005,140.24,3,2,2,有,無,3500000,24957,升降機械,6.89,0,,RPQNMLQJNHIFFCM58CA,91.18,0.0,12.0,,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮信義路335巷3號5樓,26.61,住,,,1020417,土地1建物1車位1,五層,十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0931005,140.24,3,2,2,有,無,3500000,24957,升降機械,6.89,0,,SPQNMLQJNHIFFCM68CA,91.18,0.0,12.0,,
魚池鄉,房地(土地+建物),南投縣魚池鄉五城巷７１號,1060.0,,山坡地保育區,丙種建築用地,1020322,土地2建物1車位0,一層，二層,二層,工廠,住工用,見其他登記事項,0520801,890.45,4,1,3,有,無,3800000,,,0.0,0,,RPTNMLRJNHIFFCM98CA,890.45,0.0,0.0,,
埔里鎮,土地,四角城段750-36地號,195.04,,鄉村區,乙種建築用地,1020409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,29225,,0.0,0,,RPTOMLSJNHIFFCM56CA,0.0,0.0,0.0,,
埔里鎮,建物,南投縣埔里鎮西安路二段３０１巷１１號,0.0,,,,1020409,土地0建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,1020204,231.61,4,2,3,有,無,3800000,16407,,0.0,0,,RPUOMLSJNHIFFCM66CA,215.21,0.0,16.4,,
埔里鎮,土地,四角城段750-37地號,144.4,,鄉村區,乙種建築用地,1020410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,31163,,0.0,0,,RPVOMLSJNHIFFCM76CA,0.0,0.0,0.0,,
埔里鎮,建物,南投縣埔里鎮西安路二段３０１巷１２號,0.0,,,,1020410,土地0建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,1020204,181.97,4,2,3,有,無,3050000,16761,,0.0,0,,RPWOMLSJNHIFFCM86CA,165.71,0.0,16.26,,
埔里鎮,土地,水源段1511地號,2075.38,,特定農業區,農牧用地,1020404,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8780000,4231,,0.0,0,,RPTOMLKKNHIFFCM48CA,0.0,0.0,0.0,,
埔里鎮,土地,忠信段51-5地號,110.74,,鄉村區,乙種建築用地,1011226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,924420,8348,,0.0,0,,RPTNMLOKNHIFFCM78CA,0.0,0.0,0.0,,
埔里鎮,土地,忠信段51-9地號,119.83,,鄉村區,乙種建築用地,1011226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000300,8348,,0.0,0,,RPUNMLOKNHIFFCM88CA,0.0,0.0,0.0,,
埔里鎮,房地(土地+建物),南投縣埔里鎮安四街140巷1號,83.1,住,,,1020409,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0760930,163.56,5,2,3,有,無,4000000,24456,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLSKNHIFFCM88CA,163.56,0.0,0.0,,
國姓鄉,土地,北港溪段37-306地號,2508.0,農,山坡地保育區,農牧用地,1020401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8600000,3429,,0.0,0,,RPXNMLRKNHIFFCM86CA,0.0,0.0,0.0,,
國姓鄉,土地,北港溪段37-319地號,2508.0,農,山坡地保育區,農牧用地,1020403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8600000,3429,,0.0,0,,RPOOMLRKNHIFFCM68CA,0.0,0.0,0.0,,
鹿谷鄉,土地,大水堀段442-2地號,252.83,住,,,1020324,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3850000,15228,,0.0,0,包含未保存登記建物的買賣,RPSNMLQJNHIFFDM88CA,0.0,0.0,0.0,,
