鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
彰化市,土地,三村段729地號,873.06,,特定農業區,農牧用地,1020320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7300000,8361,,0.0,0,,RPUOMLMJNHIFFAN58CA,0.0,0.0,0.0,,
彰化市,土地,三村段727地號,974.26,,特定農業區,農牧用地,1020320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8100000,8314,,0.0,0,,RPVOMLMJNHIFFAN68CA,0.0,0.0,0.0,,
彰化市,土地,阿夷段柴坑子小段518地號,1486.0,,特定農業區,農牧用地,1020415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13485000,9075,,0.0,0,,RPRNMLNJNHIFFAN28CA,0.0,0.0,0.0,,
彰化市,土地,大埔段309-2地號,6.84,住,,,1020423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,73099,,0.0,0,,RPTNMLNJNHIFFAN48CA,0.0,0.0,0.0,,
彰化市,土地,牛稠子段下小段120地號,243.0,住,,,1020418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15400000,63374,,0.0,0,,RPWNMLMJNHIFFAN68CA,0.0,0.0,0.0,,
花壇鄉,土地,新金墩段751-5地號,312.08,,特定農業區,甲種建築用地,1020408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3304000,10587,,0.0,0,,RPRNMLOJNHIFFAN38CA,0.0,0.0,0.0,,
彰化市,房地(土地+建物),彰化縣彰化巿互助一街４６巷１５５號,84.54,住,山坡地保育區,特定目的事業用地,1020413,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0720322,87.0,4,1,2,有,無,2600000,29885,,0.0,0,,RPUOMLRJNHIFFAN09CA,87.0,0.0,0.0,,
芬園鄉,土地,清水段1500地號,5822.06,,特定農業區,農牧用地,1020320,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,721,,0.0,0,,RPQOMLSJNHIFFAN78CA,0.0,0.0,0.0,,
芬園鄉,土地,同安寮段1125-3地號,2505.0,,山坡地保育區,農牧用地,1020408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5900000,2355,,0.0,0,,RPPNMLSJNHIFFAN58CA,0.0,0.0,0.0,,
