編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLNJNHIFFAN58CC,大埔段,.00,都市：住,,,,04020000
RPXNMLNJNHIFFAN56DC,南興段,70.00,都市：住,,,,00970000
RPXNMLNJNHIFFAN56DC,南興段,8.00,都市：住,,,,00940005
RPQNMLRJNHIFFBN98DC,湖潭段,828.44,都市：農,,,,01950000
RPQNMLRJNHIFFBN98DC,湖潭段,842.68,都市：農,,,,01940000
RPPOMLLJNHIFFAN18CC,牛稠子段牛稠子小段,50.00,都市：住,,,,00210055
RPTNMLKKNHIFFFN98CC,埤頭段,84.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,08340018
RPTOMLTLNHIFFAN96CC,牛稠子段牛稠子小段,248.00,都市：工,,,,00340006
RPPNMLLMNHIFFDN78DC,員林段,22.77,都市：住,,,,00480000
RPQNMLKLNHIFFHN98CC,三省段,2289.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,05860000
RPQOMLTLNHIFFAN66CC,中山段,58.00,都市：住,,,,11730000
RPQOMLTLNHIFFAN66CC,中山段,32.75,都市：商,,,,11760003
RPWNMLNKNHIFFGN07CC,儒田段,1918.39,都市：農,,,,03890000
RPWNMLNKNHIFFGN07CC,儒田段,352.67,都市：農,,,,03900000
RPQNMLPLOHIFFCN56DC,埔崙段,83.86,都市：住,,,,05370000
RPWNMLKKOHIFFAN98DC,南郭段南郭小段,43.81,都市：住,,,,01590001
RPWPMLSKOHIFFAN37DC,明德段,6437.83,都市：農,,,,06150000
RPPNMLTKOHIFFBN56CC,建興段,1632.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,15790000
RPPNMLPLOHIFFBN98DC,和南段,261.00,都市：住,,,,08400000
RPWNMLLJPHIFFHN17DC,霖鳳段,2236.00,都市：農,,,,10640000
RPPNMLKLNHIFFBN38DC,大雅段,88.00,都市：住,,,,00980011
RPQPMLPKPHIFFAN56DC,延和段,144.00,都市：住,,,,08750000
RPROMLMKPHIFFAN78CC,西門口段,57.00,都市：住,,,,05300047
RPSNMLQKPHIFFAN66DC,西勢子段西勢子小段,39.16,都市：住,,,,01570000
RPRNMLQKPHIFFAN56DC,南口段,90.19,都市：住,,,,07370000
RPQNMLQKPHIFFAN09DC,橋頭段,72.68,都市：其他:乙種工業建築用地,,,,06090000
RPWNMLKLNHIFFHN96CC,庭忠段,80.00,都市：住,,,,02690000
RPQNMLRKPHIFFCN76DC,永安段,108.00,都市：住,,,,34060005
RPQNMLKLNHIFFAN38DC,大埔段,83.00,都市：住,,,,03520076
RPUNMLQKPHIFFAN86DC,橋頭段,72.68,都市：其他:乙種工業建築用地,,,,06090000
RPRNMLSKPHIFFBN76CC,和北段,69.40,都市：商,,,,07120000
RPRNMLSKPHIFFBN76CC,和北段,76.85,都市：商,,,,07140000
RPWNMLTKPHIFFDN57CC,黃厝段犁頭厝小段,62914.00,都市：工,,,,00660058
RPVNMLPLPHIFFDN17CC,饒明段,71.23,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,06810000
RPQOMLSKPHIFFAN76DC,民族段,44.00,都市：商,,,,01930000
RPWNMLKMPHIFFAN66DC,牛稠子段牛稠子小段,15.73,都市：住,,,,00260157
RPXOMLOLPHIFFDN37CC,慶安段,358.27,非都市：特定農業區 ; 非都市編定：農牧用地,,,,05050000
RPXOMLOLPHIFFDN37CC,慶安段,140.00,非都市：特定農業區 ; 非都市編定：交通用地,,,,05160000
RPTNMLQLPHIFFBN96DC,糖友段,57.52,都市：商,,,,15650000
RPUNMLQLOHIFFDN17DC,員林段,102.00,都市：商,,,,00340073
RPSNMLTKPHIFFDN27DC,三條段,187.00,都市：其他:,,,,06000004
