鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
屏東市,房地(土地+建物),屏東縣屏東巿歸仁路４巷１８弄７號,98.26,住,鄉村區,乙種建築用地,1020405,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700818,90.02,6,2,2,有,無,1890000,20995,,0.0,0,權利人2人各二分之ㄧ,RPXOMLMJNHIFFAT86CA,90.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿公益街２０巷１號,57.0,住,,,1020405,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680309,67.76,3,2,2,有,無,1000000,14758,,0.0,0,,RPOPMLMJNHIFFAT68CA,67.76,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿和生路二段２６２巷１號,29.87,住,,,1020408,土地1建物1車位0,全,五層,透天厝,國民住宅,鋼筋混凝土造,0720315,77.36,3,2,2,有,無,1600000,20683,,0.0,0,,RPPPMLMJNHIFFAT78CA,77.36,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿中正路６５２巷４９號,62.0,住,,,1020406,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630706,79.32,5,2,4,有,無,4800000,60514,,0.0,0,,RPPNMLNJNHIFFAT68CA,79.32,0.0,0.0,,
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉萬丹路一段３０２號,96.0,住,,,1020409,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0711216,225.4,4,1,4,有,無,9500000,42147,,0.0,0,,RPQNMLNJNHIFFAT78CA,225.4,0.0,0.0,,
長治鄉,房地(土地+建物),屏東縣長治鄉中興路５６２巷２號,286.51,,鄉村區,乙種建築用地,1020415,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010727,240.01,5,2,5,有,無,11500000,47915,,0.0,0,,RPQNMLPJNHIFFAT98CA,212.56,1.44,26.01,,
屏東市,房地(土地+建物),屏東縣屏東巿公裕街４２０巷１１號,61.0,住,,,1020405,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,0721121,74.94,4,2,2,有,無,2500000,33360,,0.0,0,,RPUPMLSJNHIFFAT27CA,74.94,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿民生路５７巷８４號,58.0,住,,,1020320,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0700404,101.3,3,2,2,有,無,2930000,28924,,0.0,0,,RPTNMLKKNHIFFAT88CA,98.24,3.06,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿瑞屏街４９號,79.0,住,,,1020408,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960725,188.48,6,1,6,有,無,6500000,34486,,0.0,0,,RPSOMLKKNHIFFAT88CA,169.12,0.72,18.64,,
長治鄉,房地(土地+建物),屏東縣長治鄉崑崙路９３號,81.65,其他,一般農業區,甲種建築用地,1020410,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0700723,105.6,3,2,2,有,無,2500000,23674,,0.0,0,,RPXNMLPKNHIFFAT17CA,105.6,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿大豐路２０號,76.0,住,,,1020415,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1010117,240.22,5,2,4,有,無,10000000,41629,,0.0,0,,RPXNMLNLNHIFFAT07CA,204.03,0.0,36.19,,
屏東市,土地,和興段817地號,2828.84,其他,一般農業區,甲種建築用地,1020412,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29950000,10587,,0.0,0,有另一權利人各持分1/2，收件字號102屏登054440、屏登054450、屏登054460共三件併入屏登054430。,RPROMLKMNHIFFAT98CA,0.0,0.0,0.0,,
里港鄉,土地,大港洋段702地號,2300.0,,特定農業區,農牧用地,1020417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,2000,,0.0,0,,RPRNMLTJNHIFFBT96CA,0.0,0.0,0.0,,
鹽埔鄉,房地(土地+建物),屏東縣鹽埔鄉新二村德協路76之14號,139.29,,鄉村區,乙種建築用地,1020424,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830305,189.09,0,0,0,有,無,3000000,15865,,0.0,0,,RPPNMLNKNHIFFBT88CA,170.8,6.01,12.28,,
高樹鄉,土地,東振新段1389地號,4554.0,,一般農業區,農牧用地,1010415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2817100,619,,0.0,0,,RPSNMLMLNHIFFBT56CA,0.0,0.0,0.0,,
高樹鄉,土地,田子段570地號,2634.67,,一般農業區,農牧用地,1020331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,380,,0.0,0,,RPPNMLNLNHIFFBT98CA,0.0,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮福星路７９巷４３號,151.92,住,,,1020325,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810218,232.57,3,2,4,有,無,7750000,33323,,0.0,0,,RPPPMLMJNHIFFCT98CA,209.63,8.88,14.06,,
潮州鎮,土地,新榮段766地號,66.98,住,,,1020418,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,22395,,0.0,0,總價款包含未辦保存登記建物在內,RPUNMLQJNHIFFCT07CA,0.0,0.0,0.0,,
內埔鄉,土地,昭勝段51地號,1307.98,農,,,1020408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6300000,4817,,0.0,0,本件買賣2筆農地一棟未辦保存登記之建築物,RPPNMLRJNHIFFCT66CA,0.0,0.0,0.0,,
萬巒鄉,土地,新和段233地號,256.16,,鄉村區,乙種建築用地,1020423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,1562,,0.0,0,,RPWNMLTJNHIFFCT57CA,0.0,0.0,0.0,,
內埔鄉,土地,頭鏢段380-27地號,166.0,,鄉村區,乙種建築用地,1020418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,210000,1265,,0.0,0,,RPOOMLTJNHIFFCT86CA,0.0,0.0,0.0,,
內埔鄉,土地,新埔段1469地號,4115.0,農,特定農業區,農牧用地,1020319,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6426000,1562,,0.0,0,,RPQNMLMKNHIFFCT98CA,0.0,0.0,0.0,,
內埔鄉,土地,新埔段1428地號,5340.0,,特定農業區,農牧用地,1020401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8250000,1545,,0.0,0,,RPQNMLNKNHIFFCT09CA,0.0,0.0,0.0,,
竹田鄉,土地,竹南段565地號,1673.0,,特定農業區,農牧用地,1020306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2150000,1285,,0.0,0,權利人共二人持分各1/2,RPRNMLPKNHIFFCT76CA,0.0,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮南昌街３３號五樓之１,24.02,住,,,1020403,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820326,139.13,3,2,2,有,無,1230000,8841,,0.0,0,,RPSNMLRKNHIFFCT07CA,83.06,7.22,0.0,,
東港鎮,土地,新仁段241地號,169.59,住,,,1020417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7951000,46884,,0.0,0,,RPQNMLMJNHIFFDT98CA,0.0,0.0,0.0,,
