編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLMJNHIFFAT68CA,街頭段四小段,57.00,都市：住,1,1,全筆移轉,02470001
RPXOMLMJNHIFFAT86CA,福正段,20.96,都市：住,2,1,持分移轉,03250000
RPXOMLMJNHIFFAT86CA,福正段,20.96,都市：住,2,1,持分移轉,03250000
RPXOMLMJNHIFFAT86CA,福正段,28.17,都市：住,2,1,持分移轉,03260000
RPXOMLMJNHIFFAT86CA,福正段,28.17,都市：住,2,1,持分移轉,03260000
RPPPMLMJNHIFFAT78CA,萬年段,29.87,都市：住,10000,72,持分移轉,14690000
RPXNMLPKNHIFFAT17CA,新潭段,81.65,都市：其他:,1,1,全筆移轉,05710000
RPPNMLNJNHIFFAT68CA,溝美段,62.00,都市：住,1,1,全筆移轉,01400000
RPQNMLPJNHIFFAT98CA,復興段,63.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,05850000
RPQNMLPJNHIFFAT98CA,復興段,.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,1,持分移轉,05850001
RPQNMLPJNHIFFAT98CA,復興段,222.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05880000
RPUPMLSJNHIFFAT27CA,北勢段,12.00,都市：住,1,1,全筆移轉,02210004
RPUPMLSJNHIFFAT27CA,北勢段,26.00,都市：住,1,1,全筆移轉,02250012
RPUPMLSJNHIFFAT27CA,北勢段,4.00,都市：住,1,1,全筆移轉,02270000
RPUPMLSJNHIFFAT27CA,北勢段,19.00,都市：住,1,1,全筆移轉,02280006
RPQNMLNJNHIFFAT78CA,萬安段,96.00,都市：住,1,1,全筆移轉,05110000
RPRNMLTJNHIFFBT96CA,大港洋段,2300.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07020000
RPSOMLKKNHIFFAT88CA,瑞光段,9.64,都市：住,66,1,持分移轉,07760000
RPSOMLKKNHIFFAT88CA,瑞光段,48.00,都市：住,1,1,全筆移轉,07760009
RPSOMLKKNHIFFAT88CA,瑞光段,21.36,都市：住,22,1,持分移轉,07760013
RPTNMLKKNHIFFAT88CA,香揚段,58.00,都市：住,1,1,全筆移轉,06320012
RPPNMLNKNHIFFBT88CA,新德段,55.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09130000
RPPNMLNKNHIFFBT88CA,新德段,83.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09150000
RPPPMLMJNHIFFCT98CA,光華段,151.92,都市：住,1,1,全筆移轉,07220000
RPPNMLNLNHIFFBT98CA,田子段,2634.67,非都市：一般農業區 ; 非都市編定：農牧用地,3,2,持分移轉,05700000
RPSNMLMLNHIFFBT56CA,東振新段,4554.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13890000
RPUNMLQJNHIFFCT07CA,新榮段,8.95,都市：住,1,1,全筆移轉,07610004
RPUNMLQJNHIFFCT07CA,新榮段,58.03,都市：住,1,1,全筆移轉,07660000
RPQNMLMKNHIFFCT98CA,新埔段,2532.00,都市：農,1,1,全筆移轉,14680000
RPQNMLMKNHIFFCT98CA,新埔段,1583.00,都市：農,1,1,全筆移轉,14690000
RPXNMLNLNHIFFAT07CA,林內段,76.00,都市：住,1,1,全筆移轉,13850005
RPPNMLRJNHIFFCT66CA,昭勝段,1163.71,都市：農,1,1,全筆移轉,00460000
RPPNMLRJNHIFFCT66CA,昭勝段,144.27,都市：農,1,1,全筆移轉,00510000
RPQNMLMJNHIFFDT98CA,新仁段,169.59,都市：住,1,1,全筆移轉,02410000
RPOOMLTJNHIFFCT86CA,?頭鏢段,166.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03800027
RPQNMLNKNHIFFCT09CA,新埔段,3513.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14270000
RPQNMLNKNHIFFCT09CA,新埔段,1827.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14280000
RPRNMLPKNHIFFCT76CA,竹南段,1673.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05650000
RPWNMLTJNHIFFCT57CA,新和段,256.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02330000
RPRNMLMJNHIFFDT09CA,復興段,1908.38,都市：農,1,1,全筆移轉,02350000
RPSNMLRKNHIFFCT07CA,榮田段,24.02,都市：住,2292,139,持分移轉,03530000
RPPNMLNJNHIFFDT98CA,東新段,79.97,都市：住,1,1,全筆移轉,06350000
RPPNMLPJNHIFFDT56CA,新信段,111.93,都市：住,1,1,全筆移轉,07780000
RPQNMLPJNHIFFDT66CA,新信段,108.72,都市：住,1,1,全筆移轉,07780005
