鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮巿菁華街4巷1弄1-2號,295.0,住,,,1020426,土地1建物1車位0,全,1,透天厝,住家用,鋼筋混凝土造,,72.7,3,2,1,有,無,有,10000,138,,0.0,0,,RPTNMLMJNHIFFAU76DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美路９３巷１２號五樓之五,21.15,商,,,1020501,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820109,219.76,3,2,2,有,有,無,14000,64,,0.0,0,,RPTPMLNJNHIFFAU17EC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛二街279號2F-5,10.05,住,,,1020423,土地1建物1車位0,五層,2,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820120,25.7,1,0,1,有,無,有,4000,156,,0.0,0,,RPTNMLQJNHIFFAU07CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福昌二街67號,117.0,住,,,1020418,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830715,140.24,4,2,3,有,無,無,10000,71,,0.0,0,整棟出租,RPUNMLQJNHIFFAU17CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中興路6號8F-2,6.54,商,,,1020501,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870507,55.6,1,1,1,有,有,有,7500,135,,0.0,0,,RPVNMLQJNHIFFAU27CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉昌三街268-25號,102.0,住,,,1020504,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0850125,239.54,5,2,3,有,無,有,10000,42,,0.0,0,整棟出租,RPWNMLQJNHIFFAU37CC
新城鄉,房地(土地+建物),花蓮縣新城鄉民享街９０號二樓之四,27.84,住,,,1020412,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850306,87.67,3,2,2,有,有,有,7500,86,,0.0,0,租金含管理費,RPTOMLSJNHIFFAU57EC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中華路二段９３號九樓之五,8.73,商,,,1020409,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831028,93.11,2,2,2,有,有,有,11000,118,,0.0,0,租金含管理費,RPUOMLSJNHIFFAU67EC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛四街５３號三樓之五,14.9,住,,,1020424,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830831,101.6,2,1,1,有,有,有,7000,69,,0.0,0,,RPQNMLKKNHIFFAU09EC
花蓮市,房地(土地+建物),花蓮縣花蓮巿建昌路70號,185.0,住,,,1020508,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0740909,155.27,5,2,2,有,無,無,13000,84,,0.0,0,,RPRNMLNKNHIFFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中山路18-1號,45.57,住,,,1020418,土地1建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0790524,105.85,1,1,1,有,有,有,12000,113,,0.0,0,出租1-2樓,RPQNMLQKNHIFFAU96DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中山路261巷1號3F2,26.7,商,,,1020425,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850912,92.3,2,1,1,有,有,有,9000,98,,0.0,0,,RPRNMLQKNHIFFAU07DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中山路867號,108.0,住,,,1020424,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0751208,239.56,4,2,3,有,無,無,25000,104,,0.0,0,全棟出租,RPSNMLQKNHIFFAU17DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美路148號4樓,3969.0,商,,,1020515,土地1建物2車位0,四層,4,辦公商業大樓,商業用,鋼筋混凝土造,0990728,1290.0,0,0,0,無,無,無,136307,106,,0.0,0,商辦第四層樓分租,RPWNMLQKNHIFFAU57DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美路148號五樓之二,94.0,商,,,1020501,土地1建物1車位0,五層,5,辦公商業大樓,商業用,鋼筋混凝土造,0990728,135.0,0,0,0,無,無,無,14498,107,,0.0,0,商辦第五層樓分租,RPXNMLQKNHIFFAU67DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美路148號五樓之二,94.0,商,,,1020501,土地1建物1車位0,五層,5,辦公商業大樓,商業用,鋼筋混凝土造,0990728,86.0,0,0,0,無,無,無,7248,84,,0.0,0,商辦第五層樓分租,RPOOMLQKNHIFFAU86DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中原路437號,31.3,住,,,1020426,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0680801,111.62,1,1,2,有,無,無,13000,116,,0.0,0,,RPRNMLRKNHIFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國聯三路53號五樓之五,18.1,商,,,1020426,土地1建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820111,153.12,4,2,2,有,有,有,14300,93,,0.0,0,租金含管理費,RPOPMLRKNHIFFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛一街109號五樓之二,11.02,商,,,1020511,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770208,62.55,2,2,1,有,有,有,6500,104,,0.0,0,,RPPPMLRKNHIFFAU07CC
吉安鄉,房地(土地+建物),花蓮縣花蓮巿中正路一段327-9號,61.0,住,,,1020506,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670621,74.51,2,1,2,有,無,有,7000,94,,0.0,0,,RPOOMLKLNHIFFAU88CC
花蓮市,土地,富國段349地號,151.0,住,,,1020515,土地1建物0車位0,,,倉庫,,,,0.0,0,0,0,無,無,無,19000,,,0.0,0,,RPPOMLLLNHIFFAU09CC
吉安鄉,土地,仁禮段518地號,83.0,住,,,1020501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,8000,96,,0.0,0,連同地上未保存登記建物,RPRNMLMLNHIFFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿建國路142號,250.0,商,,,1020503,土地1建物1車位0,見其他登記事項,1,店面(店鋪),住家用,鋼筋混凝土造,0560603,92.72,2,0,2,有,無,無,36000,388,,0.0,0,,RPWNMLSLNHIFFAU77CC
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉池南一段136號,285.27,其他,,,1020510,土地1建物1車位0,全,1,透天厝,見其他登記事項,見其他登記事項,0960816,90.27,1,1,1,有,無,無,18000,199,,0.0,0,,RPXNMLSLNHIFFAU87CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿菁華街4巷1弄2號6樓之1,12.63,住,,,1020525,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860801,170.45,3,2,2,有,有,有,18000,106,,0.0,0,,RPPOMLSLNHIFFAU17CC
