編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTOMLMJNHIFFAV66CA,合江段,203.89,都市：其他:鄉村區  乙種建築用地,1,1,全筆移轉,01780000
RPTOMLMJNHIFFAV66CA,合江段,5.66,都市：其他:鄉村區  乙種建築用地,1,1,全筆移轉,01780001
RPUNMLTJNHIFFAV37CA,中心段,25.46,都市：住,10000,576,持分移轉,02500000
RPRNMLQJNHIFFBV86CA,大馬段,2776.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,04560002
RPRNMLQJNHIFFBV86CA,大馬段,383.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,04800002
RPRNMLQJNHIFFBV86CA,大馬段,483.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,04810000
RPWNMLKKNHIFFAV76CA,利家段,83.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,79360000
RPPNMLNJNHIFFCV09CA,萬朝段,7658.32,都市：農,1,1,全筆移轉,03040000
RPQNMLNJNHIFFAV98CA,台東段,122.00,都市：住,1,1,全筆移轉,04510032
RPQNMLNJNHIFFAV98CA,台東段,196.00,都市：住,1,1,全筆移轉,04510034
RPPOMLRKNHIFFAV86CA,東海段,25.08,都市：住,10000,42,持分移轉,01300000
RPPOMLRKNHIFFAV86CA,東海段,1.62,都市：住,10000,42,持分移轉,01300002
RPPNMLTJNHIFFCV07CA,月野段,1206.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16300000
RPPNMLNJNHIFFAV98DA,中心段,3.00,都市：住,1,1,全筆移轉,03440005
RPPNMLNJNHIFFAV98DA,中心段,22.00,都市：住,1,1,全筆移轉,03440006
RPTNMLQJNHIFFAV07DA,台東段,3.78,都市：商,12000,51,持分移轉,05140000
RPQNMLQJNHIFFAV76DA,東農段,2500.01,都市：農,1,1,全筆移轉,02020000
RPQNMLQJNHIFFAV76DA,東農段,34.49,都市：其他:,4,1,持分移轉,02510000
RPPOMLMJNHIFFAV98DA,北南王段,3958.08,都市：農,1,1,全筆移轉,05020000
RPPOMLMJNHIFFAV98DA,北南王段,1956.54,都市：農,1,1,全筆移轉,05030000
RPRNMLMJNHIFFCV56CA,新福段,1925.37,都市：農,1,1,全筆移轉,09990000
RPRNMLMJNHIFFCV56CA,新福段,78.94,都市：其他:,1,1,全筆移轉,10000000
RPRNMLMJNHIFFCV56CA,新福段,3488.87,都市：農,1,1,全筆移轉,10020000
RPRNMLMJNHIFFCV56CA,新福段,428.22,都市：農,1,1,全筆移轉,10050000
RPRNMLMJNHIFFCV56CA,新福段,512.06,都市：農,1,1,全筆移轉,10230000
RPRNMLMJNHIFFCV56CA,新福段,128.24,都市：其他:,1,1,全筆移轉,10260000
RPRNMLMJNHIFFCV56CA,新福段,817.28,都市：住,1,1,全筆移轉,10270000
RPRNMLMJNHIFFCV56CA,新福段,67.25,都市：其他:,1,1,全筆移轉,10290000
RPRNMLMJNHIFFCV56CA,新福段,66.10,都市：住,1,1,全筆移轉,10300000
RPRNMLMJNHIFFCV56CA,新福段,1387.53,都市：農,1,1,全筆移轉,10310000
RPRNMLMJNHIFFCV56CA,新福段,1.99,都市：其他:,1,1,全筆移轉,10320000
RPRNMLMJNHIFFCV56CA,新福段,6.31,都市：其他:,1,1,全筆移轉,10330000
RPRNMLMJNHIFFCV56CA,新福段,50.91,都市：其他:,1,1,全筆移轉,10340000
RPRNMLMJNHIFFCV56CA,新福段,253.64,都市：住,1,1,全筆移轉,10350000
RPRNMLMJNHIFFCV56CA,新福段,1692.86,都市：農,1,1,全筆移轉,10360000
RPRNMLMJNHIFFCV56CA,新福段,1573.33,都市：農,1,1,全筆移轉,10370000
RPRNMLMJNHIFFCV56CA,新福段,7864.01,都市：農,1,1,全筆移轉,10420000
RPROMLMJNHIFFAV56DA,豐年段,22.66,都市：其他:,1000,250,持分移轉,10730001
RPROMLMJNHIFFAV56DA,豐年段,271.64,都市：農,1000,250,持分移轉,11260001
RPROMLMJNHIFFAV56DA,豐年段,291.86,都市：其他:,1000,250,持分移轉,11260002
RPROMLMJNHIFFAV56DA,豐年段,12.28,都市：其他:,1000,250,持分移轉,11260003
RPPNMLRJNHIFFBV86DA,三民段,219.96,都市：住,1,1,全筆移轉,00510000
RPROMLNKNHIFFAV76DA,東海段,150.92,都市：住,1,1,全筆移轉,10350000
RPUNMLNJNHIFFAV76CA,大豐段,981.80,都市：農,4,3,持分移轉,02520000
RPUNMLNJNHIFFAV76CA,大豐段,327.27,都市：農,4,1,持分移轉,02520000
RPUNMLNJNHIFFAV76CA,大豐段,4910.67,都市：農,4,3,持分移轉,02540000
RPUNMLNJNHIFFAV76CA,大豐段,1636.89,都市：農,4,1,持分移轉,02540000
RPUNMLNJNHIFFAV76CA,大豐段,2178.57,都市：農,4,3,持分移轉,03380000
RPUNMLNJNHIFFAV76CA,大豐段,726.19,都市：農,4,1,持分移轉,03380000
RPPNMLQJNHIFFAV56CA,自強段,92.00,都市：住,1,1,全筆移轉,05450000
RPPNMLQKNHIFFAV76DA,永樂段,68.00,都市：工,1,1,全筆移轉,02470000
RPPNMLQKNHIFFAV76DA,永樂段,108.00,都市：工,1,1,全筆移轉,02480000
RPTNMLNJNHIFFAV66CA,建華段,1199.64,都市：農,1,1,全筆移轉,13270000
RPRNMLQJNHIFFAV76CA,新園段,331.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04460008
RPRNMLQJNHIFFAV76CA,新園段,168.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04460012
RPWNMLPKNHIFFAV27CA,建和段,385.35,都市：住,1,1,全筆移轉,14280000
RPWNMLPKNHIFFAV27CA,建和段,11.20,都市：其他:,1,1,全筆移轉,14290000
RPSNMLQJNHIFFAV86CA,利家段,9553.00,都市：農,1,1,全筆移轉,06030110
RPSNMLQJNHIFFAV86CA,利家段,4317.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06030112
RPSNMLQJNHIFFBV96CA,成功段,55.50,都市：住,1,1,全筆移轉,07900000
RPTNMLRJNHIFFAV07CA,建國段,27.22,都市：住,1,1,全筆移轉,02490000
RPTNMLRJNHIFFAV07CA,建國段,62.78,都市：其他:,1,1,全筆移轉,02490001
RPTNMLRJNHIFFAV07CA,建國段,29.00,都市：住,1,1,全筆移轉,03250000
RPQOMLOKNHIFFAV66CA,中心段,52.12,都市：住,8,1,持分移轉,09000000
RPQOMLOKNHIFFAV66CA,中心段,1.75,都市：住,4,1,持分移轉,09020001
RPPNMLTJNHIFFAV86CA,知本段,2569.32,都市：農,100,78,持分移轉,81570000
RPPNMLTJNHIFFAV86CA,知本段,724.68,都市：農,100,22,持分移轉,81570000
RPSNMLTLNHIFFAV37CA,豐樂段,459.00,都市：工,1,1,全筆移轉,30560002
RPSNMLOKNHIFFCV96CA,大池段,903.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12160000
RPPNMLLJOHIFFCV98CA,崁頂段,541.00,都市：其他:,1,1,全筆移轉,00270003
RPPNMLSJNHIFFDV07CA,復興段,7.89,都市：其他:道路用地,1,1,全筆移轉,09560000
RPWNMLKLNHIFFAV86CA,自強段,51.00,都市：住,1,1,全筆移轉,01590000
RPVNMLRJNHIFFAV27CA,永和段,4639.37,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11650000
RPOOMLRJNHIFFAV66CA,中正段,122.00,都市：住,1,1,全筆移轉,04660000
RPWNMLRJNHIFFAV37CA,永清段,156.97,都市：住,1,1,全筆移轉,08430000
RPPOMLRJNHIFFAV76CA,利家段,3871.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,69440000
RPRNMLRJNHIFFAV86CA,知本段,3000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,77570000
RPQNMLSJNHIFFAV86CA,岩灣段,130.86,都市：住,1,1,全筆移轉,00660002
RPTNMLSJNHIFFAV17CA,光明段,129.00,都市：住,1,1,全筆移轉,04420000
RPTNMLTJNHIFFAV27CA,新生段,220.00,都市：商,1,1,全筆移轉,05200000
RPTNMLTJNHIFFAV27CA,新生段,86.00,都市：商,1,1,全筆移轉,05210000
RPTNMLTJNHIFFAV27CA,新生段,152.00,都市：商,1,1,全筆移轉,05220000
RPPNMLOLNHIFFBV66CA,忠智段,104.01,都市：住,1,1,全筆移轉,12720000
RPWNMLSJNHIFFAV47CA,中清段,963.18,都市：農,1,1,全筆移轉,00610000
RPTNMLRKNHIFFBV27CA,都豐段,2311.02,都市：農,1,1,全筆移轉,09310000
RPTNMLRKNHIFFBV27CA,都豐段,288.27,都市：其他:,1,1,全筆移轉,09320000
RPTNMLRKNHIFFBV27CA,都豐段,94.41,都市：農,1,1,全筆移轉,09330000
RPTNMLRKNHIFFBV27CA,都豐段,72.61,都市：農,1,1,全筆移轉,09350000
RPSNMLKKNHIFFAV98CA,上原段,58.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01680000
RPSNMLRKNHIFFBV17CA,都豐段,3147.25,都市：農,1,1,全筆移轉,08500000
RPPNMLSLNHIFFBV07CA,高原段,702.00,非都市：森林區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,06830004
RPXNMLOKNHIFFAV27CA,旭川段,112.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00290000
RPVNMLTJNHIFFAV47CA,鎮樂段,10220.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07160000
RPQNMLSJNHIFFCV07CA,大池段,24.94,都市：商,1,1,全筆移轉,09400000
RPPNMLSJNHIFFAV86DA,利家段,5510.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,77690000
RPUNMLKKNHIFFAV66DA,建康段,57.53,都市：農,1,1,全筆移轉,04720000
RPUNMLKKNHIFFAV66DA,建康段,3220.15,都市：農,1,1,全筆移轉,05030000
RPUNMLKKNHIFFAV66DA,建康段,834.18,都市：農,1,1,全筆移轉,05040000
RPUNMLKKNHIFFAV66DA,建康段,1962.98,都市：農,1,1,全筆移轉,05050000
RPUNMLKKNHIFFAV66DA,建康段,2234.87,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05060000
RPTNMLNKNHIFFAV86DA,豐谷段,105.00,都市：住,1,1,全筆移轉,09280000
RPPNMLTJNHIFFBV07DA,和平南段,6431.19,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,01770000
RPSNMLSJNHIFFAV17DA,馬蘭段,44.54,都市：住,24,1,持分移轉,16930000
RPSNMLNKNHIFFDV96CA,泰和段,270.00,都市：農,1,1,全筆移轉,00850000
RPXNMLQKNHIFFAV47CA,鎮樂段,3683.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07140002
RPQOMLKKNHIFFAV88CA,豐成段,118.88,都市：其他:特定農業區  甲種建築用地,1,1,全筆移轉,00610004
RPPNMLOKNHIFFCV76DA,慶福段,116.23,都市：住,1,1,全筆移轉,06870007
RPXNMLSJNHIFFAV57CA,岩灣段,149.23,都市：住,1,1,全筆移轉,04700000
RPPNMLKKNHIFFAV68CA,永樂段,864.00,都市：農,1,1,全筆移轉,05090000
RPTOMLNKNHIFFAV86CA,明峰段,3918.47,都市：農,1,1,全筆移轉,00810008
RPVNMLSJNHIFFAV37CA,知本段,901.00,都市：農,1,1,全筆移轉,80790000
RPVNMLSJNHIFFAV37CA,知本段,514.00,都市：農,1,1,全筆移轉,80790002
RPPNMLNKNHIFFAV98CA,上原段,6169.00,都市：農,1,1,全筆移轉,04640000
RPUOMLNKNHIFFAV96CA,明峰段,2500.00,都市：農,1,1,全筆移轉,00810007
RPVOMLNKNHIFFAV07CA,明峰段,1250.00,都市：農,2,1,持分移轉,00810004
RPVOMLNKNHIFFAV07CA,明峰段,1250.00,都市：農,2,1,持分移轉,00810004
RPOOMLKKNHIFFAV68CA,岩灣段,481.04,都市：住,1,1,全筆移轉,04680000
RPOOMLKKNHIFFAV68CA,岩灣段,596.17,都市：住,1,1,全筆移轉,04710000
RPOOMLKKNHIFFAV68CA,岩灣段,644.87,都市：住,1,1,全筆移轉,04720000
RPXNMLKKNHIFFAV86CA,北南王段,1905.53,都市：農,1,1,全筆移轉,07100000
RPXNMLKKNHIFFAV86CA,北南王段,268.86,都市：農,1,1,全筆移轉,07110000
RPXNMLKKNHIFFAV86CA,北南王段,407.63,都市：農,1,1,全筆移轉,07120000
RPWNMLTJNHIFFAV57CA,豐工段,1190.11,都市：工,1,1,全筆移轉,00880000
RPQNMLTJNHIFFCV27DA,鹿寮段,433.22,非都市： ; 非都市編定：,1,1,全筆移轉,05790001
RPPNMLPKNHIFFAV56CA,常德段,114.62,都市：住,1,1,全筆移轉,04740014
