編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLQKNHIFFAX07DA,,229.55,住商用,鋼筋混凝土造,102年3月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLSJNHIFFAX17EA,25,254.18,住商用,鋼筋混凝土造,77年2月12日,四層,一層 二層 三層 四層 電梯樓梯間 地下層
RPQNMLSJNHIFFAX07CA,15,216.58,住家用,鋼筋混凝土造,87年3月27日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPRNMLTJNHIFFAX37DA,53,154.78,住商用,見其他登記事項,48年10月31日,二層,一層 二層
RPXNMLRJNHIFFAX67CA,19,113.52,住家用,鋼筋混凝土造,83年3月3日,七層,三層 見其他登記事項
RPXNMLRJNHIFFAX67CA,19,20.38,避難室、停車場,鋼筋混凝土造,83年3月3日,七層,
RPXNMLRJNHIFFAX67CA,19,9.24,電梯間、梯間,鋼筋混凝土造,83年3月3日,七層,
RPSNMLTJNHIFFAX37CA,33,93.02,住家用,鋼筋混凝土加強磚造,68年11月30日,二層,一層 二層 電梯樓梯間
RPPNMLTJNHIFFAX07CA,19,112.07,住家用,鋼筋混凝土造,83年3月3日,七層,二層 見其他登記事項
RPPNMLTJNHIFFAX07CA,19,20.92,避難室、停車場,鋼筋混凝土造,83年3月3日,七層,
RPPNMLTJNHIFFAX07CA,19,9.33,電梯間、梯間,鋼筋混凝土造,83年3月3日,七層,
RPQOMLPKNHIFFAX07DA,20,22.89,住家用,鋼筋混凝土造,82年4月22日,五層,五層
RPQOMLPKNHIFFAX07DA,20,8.43,避難室,鋼筋混凝土造,82年4月22日,五層,
RPQOMLPKNHIFFAX07DA,20,1.80,走道,鋼筋混凝土造,82年4月22日,五層,
RPPPMLQKNHIFFAX17DA,,229.76,住商用,鋼筋混凝土造,102年3月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLRKNHIFFAX27DA,,318.97,補教托育、住宅,鋼筋混凝土造,102年3月5日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPQPMLQKNHIFFAX27DA,19,79.18,住家用,鋼筋混凝土造,83年6月6日,六層,三層 見其他登記事項
RPXNMLOKNHIFFAX57DA,32,86.48,住家用,鋼筋混凝土加強磚造,70年2月1日,二層,一層 二層 電梯樓梯間
RPWNMLKMNHIFFAX17CA,38,115.32,住家用,鋼筋混凝土加強磚造,64年5月21日,二層,一層 二層
