編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNJNHIFFAX56CA,山水南段,715.41,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03160002
RPOPMLQKNHIFFAX07DA,東澳段,113.10,非都市： ; 非都市編定：,1,1,全筆移轉,01800025
RPPOMLOJNHIFFAX66CA,興崁段,702.93,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11950000
RPSNMLNJNHIFFAX76CA,望安段,417.00,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,02920000
RPSNMLNJNHIFFAX76CA,望安段,66.33,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,03510000
RPSNMLNJNHIFFAX76CA,花宅段,430.00,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,00030000
RPSNMLNJNHIFFAX76CA,花宅段,329.67,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,00460000
RPSNMLNJNHIFFAX76CA,花宅段,355.67,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,00540000
RPSNMLNJNHIFFAX76CA,花宅段,325.00,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,00960000
RPSNMLNJNHIFFAX76CA,花宅段,105.00,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,00990000
RPSNMLNJNHIFFAX76CA,花宅段,352.33,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,02430000
RPSNMLNJNHIFFAX76CA,花宅段,99.67,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,02690000
RPQNMLKKNHIFFAX09DA,井垵西段,86.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06080001
RPTNMLSLNHIFFAX67DA,龍門段,777.60,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04710000
RPSNMLQJNHIFFAX07CA,湖東新段,364.43,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05420000
RPVNMLQJNHIFFAX37CA,下瓦硐段,69.28,非都市： ; 非都市編定：,1,1,全筆移轉,13600001
RPSNMLRJNHIFFAX27DA,後寮段,213.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,26270000
RPSNMLRJNHIFFAX27DA,後寮段,19.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,26330000
RPVNMLRJNHIFFAX47CA,馬公段,291.00,非都市： ; 非都市編定：,1,1,全筆移轉,00910003
RPVNMLRJNHIFFAX47CA,馬公段,40.00,非都市： ; 非都市編定：,1,1,全筆移轉,00910013
RPVNMLRJNHIFFAX47CA,馬公段,429.00,非都市： ; 非都市編定：,1,1,全筆移轉,00920000
RPTNMLKMNHIFFAX96DA,五福段,912.70,非都市：一般農業區 ; 非都市編定：農牧用地,960,426,持分移轉,05430000
RPUNMLRJNHIFFAX57EA,興仁段,138.42,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00830000
RPPNMLSJNHIFFAX17EA,埕東段,80.42,非都市： ; 非都市編定：,1,1,全筆移轉,06790000
RPPNMLSJNHIFFAX17EA,雙湖段,469.87,非都市：一般農業區 ; 非都市編定：農牧用地,4,3,持分移轉,00700000
RPTNMLRJNHIFFAX47EA,興仁段,69.64,非都市：一般農業區 ; 非都市編定：農牧用地,5,3,持分移轉,00800000
RPTNMLRJNHIFFAX47EA,興仁段,145.08,非都市：一般農業區 ; 非都市編定：農牧用地,5,3,持分移轉,00840000
RPQNMLSJNHIFFAX07CA,文化段,28.24,非都市： ; 非都市編定：,1,1,全筆移轉,02690000
RPQNMLSJNHIFFAX07CA,文化段,37.50,非都市： ; 非都市編定：,1,1,全筆移轉,02710000
RPRNMLTJNHIFFAX37DA,馬公段,28.00,非都市： ; 非都市編定：,1,1,全筆移轉,15820000
RPRNMLTJNHIFFAX37DA,馬公段,50.00,非都市： ; 非都市編定：,1,1,全筆移轉,15830004
RPSNMLKMNHIFFAX76CA,五福段,514.20,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,05430000
RPRNMLKMNHIFFAX66CA,國宅段,488.33,非都市：一般農業區 ; 非都市編定：農牧用地,6,4,持分移轉,00110000
RPRNMLKMNHIFFAX66CA,國宅段,323.62,非都市：一般農業區 ; 非都市編定：農牧用地,6,4,持分移轉,00180000
RPPNMLKMNHIFFAX09CA,文東段,34.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,15,持分移轉,01740000
RPPNMLKMNHIFFAX09CA,文東段,227.77,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04570000
RPPNMLKMNHIFFAX09CA,文東段,114.79,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04580000
RPPNMLKMNHIFFAX09CA,文東段,97.20,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04590000
RPPNMLKMNHIFFAX09CA,文東段,332.41,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05180000
RPPNMLKMNHIFFAX09CA,文東段,332.40,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05180001
RPPNMLKMNHIFFAX09CA,文東段,332.40,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05180002
RPPNMLKMNHIFFAX09CA,文東段,332.40,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05180003
RPPNMLKMNHIFFAX09CA,文東段,332.40,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05180004
RPPNMLKMNHIFFAX09CA,文東段,136.16,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,19180000
RPWOMLPKNHIFFAX67DA,東衛段,616.02,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,01290000
RPVOMLPKNHIFFAX57DA,東衛段,616.02,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,01290000
