編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSQMLKLQHIFFCA87CB,碧湖段四小段,53.84,都市：住,100000,2027,持分移轉,00550000
RPXQMLMLQHIFFCA58CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPSQMLMLQHIFFCA08CB,中山段一小段,40.97,都市：商,10000,663,持分移轉,09560000
RPRQMLMLQHIFFCA97CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPORMLMLQHIFFCA77CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPSRMLMLQHIFFCA18CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPTQMLMLQHIFFCA18CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPWQMLMLQHIFFCA48CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPPPMLNLQHIFFCA77CB,碧湖段四小段,70.28,都市：住,100000,2646,持分移轉,00550000
RPXRMLMLQHIFFCA68CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPOPMLNLQHIFFCA67CB,碧湖段四小段,71.50,都市：住,100000,2692,持分移轉,00550000
RPTPMLNLQHIFFCA18CB,碧湖段四小段,70.28,都市：住,100000,2646,持分移轉,00550000
RPURMLMLQHIFFCA38CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPSPMLNLQHIFFCA08CB,碧湖段四小段,70.28,都市：住,100000,2646,持分移轉,00550000
RPVRMLMLQHIFFCA48CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPSNMLTLQHIFFAA38DB,公訓段二小段,.07,都市：住,100000,775,持分移轉,04310000
RPVPMLNLQHIFFCA38CB,碧湖段四小段,70.28,都市：住,100000,2646,持分移轉,00550000
RPRPMLNLQHIFFCA97CB,碧湖段四小段,70.28,都市：住,100000,2646,持分移轉,00550000
RPQQMLKLQHIFFCA67CB,碧湖段四小段,54.61,都市：住,100000,2056,持分移轉,00550000
RPPRMLMLQHIFFCA87CB,中山段一小段,41.04,都市：商,10000,664,持分移轉,09560000
RPOQMLNJRHIFFCA67CB,中山段一小段,.57,都市：商,100000,540,持分移轉,02540000
RPOQMLNJRHIFFCA67CB,中山段一小段,.59,都市：商,100000,540,持分移轉,02550000
RPOQMLNJRHIFFCA67CB,中山段一小段,.59,都市：商,100000,540,持分移轉,02560000
RPOQMLNJRHIFFCA67CB,中山段一小段,.83,都市：商,100000,540,持分移轉,02570000
RPOQMLNJRHIFFCA67CB,中山段一小段,.52,都市：商,100000,540,持分移轉,02580000
RPOQMLNJRHIFFCA67CB,中山段一小段,.53,都市：商,100000,540,持分移轉,02590000
RPOQMLNJRHIFFCA67CB,中山段一小段,.59,都市：商,100000,540,持分移轉,02600000
RPOQMLNJRHIFFCA67CB,中山段一小段,.55,都市：商,100000,540,持分移轉,02610000
RPOQMLNJRHIFFCA67CB,中山段一小段,.55,都市：商,100000,540,持分移轉,02620000
RPOQMLNJRHIFFCA67CB,中山段一小段,.55,都市：商,100000,540,持分移轉,02630000
RPOQMLNJRHIFFCA67CB,中山段一小段,.56,都市：商,100000,540,持分移轉,02640000
RPOQMLNJRHIFFCA67CB,中山段一小段,.57,都市：商,100000,540,持分移轉,02650000
RPOQMLNJRHIFFCA67CB,中山段一小段,1.67,都市：商,100000,540,持分移轉,02660000
RPTQMLNJRHIFFCA18CB,中山段一小段,.51,都市：商,100000,481,持分移轉,02540000
RPTQMLNJRHIFFCA18CB,中山段一小段,.52,都市：商,100000,481,持分移轉,02550000
RPRQMLNJRHIFFCA97CB,中山段一小段,.53,都市：商,100000,503,持分移轉,02540000
RPTQMLNJRHIFFCA18CB,中山段一小段,.52,都市：商,100000,481,持分移轉,02560000
RPRQMLNJRHIFFCA97CB,中山段一小段,.55,都市：商,100000,503,持分移轉,02550000
RPTQMLNJRHIFFCA18CB,中山段一小段,.74,都市：商,100000,481,持分移轉,02570000
RPRQMLNJRHIFFCA97CB,中山段一小段,.55,都市：商,100000,503,持分移轉,02560000
RPTQMLNJRHIFFCA18CB,中山段一小段,.47,都市：商,100000,481,持分移轉,02580000
RPRQMLNJRHIFFCA97CB,中山段一小段,.77,都市：商,100000,503,持分移轉,02570000
RPTQMLNJRHIFFCA18CB,中山段一小段,.47,都市：商,100000,481,持分移轉,02590000
RPRQMLNJRHIFFCA97CB,中山段一小段,.49,都市：商,100000,503,持分移轉,02580000
RPTQMLNJRHIFFCA18CB,中山段一小段,.53,都市：商,100000,481,持分移轉,02600000
RPRQMLNJRHIFFCA97CB,中山段一小段,.49,都市：商,100000,503,持分移轉,02590000
RPTQMLNJRHIFFCA18CB,中山段一小段,.49,都市：商,100000,481,持分移轉,02610000
RPRQMLNJRHIFFCA97CB,中山段一小段,.55,都市：商,100000,503,持分移轉,02600000
RPTQMLNJRHIFFCA18CB,中山段一小段,.49,都市：商,100000,481,持分移轉,02620000
RPRQMLNJRHIFFCA97CB,中山段一小段,.51,都市：商,100000,503,持分移轉,02610000
RPTQMLNJRHIFFCA18CB,中山段一小段,.49,都市：商,100000,481,持分移轉,02630000
RPRQMLNJRHIFFCA97CB,中山段一小段,.51,都市：商,100000,503,持分移轉,02620000
RPTQMLNJRHIFFCA18CB,中山段一小段,.50,都市：商,100000,481,持分移轉,02640000
RPRQMLNJRHIFFCA97CB,中山段一小段,.51,都市：商,100000,503,持分移轉,02630000
RPTQMLNJRHIFFCA18CB,中山段一小段,.51,都市：商,100000,481,持分移轉,02650000
RPRQMLNJRHIFFCA97CB,中山段一小段,.52,都市：商,100000,503,持分移轉,02640000
RPTQMLNJRHIFFCA18CB,中山段一小段,1.49,都市：商,100000,481,持分移轉,02660000
RPRQMLNJRHIFFCA97CB,中山段一小段,.53,都市：商,100000,503,持分移轉,02650000
RPRQMLNJRHIFFCA97CB,中山段一小段,1.55,都市：商,100000,503,持分移轉,02660000
RPQQMLNJRHIFFCA87CB,中山段一小段,.57,都市：商,100000,535,持分移轉,02540000
RPQQMLNJRHIFFCA87CB,中山段一小段,.58,都市：商,100000,535,持分移轉,02550000
RPQQMLNJRHIFFCA87CB,中山段一小段,.58,都市：商,100000,535,持分移轉,02560000
RPQQMLNJRHIFFCA87CB,中山段一小段,.82,都市：商,100000,535,持分移轉,02570000
RPQQMLNJRHIFFCA87CB,中山段一小段,.52,都市：商,100000,535,持分移轉,02580000
RPQQMLNJRHIFFCA87CB,中山段一小段,.52,都市：商,100000,535,持分移轉,02590000
RPQQMLNJRHIFFCA87CB,中山段一小段,.59,都市：商,100000,535,持分移轉,02600000
RPQQMLNJRHIFFCA87CB,中山段一小段,.54,都市：商,100000,535,持分移轉,02610000
RPQQMLNJRHIFFCA87CB,中山段一小段,.54,都市：商,100000,535,持分移轉,02620000
RPQQMLNJRHIFFCA87CB,中山段一小段,.55,都市：商,100000,535,持分移轉,02630000
RPQQMLNJRHIFFCA87CB,中山段一小段,.55,都市：商,100000,535,持分移轉,02640000
RPQQMLNJRHIFFCA87CB,中山段一小段,.57,都市：商,100000,535,持分移轉,02650000
RPQQMLNJRHIFFCA87CB,中山段一小段,1.65,都市：商,100000,535,持分移轉,02660000
RPUPMLKMRHIFFBA08CB,萬華段二小段,1.22,都市：商,600000,9374,持分移轉,07880000
RPUPMLKMRHIFFBA08CB,萬華段二小段,4.19,都市：商,600000,9374,持分移轉,07870000
RPUPMLKMRHIFFBA08CB,萬華段二小段,1.45,都市：商,600000,9374,持分移轉,07870001
RPUPMLKMRHIFFBA08CB,萬華段二小段,1.03,都市：商,600000,9374,持分移轉,07890000
RPUPMLKMRHIFFBA08CB,萬華段二小段,.55,都市：商,600000,9374,持分移轉,07900000
RPUPMLKMRHIFFBA08CB,萬華段二小段,.14,都市：商,600000,9374,持分移轉,07910000
RPRPMLKMRHIFFBA77CB,萬華段二小段,1.81,都市：商,600000,13895,持分移轉,07880000
RPRPMLKMRHIFFBA77CB,萬華段二小段,6.21,都市：商,600000,13895,持分移轉,07870000
RPRPMLKMRHIFFBA77CB,萬華段二小段,2.15,都市：商,600000,13895,持分移轉,07870001
RPRPMLKMRHIFFBA77CB,萬華段二小段,1.53,都市：商,600000,13895,持分移轉,07890000
RPTPMLKMRHIFFBA97CB,萬華段二小段,1.16,都市：商,600000,8959,持分移轉,07880000
RPRPMLKMRHIFFBA77CB,萬華段二小段,.81,都市：商,600000,13895,持分移轉,07900000
RPTPMLKMRHIFFBA97CB,萬華段二小段,4.00,都市：商,600000,8959,持分移轉,07870000
