編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLLJQHIFFBB37CC,賴厝?段,3.37,都市：其他:,,,,03340000
RPQNMLLJQHIFFCB47CC,惠國段,26.02,都市：商,,,,00770000
RPROMLMJQHIFFHL76DC,吉祥段,105.82,都市：住,,,,00910000
RPTPMLMJQHIFFBB97CC,松觀段,15.10,都市：住,,,,06060000
RPROMLLJQHIFFGL09CC,大元段,114.11,都市：工,,,,14130000
RPQOMLLJQHIFFAB47DC,練武段,23.55,都市：商,,,,10740000
RPTOMLLJQHIFFGL66CC,大元段,114.11,都市：工,,,,14130000
RPQRMLMJQHIFFBB87CC,平田段,23.32,都市：住,,,,04140000
RPPNMLLJQHIFFHL98DC,樹孝段,20.30,都市：住,,,,00640000
RPQNMLNJQHIFFAB47CC,下橋子頭段,1.83,都市：商,,,,02170014
RPSNMLNJQHIFFAB67CC,土庫段,74.00,都市：住,,,,00850012
RPPNMLNJQHIFFAB37CC,下橋子頭段,1.76,都市：商,,,,02170014
RPRNMLPJQHIFFCL09DC,梧棲段,1343.00,都市：商,,,,27370000
RPTNMLNJQHIFFCB97CC,國安段,14.99,都市：住,,,,05930066
RPWNMLPJQHIFFCB48CC,何厝段,.00,都市：商,,,,00770064
RPUPMLMJQHIFFCB18CC,黎明段,13.23,都市：住,,,,00310000
RPVNMLNJQHIFFCB18CC,國安段,25.44,都市：住,,,,05930135
RPTSMLPJQHIFFCB68CC,東林段,2776.86,都市：農,,,,07940000
RPWPMLQJQHIFFCB78CC,大進段,8.42,都市：住,,,,04890000
RPTOMLQJQHIFFCB38CC,上石碑段,4.52,都市：住,,,,18050002
RPPOMLPJQHIFFCB87CC,田心段,76.00,都市：住,,,,08870014
RPPSMLPJQHIFFCB28CC,民安段,.00,都市：住,,,,16750021
RPUQMLQJQHIFFCB68CC,順和段,633.40,都市：工,,,,05770006
RPWQMLQJQHIFFCB88CC,福安段,750.00,都市：住,,,,07640002
RPPNMLPJQHIFFHL66CC,溪洲段,49.81,都市：住,,,,05570000
RPPNMLPJQHIFFHL66CC,溪洲段,123.36,都市：住,,,,05580000
RPSOMLQJQHIFFGL07CC,中興段,86.00,都市：住,,,,00380008
RPPNMLNJQHIFFHL56DC,宜欣段,99.24,都市：住,,,,20940000
RPXOMLQJQHIFFGL57CC,自立段,66.52,都市：住,,,,07420004
RPXPMLQJQHIFFAB68CC,頂橋子頭段,163.84,都市：住,,,,00940018
RPUNMLRJQHIFFHL37CC,孝平段,186.00,都市：住,,,,06270000
RPUNMLRJQHIFFHL37CC,孝平段,160.00,都市：住,,,,06270001
RPQOMLRJQHIFFCL66DC,安仁段,20.19,都市：住,,,,02450013
RPRNMLRJQHIFFAB97CC,下橋子頭段,1.83,都市：商,,,,02170014
RPXOMLRJQHIFFAB68CC,三民段三小段,14.65,都市：住,,,,00010000
RPTNMLRJQHIFFAB18CC,下橋子頭段,1.83,都市：商,,,,02170014
RPSNMLRJQHIFFAB08CC,下橋子頭段,5.51,都市：商,,,,02170014
RPSRMLPJQHIFFBB38CC,乾溝子段,9.49,都市：住,,,,01700049
RPUOMLQJQHIFFBB38CC,東山段,91.00,都市：住,,,,04340004
RPQQMLSJQHIFFCB48CC,大墩段,12.32,都市：其他:,,,,04690000
RPUNMLRJQHIFFCB48CC,中正段,6.72,都市：商,,,,01550000
RPORMLSJQHIFFCB38CC,大新段,16.05,都市：其他:,,,,01850001
RPUPMLRJQHIFFCB68CC,中正段,8.49,都市：商,,,,01550000
RPTNMLRJQHIFFCB38CC,中正段,6.72,都市：商,,,,01550000
RPRNMLRJQHIFFCB18CC,中正段,5.55,都市：商,,,,01550000
RPORMLQJQHIFFCB18CC,惠國段,.00,都市：其他:第四種新市政中心專用區,,,,01840000
RPVUMLSJQHIFFCB76CC,福安段,16.56,都市：住,,,,07820000
RPRTMLSJQHIFFBB78CC,賴厝?段,79.00,都市：住,,,,01520068
RPXUMLSJQHIFFCB96CC,信安段,17.19,都市：住,,,,06430000
RPPTMLSJQHIFFBB58CC,昌平段,71.68,都市：住,,,,02520003
RPRUMLSJQHIFFBB88CC,北屯段,22.67,都市：住,,,,01630098
RPOPMLSJQHIFFAB97CC,麻園頭段,13.09,都市：住,,,,01320000
RPVNMLSJQHIFFFL37CC,學雅段,470.15,都市：住,,,,06270000
RPVNMLSJQHIFFFL37CC,學雅段,134.97,都市：住,,,,06280000
RPVNMLSJQHIFFFL37CC,學雅段,99.01,都市：住,,,,06610000
RPVNMLTJQHIFFBL07CC,平安段,38.67,都市：住,,,,00320000
RPRNMLTJQHIFFCB38CC,上石碑段,6.73,都市：其他:,,,,27700000
RPSSMLTJQHIFFCB98CC,民安段,122.51,都市：住,,,,05080003
RPOPMLRJQHIFFCB18DC,西屯段,4.83,都市：住,,,,14540000
