編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLLJQHIFFAB47DC,坡道機械,0,,
RPQOMLLJQHIFFAB47DC,坡道機械,0,,
RPQRMLMJQHIFFBB87CC,升降機械,0,16.60,
RPTNMLNJQHIFFCB97CC,坡道平面,0,20.99,
RPUPMLMJQHIFFCB18CC,坡道機械,0,11.78,
RPVNMLNJQHIFFCB18CC,坡道平面,0,19.55,
RPVNMLNJQHIFFCB18CC,坡道平面,0,19.55,
RPPSMLPJQHIFFCB28CC,坡道平面,0,42.81,
RPSRMLPJQHIFFBB38CC,坡道機械,2500,9.31,
RPUNMLRJQHIFFCB48CC,坡道平面,3000,37.80,
RPORMLQJQHIFFCB18CC,坡道平面,0,,
RPORMLQJQHIFFCB18CC,坡道機械,0,,
RPORMLQJQHIFFCB18CC,坡道機械,0,,
RPORMLQJQHIFFCB18CC,坡道平面,0,,
RPORMLQJQHIFFCB18CC,坡道機械,0,,
RPORMLQJQHIFFCB18CC,坡道機械,0,,
RPPTMLSJQHIFFBB58CC,其他,0,,
RPOPMLSJQHIFFAB97CC,坡道平面,0,14.05,
RPORMLMKQHIFFCB97DC,一樓平面,0,,
RPVNMLMKQHIFFBB08CC,其他,0,,
RPQPMLSJQHIFFAB18CC,坡道平面,0,14.05,
RPQPMLTJQHIFFBB38CC,坡道平面,0,,
RPPNMLNKQHIFFCB67CC,坡道平面,0,,
RPVPMLOKQHIFFBB58DC,坡道平面,2500,34.48,
RPWPMLOKQHIFFBB68DC,坡道平面,2500,32.48,
RPQQMLOKQHIFFBB08CC,坡道平面,0,17.91,
RPQQMLOKQHIFFBB08CC,坡道機械,0,9.31,
RPSNMLNKQHIFFCB97CC,坡道平面,0,36.88,
RPRQMLOKQHIFFCB28CC,坡道平面,0,18.24,
RPRQMLOKQHIFFCB28CC,坡道機械,0,8.24,
RPRQMLOKQHIFFCB28CC,坡道機械,0,8.24,
RPVQMLOKQHIFFCB68CC,坡道機械,0,,
RPVNMLQKQHIFFFL27CC,一樓平面,0,,
RPRQMLQKQHIFFCB48CC,坡道平面,0,,
RPRQMLQKQHIFFCB48CC,坡道平面,0,,
RPORMLOKQHIFFBB97CC,升降機械,0,,
RPRQMLOKQHIFFBB18CC,坡道平面,0,,
RPQQMLTKQHIFFBB58CC,坡道平面,0,14.73,
RPVPMLTKQHIFFBB98CC,坡道平面,0,4.22,
RPVRMLTKQHIFFCB66CC,坡道機械,0,,
RPWNMLKLQHIFFCB18CC,坡道平面,0,34.06,
RPWNMLKLQHIFFCB18CC,坡道平面,0,34.06,
RPWNMLKLQHIFFCB18CC,坡道平面,0,34.06,
RPWNMLKLQHIFFCB18CC,坡道平面,0,34.06,
RPWNMLKLQHIFFCB18CC,坡道平面,0,34.06,
RPPQMLMLQHIFFCB97CC,坡道機械,0,14.01,
RPTPMLMLQHIFFCB38DC,坡道機械,0,17.40,
RPPNMLOLQHIFFCB87CC,其他,0,14.88,
RPVNMLQLQHIFFBB58CC,坡道平面,0,,
RPQQMLMLQHIFFBB97CC,坡道平面,3500,31.88,
RPXOMLRLQHIFFAB88CC,坡道平面,0,25.26,
RPROMLRLQHIFFBB38CC,坡道平面,0,,
RPOOMLRLQHIFFAB08DC,坡道機械,0,,
RPXPMLRLQHIFFCB56CC,坡道平面,0,34.85,
RPURMLSLQHIFFAB98CC,坡道平面,0,14.46,
RPUNMLTLQHIFFBB78CC,坡道平面,0,,
RPRPMLKMQHIFFAB77CC,坡道機械,0,14.75,
