編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLTKQHIFFBC18CA,41,133.96,住家用,鋼筋混凝土加強磚造,62年1月3日,四層,三層 四層
RPQOMLMJQHIFFBC47CA,20,91.79,住家用,鋼筋混凝土造,82年6月7日,八層,四層 陽台
RPQOMLMJQHIFFBC47CA,20,1.85,共用部份,鋼筋混凝土造,82年6月7日,八層,
RPQOMLMJQHIFFBC47CA,20,1.48,共用部份,鋼筋混凝土造,82年6月7日,八層,
RPQOMLMJQHIFFBC47CA,20,11.20,共用部份,鋼筋混凝土造,82年6月7日,八層,
RPPNMLPJQHIFFBC57CA,40,48.54,住家用,鋼筋混凝土加強磚造,62年4月26日,五層,四層
RPVNMLNJQHIFFBC97CA,15,92.44,住家用,鋼筋混凝土造,88年1月14日,十五層,十一層 陽台
RPVNMLNJQHIFFBC97CA,15,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPVNMLNJQHIFFBC97CA,15,1.11,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLNJQHIFFBC97CA,15,3.30,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLNJQHIFFBC97CA,15,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLNJQHIFFBC97CA,15,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQJQHIFFBC28CA,15,24.14,住家用,鋼筋混凝土造,88年1月14日,十六層,十四層 陽台
RPVNMLQJQHIFFBC28CA,15,4.94,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQJQHIFFBC28CA,15,.14,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQJQHIFFBC28CA,15,.73,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQJQHIFFBC28CA,15,.63,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLTJQHIFFBC97CA,14,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,八層 陽台
RPVNMLQJQHIFFBC28CA,15,.32,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLTJQHIFFBC97CA,14,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPPNMLTJQHIFFBC97CA,14,5.18,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPPNMLTJQHIFFBC97CA,14,36.53,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPPNMLTJQHIFFBC97CA,14,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLTJQHIFFBC97CA,14,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPOMLMKQHIFFBC47CA,17,242.04,商業用,鋼筋混凝土造,85年9月3日,十一層,七層 陽台
RPPOMLMKQHIFFBC47CA,17,16.62,共用部份,鋼筋混凝土造,85年9月3日,十一層,
