編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLTKQHIFFBC18CA,成功段,35.00,都市：其他:部份商業區部份道路,2,1,持分移轉,10100000
RPQOMLMJQHIFFBC47CA,海濱段三小段,17.07,都市：商,240000,10218,持分移轉,01440000
RPPNMLPJQHIFFBC57CA,延平段,2.80,都市：商,5,1,持分移轉,07210008
RPPNMLPJQHIFFBC57CA,延平段,15.40,都市：商,5,1,持分移轉,07300000
RPVNMLNJQHIFFBC97CA,長潭段,22.39,都市：住,100000,82,持分移轉,08920000
RPVNMLQJQHIFFBC28CA,長潭段,.55,都市：住,100000,21,持分移轉,08450000
RPVNMLQJQHIFFBC28CA,長潭段,5.52,都市：住,100000,21,持分移轉,08450003
RPPNMLTJQHIFFBC97CA,長潭段,2.15,都市：住,100000,82,持分移轉,08450000
RPPNMLTJQHIFFBC97CA,長潭段,21.54,都市：住,100000,82,持分移轉,08450003
RPPOMLMKQHIFFBC47CA,復興段一小段,26.31,都市：商,10000,717,持分移轉,01030000
RPPOMLMKQHIFFBC47CA,復興段一小段,2.53,都市：商,10000,527,持分移轉,01040000
RPVPMLKLQHIFFBC08CA,南新段,24.50,都市：商,400,100,持分移轉,10490000
RPPQMLMLQHIFFBC77CA,調和段,85.25,都市：住,20,1,持分移轉,13470000
RPQSMLPJQHIFFCC28CA,長安段,87.04,都市：住,10000,295,持分移轉,00640000
RPRPMLMJQHIFFCC77CA,麥金段,22.55,都市：住,100000,155,持分移轉,06130000
RPRPMLMJQHIFFCC77CA,麥金段,.65,都市：其他:保護區,100000,155,持分移轉,06130001
RPXOMLQJQHIFFCC68CA,情人湖段,25.26,都市：住,100000,107,持分移轉,01350000
RPXOMLQJQHIFFCC68CA,情人湖段,.08,都市：其他:,100000,107,持分移轉,01350001
RPQPMLQJQHIFFCC08CA,源遠段,13.94,都市：住,100000,2760,持分移轉,04590000
RPPQMLQJQHIFFCC08CA,源遠段,16.59,都市：住,100000,417,持分移轉,12700002
RPRPMLQJQHIFFCC18CA,新城段,33.38,都市：住,10000,85,持分移轉,08200000
RPRPMLQJQHIFFCC18CA,新城段,5.58,都市：住,10000,85,持分移轉,08280000
RPRPMLQJQHIFFCC18CA,新城段,.11,都市：住,10000,85,持分移轉,08300000
RPVOMLOKQHIFFCC38CA,麥金段,45.13,都市：住,10000,125,持分移轉,07480000
RPQPMLMKQHIFFCC77CA,源遠段,16.97,都市：住,40000,108,持分移轉,11280002
RPSNMLQJQHIFFBC08DA,深澳段,25.31,都市：住,10000,49,持分移轉,01210000
RPXPMLLJQHIFFCC38DA,大武崙段內寮小段,104.58,都市：住,10000,684,持分移轉,01270000
RPTRMLPJQHIFFCC58DA,武嶺段,37.42,都市：住,12,3,持分移轉,01350000
RPOPMLSJQHIFFCC18DA,五堵段五堵北小段,50.89,都市：住,10000,481,持分移轉,10010000
RPUPMLQJQHIFFCC58DA,工建段,22.06,都市：住,10000,52,持分移轉,05770000
