編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTJQHIFFBC97CA,坡道平面,0,36.53,
RPRPMLMJQHIFFCC77CA,坡道平面,0,,
RPPQMLQJQHIFFCC08CA,坡道機械,0,,
RPRPMLQJQHIFFCC18CA,坡道平面,0,,
RPSNMLQJQHIFFBC08DA,坡道平面,500000,33.83,
RPOPMLSJQHIFFCC18DA,坡道平面,0,,
RPUPMLQJQHIFFCC58DA,坡道平面,500000,35.98,
RPROMLNLQHIFFCC18EA,坡道平面,450000,29.28,
RPSNMLNKQHIFFCC87CA,坡道平面,0,,
RPTOMLQJQHIFFBC18CA,坡道平面,420000,40.10,
RPWPMLQJQHIFFCC68CA,坡道平面,0,,
RPSOMLSJQHIFFCC38CA,坡道平面,0,,
RPXNMLTJQHIFFCC88CA,升降機械,350000,18.06,
RPXNMLTJQHIFFCC88CA,升降機械,350000,18.06,
RPRPMLRJQHIFFCC28CA,升降機械,350000,18.06,
RPRPMLRJQHIFFCC28CA,升降機械,350000,18.06,
RPSPMLRJQHIFFCC38CA,升降平面,750000,36.30,
RPVPMLRJQHIFFCC68CA,坡道平面,0,43.61,
RPRNMLSJQHIFFCC18CA,坡道平面,0,,
RPTNMLSJQHIFFCC38CA,升降機械,0,19.65,
RPVNMLSLQHIFFBC68CA,坡道平面,0,34.98,
RPQOMLQJQHIFFBC87CA,坡道平面,0,48.96,
RPRQMLQJQHIFFBC18CA,升降機械,0,,
RPTOMLQLQHIFFBC38CA,坡道平面,0,18.17,
RPWNMLSJQHIFFBC58CA,坡道平面,0,,
RPPOMLKMQHIFFCC57CA,坡道平面,0,,
RPROMLSJQHIFFCC28CA,坡道平面,0,,
RPUNMLRJQHIFFCC48DA,坡道平面,600000,28.62,
RPXPMLQJQHIFFBC78DA,坡道平面,0,39.45,
RPPQMLQJQHIFFBC08DA,坡道平面,0,,
RPRNMLKMQHIFFBC67DA,坡道平面,380000,41.61,
RPPOMLNKQHIFFCC67CA,坡道平面,0,18.53,
RPVOMLMLQHIFFBC18CA,坡道平面,800000,19.65,
RPWOMLMLQHIFFBC28CA,坡道平面,1000000,19.65,
RPXOMLMLQHIFFBC38CA,坡道機械,475000,9.82,
RPXOMLMLQHIFFBC38CA,坡道機械,475000,9.82,
RPUOMLMLQHIFFBC08CA,坡道機械,475000,9.82,
RPUOMLMLQHIFFBC08CA,坡道機械,475000,9.82,
RPUOMLMKQHIFFBC97CA,坡道平面,1500000,32.94,
RPXPMLRJQHIFFBC78CA,坡道平面,400000,38.72,
RPXPMLRJQHIFFBC78CA,坡道平面,400000,38.72,
RPOOMLOKQHIFFBC57CA,坡道平面,400000,40.66,
RPQOMLMKQHIFFBC57CA,坡道平面,0,,
RPQNMLMLQHIFFBC57CA,坡道平面,0,38.05,
RPUOMLRJQHIFFBC38CA,升降機械,400000,11.38,
RPWNMLNKQHIFFCC28CA,坡道平面,0,35.98,
