編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUPMLNLRHIFFCC68DB,新崙段,271.24,都市：住,10000,70,持分移轉,06000000
RPWOMLNLRHIFFCC78DB,新崙段,271.24,都市：住,10000,70,持分移轉,06000000
RPUOMLNLRHIFFCC58DB,新崙段,271.24,都市：住,10000,70,持分移轉,06000000
RPPPMLNLRHIFFCC18DB,新崙段,294.49,都市：住,10000,76,持分移轉,06000000
RPTPMLNLRHIFFCC58DB,新崙段,267.37,都市：住,10000,69,持分移轉,06000000
RPPQMLNLRHIFFCC28DB,新崙段,294.49,都市：住,10000,76,持分移轉,06000000
RPXPMLNLRHIFFCC98DB,新崙段,271.24,都市：住,10000,70,持分移轉,06000000
RPXOMLNLRHIFFCC88DB,新崙段,267.37,都市：住,10000,69,持分移轉,06000000
RPRPMLNLRHIFFCC38DB,新崙段,317.74,都市：住,10000,82,持分移轉,06000000
RPVPMLNLRHIFFCC78DB,新崙段,321.62,都市：住,10000,83,持分移轉,06000000
RPQQMLNLRHIFFCC38DB,新崙段,294.49,都市：住,10000,76,持分移轉,06000000
RPQRMLNLRHIFFCC48DB,新崙段,271.24,都市：住,10000,70,持分移轉,06000000
RPSRMLNLRHIFFCC68DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPTRMLNLRHIFFCC78DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPXQMLNLRHIFFCC09DB,新崙段,317.74,都市：住,10000,82,持分移轉,06000000
RPPRMLNLRHIFFCC38DB,新崙段,294.49,都市：住,10000,76,持分移轉,06000000
RPORMLNLRHIFFCC28DB,新崙段,271.24,都市：住,10000,70,持分移轉,03000000
RPWQMLNLRHIFFCC98DB,新崙段,271.24,都市：住,10000,70,持分移轉,06000000
RPTQMLNLRHIFFCC68DB,新崙段,267.37,都市：住,10000,69,持分移轉,06000000
RPSQMLNLRHIFFCC58DB,新崙段,267.37,都市：住,10000,69,持分移轉,06000000
RPUQMLNLRHIFFCC78DB,新崙段,271.24,都市：住,10000,70,持分移轉,06000000
RPVRMLNLRHIFFCC98DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPWRMLNLRHIFFCC09DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPXRMLNLRHIFFCC56DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPOSMLNLRHIFFCC38DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPURMLNLRHIFFCC88DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPQSMLNLRHIFFCC58DB,新崙段,213.12,都市：住,10000,55,持分移轉,06000000
RPUSMLNLRHIFFCC98DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPPSMLNLRHIFFCC48DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPVSMLNLRHIFFCC09DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPTSMLNLRHIFFCC88DB,新崙段,213.12,都市：住,10000,55,持分移轉,06000000
RPWSMLNLRHIFFCC56DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPSSMLNLRHIFFCC78DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPQTMLNLRHIFFCC68DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPRTMLNLRHIFFCC78DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPXSMLNLRHIFFCC66DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPPTMLNLRHIFFCC58DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
RPSTMLNLRHIFFCC88DB,新崙段,209.24,都市：住,10000,54,持分移轉,06000000
