編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLMJQHIFFAD87CA,18,23.04,住家用,鋼筋混凝土造,84年9月12日,十八層,十二層 陽台
RPUOMLMJQHIFFAD87CA,18,7.09,共有部分,鋼筋混凝土造,84年9月12日,十八層,
RPUOMLMJQHIFFAD87CA,18,3.75,共有部分,鋼筋混凝土造,84年9月12日,十八層,
RPUOMLPJQHIFFAD18CA,16,68.31,住家用,鋼筋混凝土造,86年10月22日,二十四層,二十一層 陽台
RPUOMLPJQHIFFAD18CA,16,11.57,共有部分,鋼筋混凝土造,86年10月22日,二十四層,
RPUOMLPJQHIFFAD18CA,16,11.71,共有部分,鋼筋混凝土造,86年10月22日,二十四層,
RPOOMLNKQHIFFAD47CA,22,264.88,住商用,鋼筋混凝土造,80年6月27日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 花台
RPPQMLTJQHIFFAD28CA,6,47.18,集合住宅,鋼筋混凝土造,96年7月19日,十四層,二層 陽台
RPQOMLQJQHIFFAD87CA,18,106.65,國民住宅,鋼筋混凝土造,84年4月26日,五層,四層 陽台
RPPQMLTJQHIFFAD28CA,6,11.43,共有部分,鋼筋混凝土造,96年7月19日,十四層,
RPQOMLQJQHIFFAD87CA,18,34.50,共有部分,鋼筋混凝土造,84年4月26日,五層,
RPPQMLTJQHIFFAD28CA,6,9.83,共有部分,鋼筋混凝土造,96年7月19日,十四層,
RPQOMLQJQHIFFAD87CA,18,16.69,共有部分,鋼筋混凝土造,84年4月26日,五層,
RPUNMLRJQHIFFAD28CA,4,17.57,共有部分,鋼筋混凝土造,98年9月8日,十九層,
RPUNMLRJQHIFFAD28CA,4,.00,集合住宅,鋼筋混凝土造,98年9月8日,十九層,十一層 陽台
RPPNMLSJQHIFFAD87CA,19,23.76,住家用,鋼筋混凝土造,84年1月4日,十二層,十二層
RPXNMLPKQHIFFAD48CA,17,87.75,住家用,鋼筋混凝土造,85年12月2日,十九層,十層 見其他登記事項
RPXNMLPKQHIFFAD48CA,17,24.71,共有部分,鋼筋混凝土造,85年12月2日,十九層,
RPXNMLPKQHIFFAD48CA,17,12.92,共有部分,鋼筋混凝土造,85年12月2日,十九層,
RPOPMLQKQHIFFAD87CA,,180.44,住工用,加強磚造,,二層,一層 二層
RPWPMLNLQHIFFAD48CA,17,63.80,住家用,鋼筋混凝土造,85年4月27日,十二層,六層 陽台 見其他登記事項
RPWPMLNLQHIFFAD48CA,17,25.06,共有部分,鋼筋混凝土造,85年4月27日,十二層,
RPTOMLQJQHIFFBD28CA,,158.46,住宅，停車空間,鋼筋混凝土造,102年2月6日,三層,一層 二層 三層 陽台 屋頂突出物
RPTOMLQJQHIFFBD28CA,,.06,本共有部分之項目有管理維護空間等乙項,鋼筋混凝土造,102年2月6日,一層,
RPROMLSJQHIFFBD28CA,1,175.26,集合住宅，停車空間,鋼筋混凝土造,101年12月4日,四層,一層 二層 三層 四層 陽台
RPROMLSJQHIFFBD28CA,1,.03,本共有部分之項目有管理維護使用空間乙項,鋼筋混凝土造,101年12月4日,一層,
RPROMLSJQHIFFBD28CA,1,4.29,本共有部分之項目有陽台乙項（法定空地）,鋼筋混凝土造,101年12月4日,一層,
RPTNMLTJQHIFFBD48CA,,238.39,停車空間、住宅,鋼筋混凝土造,102年4月8日,四層,一層 二層 三層 四層 陽台
RPRNMLOJQHIFFCD87CA,22,58.29,住家用,鋼筋混凝土造,80年1月11日,二十二層,
RPRNMLOJQHIFFCD87CA,22,14.14,共有部分,鋼筋混凝土造,80年1月11日,二十二層,
RPRNMLOJQHIFFCD87CA,22,2.80,共有部分,鋼筋混凝土造,80年1月11日,二十二層,
RPPNMLQJQHIFFCD87CA,22,92.10,住家用,鋼筋混凝土造,80年9月20日,七層,七層 陽台
RPPNMLQJQHIFFCD87CA,22,17.22,共有部分,鋼筋混凝土造,80年9月20日,七層,
RPPNMLQJQHIFFCD87CA,22,5.24,商業用,鋼筋混凝土造,80年9月20日,七層,
RPPNMLQJQHIFFCD87CA,22,7.52,共有部分,鋼筋混凝土造,80年9月20日,七層,
RPPNMLMKQHIFFCD57CA,9,29.59,住家用,ＲＣ造,93年7月12日,十四層,十三層 陽台
RPPNMLMKQHIFFCD57CA,9,6.09,共有部分,ＲＣ造,93年7月12日,十四層,
RPPNMLMKQHIFFCD57CA,9,3.42,共有部分,ＲＣ造,93年7月12日,十四層,
RPSOMLQJQHIFFCD28CA,27,129.81,住家用,鋼筋混凝土造,75年10月24日,二層,一層 二層 陽台 屋頂突出物 騎樓
RPSNMLSJQHIFFCD38CA,26,152.69,住商用,鋼筋混凝土造,76年2月24日,二層,一層 二層 陽台 屋頂突出物 騎樓 夾層
RPWNMLQLQHIFFCD78CA,32,59.03,住家用,鋼筋混凝土造,70年12月3日,五層,三層 陽台 走廊
RPWNMLQLQHIFFCD78CA,32,8.43,共有部分,鋼筋混凝土造,70年12月3日,五層,
RPVNMLQLQHIFFCD68CA,8,294.38,店舖、住宅、停車空間,ＲＣ造,94年5月24日,五層,一層 二層 三層 四層 五層 陽台 雨遮
RPVOMLMJQHIFFCR96CA,18,80.44,住家用,鋼筋混凝土造,84年3月10日,八層,五層 陽台
RPVOMLMJQHIFFCR96CA,18,14.66,共有部分,鋼筋混凝土造,84年3月10日,八層,
RPVOMLMJQHIFFCR96CA,18,11.41,共有部分,鋼筋混凝土造,84年3月10日,八層,
RPPNMLQJQHIFFCR66CA,20,238.78,住家用,鋼筋混凝土造,82年11月25日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物
RPVNMLMJQHIFFDR96CA,,411.06,店舖、住宅、停車空間,鋼筋混凝土造,102年3月27日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮
RPQNMLNJQHIFFDR56CA,36,82.78,住宅、放置處,加強磚造,66年6月9日,二層,一層 二層 陽台 屋頂突出物 見其他登記事項
