編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLLJQHIFFBE18CC,意誠段,.00,都市：商,,,,01990000
RPSNMLLJQHIFFBE87CC,成功段,14.34,都市：住,,,,00590000
RPQOMLLJQHIFFAE67CC,龍華段一小段,2995.00,都市：住,,,,05200000
RPXNMLLJQHIFFIE09CC,保社段,1223.14,都市：工,,,,06310000
RPWOMLLJQHIFFAE28CC,鹽壽段,2582.00,都市：商,,,,00050000
RPROMLLJQHIFFAE77CC,青海段,13.20,都市：商,,,,02090001
RPVNMLMJQHIFFEE58CC,福民段,14.98,都市：住,,,,00300000
RPUPMLMJQHIFFAE28CC,鹽新段,51.51,都市：商,,,,00560000
RPXNMLMJQHIFFDE68CC,灣和段,136.71,都市：住,,,,00870006
RPWOMLMJQHIFFBE48CC,苓洲段,21.24,都市：商,,,,02630000
RPQOMLMJQHIFFBE87CC,苓洲段,16.32,都市：商,,,,11960000
RPSNMLNJQHIFFBE08CC,意誠段,7.80,都市：其他:特種商業區第三種,,,,07270000
RPWNMLNJQHIFFDE68CC,陽明段四小段,.00,非都市： ; 非都市編定：,,,,00710013
RPPNMLNJQHIFFGE28CC,五甲段,67.00,非都市： ; 非都市編定：,,,,19630000
RPQNMLOJQHIFFEE38DC,和平段一小段,21.00,都市：住,,,,05980000
RPQNMLOJQHIFFAE87CC,龍中段,.00,非都市： ; 非都市編定：,,,,01150000
RPTNMLLJQHIFFCE08CC,獅甲段,1.44,都市：住,,,,03300000
RPTNMLLJQHIFFCE08CC,獅甲段,4.54,都市：住,,,,03310000
RPRNMLPJQHIFFAE08CC,龍華段二小段,57.00,都市：住,,,,07510000
RPPNMLOJQHIFFBE87CC,意誠段,.00,都市：商,,,,01990000
RPXPMLPJQHIFFDE56CC,中都段二小段,.00,都市：住,,,,03580000
RPUNMLPJQHIFFEE78CC,福民段,12.53,都市：住,,,,02510000
RPUQMLPJQHIFFEE09CC,和平段三小段,27.37,都市：住,,,,00510000
RPOSMLQJQHIFFEE78CC,興隆段,8.20,都市：住,,,,08590000
RPWOMLQJQHIFFAE88DC,龍中段,24.87,都市：住,,,,00590000
RPQOMLQJQHIFFEE68DC,高昌段,24.13,都市：住,,,,00770000
RPSNMLQJQHIFFDE58CC,大港段,26.26,都市：住,,,,34110000
RPXNMLQJQHIFFAE78CC,龍華段八小段,5.54,都市：住,,,,24090000
RPOOMLQJQHIFFAE97CC,前金段,39.60,都市：商,,,,00520008
RPXOMLQJQHIFFAE88CC,龍中段,1171.80,都市：商,,,,01460000
RPTNMLQJQHIFFBE48CC,大統段一小段,13.68,都市：商,,,,02170000
RPWOMLQJQHIFFBE88CC,新興段一小段,3.75,都市：商,,,,10220000
RPUNMLQJQHIFFBE58CC,林德官段一小段,33.06,非都市： ; 非都市編定：,,,,27300000
RPPOMLRJQHIFFBE28CC,意誠段,5.73,都市：商,,,,07760000
RPROMLRJQHIFFAE38CC,東金段,5.76,都市：商,,,,08360000
RPTNMLRJQHIFFIE66CC,竹園段,282.00,都市：工,,,,02210015
RPRPMLRJQHIFFGE09CC,七老爺段一甲小段,148.00,都市：住,,,,00580008
RPRPMLRJQHIFFGE09CC,七老爺段一甲小段,10.00,都市：其他:道路用地,,,,00580010
RPSPMLSJQHIFFGE66CC,大貝湖段,100.56,都市：住,,,,00440013
RPRNMLSJQHIFFFE88CC,下竹圍段,416.68,都市：住,,,,00050004
RPOOMLSJQHIFFFE68CC,下竹圍段,15.42,都市：其他:,,,,00050004
RPQOMLSJQHIFFFE88CC,岡山段,36.63,都市：其他:,,,,04620000
RPWOMLSJQHIFFAE98CC,博孝段,6.88,都市：住,,,,13450000
RPTNMLSJQHIFFDE88CC,三塊厝段一小段,2.99,都市：商,,,,10850001
RPTNMLTJQHIFFDE98CC,灣和段,.00,都市：商,,,,00380000
RPUNMLTJQHIFFDE09CC,灣和段,.00,都市：商,,,,00380000
RPUNMLTJQHIFFBE88CC,大統段二小段,.00,都市：商,,,,14350000
RPUNMLTJQHIFFBE88CC,大統段二小段,.00,都市：商,,,,14350001
RPROMLTJQHIFFEE98CC,新博段,306.15,都市：住,,,,00240000
RPRNMLOJQHIFFAE97CC,文東段,.00,都市：住,,,,00430000
RPUPMLPJQHIFFDE88CC,灣內段,.00,都市：住,,,,07050000
RPPOMLTJQHIFFGE98CC,大貝湖段,144.49,都市：住,,,,01550000
RPQPMLTJQHIFFGE56CC,文英段,115.00,都市：住,,,,05570000
RPRPMLTJQHIFFGE66CC,道爺?段,.00,非都市： ; 非都市編定：,,,,03060000
RPSPMLTJQHIFFGE76CC,明頂段,68.00,都市：住,,,,01140009
RPWOMLTJQHIFFEE96DC,新庄段十三小段,7.83,都市：商,,,,14570001
RPXOMLTJQHIFFEE07DC,新庄段二小段,36.10,都市：住,,,,05220000
RPQNMLKKQHIFFAE57CC,龍華段八小段,9.69,都市：住,,,,22560000
RPSNMLKKQHIFFAE77CC,龍中段,9.53,都市：商,,,,00870000
RPVNMLMKQHIFFAE28CC,北金段,1753.00,都市：住,,,,00730000
RPRNMLKKQHIFFEE08CC,翠屏段一小段,18.78,都市：住,,,,00250000
RPWPMLTJQHIFFEE96CC,新福段二小段,11.16,都市：住,,,,00220000
RPPQMLTJQHIFFEE98CC,福山段,25.09,都市：住,,,,04570000
RPSNMLMKQHIFFGE58CC,新甲段,58.00,都市：住,,,,12370025
RPVNMLNKQHIFFEE78CC,福山段,12.34,都市：住,,,,01590000
RPPQMLNKQHIFFEE48CC,新庄段十二小段,.00,都市：商,,,,12040000
