編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSRMLPJQHIFFAF48CA,幸福段,.50,都市：住,100000,11,持分移轉,01220000
RPQTMLLJQHIFFAF08CA,亞東段,12.55,都市：住,10000,45,持分移轉,10780000
RPQTMLLJQHIFFAF08CA,亞東段,1.00,都市：住,10000,45,持分移轉,10780001
RPQTMLLJQHIFFAF08CA,亞東段,1.23,都市：住,10000,45,持分移轉,10780002
RPPOMLPJQHIFFAF87CA,幸福段,3.20,都市：住,100000,71,持分移轉,01220000
RPPPMLMJQHIFFAF67CA,江子翠段溪頭小段,25.00,都市：住,4,1,持分移轉,01160020
RPWPMLMJQHIFFAF38CA,頂新段,17.24,都市：住,10000,10,持分移轉,05230000
RPRTMLLJQHIFFAF18CA,中山段,22.50,都市：住,100000,1755,持分移轉,02650001
RPTNMLRJQHIFFAF38CA,光華段,30.80,都市：住,5,1,持分移轉,19600008
RPUNMLRJQHIFFAF48CA,文化段,50.00,都市：住,1,1,全筆移轉,02320000
RPPNMLSJQHIFFAF08CA,新雅段,4.53,都市：住,10000,30,持分移轉,06280000
RPUOMLRJQHIFFAF58CA,文化段,.17,都市：住,10000,88,持分移轉,19120000
RPUOMLRJQHIFFAF58CA,文化段,1.33,都市：住,10000,88,持分移轉,19140000
RPUOMLRJQHIFFAF58CA,文化段,1.19,都市：住,10000,88,持分移轉,19150000
RPUOMLRJQHIFFAF58CA,文化段,1.25,都市：住,10000,88,持分移轉,19160000
RPUOMLRJQHIFFAF58CA,文化段,1.33,都市：住,10000,88,持分移轉,19170000
RPXPMLRJQHIFFAF98CA,金城段,19.82,都市：住,5,1,持分移轉,00510000
RPXPMLRJQHIFFAF98CA,金城段,.30,都市：住,5,1,持分移轉,00520000
RPWOMLPKQHIFFAF68CA,文化段,45.50,都市：住,4,1,持分移轉,21480000
RPPSMLKLQHIFFAF97CA,員和段,45.40,都市：其他:道路用地,1,1,全筆移轉,10730000
RPRNMLMJQHIFFAF67CA,幸福段,3.20,都市：住,100000,71,持分移轉,01220000
RPQPMLMJQHIFFAF77CA,大庭段,27.25,都市：住,4,1,持分移轉,21220000
RPTPMLMJQHIFFBF18CA,國宅段,18.88,都市：住,10000,77,持分移轉,00160006
RPVPMLMJQHIFFBF38CA,力行段,27.78,都市：住,10000,95,持分移轉,11970000
