編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTQMLLJQHIFFGF88DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPWQMLLJQHIFFGF56DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPXQMLLJQHIFFGF66DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPRRMLLJQHIFFGF78DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPUQMLLJQHIFFGF98DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPSRMLLJQHIFFGF88DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPORMLLJQHIFFGF48DB,九芎段,33.65,都市：工,1,1,全筆移轉,05920000
RPTRMLLJQHIFFGF98DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPPRMLLJQHIFFGF58DB,九芎段,33.50,都市：工,1,1,全筆移轉,05920000
RPPSMLLJQHIFFGF68DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPTSMLLJQHIFFGF09DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPRSMLLJQHIFFGF88DB,九芎段,39.41,都市：工,100000,1572,持分移轉,05920000
RPQSMLLJQHIFFGF78DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPURMLLJQHIFFGF09DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPVRMLLJQHIFFGF56DB,九芎段,40.84,都市：工,100000,1629,持分移轉,05920000
RPSSMLLJQHIFFGF98DB,九芎段,40.69,都市：工,100000,1623,持分移轉,05920000
RPOSMLLJQHIFFGF58DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPXRMLLJQHIFFGF76DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPWRMLLJQHIFFGF66DB,九芎段,39.26,都市：工,100000,1566,持分移轉,05920000
RPWSMLLJQHIFFGF76DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPUSMLLJQHIFFGF56DB,九芎段,24.70,都市：工,100000,985,持分移轉,05920000
RPVSMLLJQHIFFGF66DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPOTMLLJQHIFFGF68DB,九芎段,39.26,都市：工,100000,1566,持分移轉,05920000
RPXSMLLJQHIFFGF86DB,九芎段,40.84,都市：工,100000,1629,持分移轉,05920000
RPPTMLLJQHIFFGF78DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPRTMLLJQHIFFGF98DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPQTMLLJQHIFFGF88DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPTTMLLJQHIFFGF56DB,九芎段,40.84,都市：工,100000,1629,持分移轉,05920000
RPSTMLLJQHIFFGF09DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPUTMLLJQHIFFGF66DB,九芎段,40.69,都市：工,100000,1623,持分移轉,05920000
RPWTMLLJQHIFFGF86DB,九芎段,31.89,都市：工,100000,1272,持分移轉,05920000
RPOUMLLJQHIFFGF78DB,九芎段,32.67,都市：工,100000,1303,持分移轉,05920000
RPXTMLLJQHIFFGF96DB,九芎段,31.89,都市：工,100000,1272,持分移轉,05920000
RPPUMLLJQHIFFGF88DB,九芎段,48.04,都市：工,100000,1916,持分移轉,05920000
RPVTMLLJQHIFFGF76DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPSUMLLJQHIFFGF56DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPRUMLLJQHIFFGF09DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPUUMLLJQHIFFGF76DB,九芎段,32.67,都市：工,100000,1303,持分移轉,05920000
RPQUMLLJQHIFFGF98DB,九芎段,47.89,都市：工,100000,1910,持分移轉,05920000
RPTUMLLJQHIFFGF66DB,九芎段,31.89,都市：工,100000,1272,持分移轉,05920000
RPVUMLLJQHIFFGF86DB,九芎段,40.84,都市：工,100000,1629,持分移轉,05920000
RPXUMLLJQHIFFGF07DB,九芎段,40.69,都市：工,100000,1623,持分移轉,05920000
RPRVMLLJQHIFFGF56DB,九芎段,32.67,都市：工,100000,1303,持分移轉,05920000
RPOVMLLJQHIFFGF88DB,九芎段,31.89,都市：工,100000,1272,持分移轉,05920000
RPPVMLLJQHIFFGF98DB,九芎段,31.89,都市：工,100000,1272,持分移轉,05920000
RPQVMLLJQHIFFGF09DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPSVMLLJQHIFFGF66DB,九芎段,40.84,都市：工,100000,1629,持分移轉,05920000
RPXVMLLJQHIFFGF17DB,九芎段,40.69,都市：工,100000,1623,持分移轉,05920000
RPTVMLLJQHIFFGF76DB,九芎段,47.89,都市：工,100000,1910,持分移轉,05920000
RPOWMLLJQHIFFGF98DB,九芎段,32.67,都市：工,100000,1303,持分移轉,05920000
RPUVMLLJQHIFFGF86DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPVVMLLJQHIFFGF96DB,九芎段,32.67,都市：工,100000,1303,持分移轉,05920000
RPWVMLLJQHIFFGF07DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPQWMLLJQHIFFGF56DB,九芎段,31.89,都市：工,100000,1272,持分移轉,05920000
RPPWMLLJQHIFFGF09DB,九芎段,31.89,都市：工,100000,1272,持分移轉,05920000
RPRWMLLJQHIFFGF66DB,九芎段,31.24,都市：工,100000,1246,持分移轉,05920000
RPTWMLLJQHIFFGF86DB,九芎段,30.46,都市：工,100000,1215,持分移轉,05920000
RPVWMLLJQHIFFGF07DB,九芎段,32.67,都市：工,100000,1303,持分移轉,05920000
RPSWMLLJQHIFFGF76DB,九芎段,38.43,都市：工,100000,1533,持分移轉,05920000
RPUWMLLJQHIFFGF96DB,九芎段,31.89,都市：工,100000,1272,持分移轉,05920000
RPSOMLPJQHIFFGF88CB,富貴段,33.94,都市：住,10000,171,持分移轉,00720000
RPTOMLPJQHIFFGF98CB,富貴段,33.94,都市：住,10000,171,持分移轉,00720000
RPOOMLPJQHIFFGF48CB,富貴段,42.27,都市：住,10000,213,持分移轉,00720000
RPROMLPJQHIFFGF78CB,富貴段,33.94,都市：住,10000,171,持分移轉,00720000
RPWNMLPJQHIFFGF56CB,富貴段,42.67,都市：住,10000,215,持分移轉,00720000
RPXNMLPJQHIFFGF66CB,富貴段,42.27,都市：住,10000,213,持分移轉,00720000
RPVNMLPJQHIFFGF09CB,富貴段,42.47,都市：住,10000,214,持分移轉,00720000
RPUNMLPJQHIFFGF98CB,富貴段,42.47,都市：住,10000,214,持分移轉,00720000
RPVOMLPJQHIFFGF56CB,富貴段,33.94,都市：住,10000,171,持分移轉,00720000
RPTPMLPJQHIFFGF09CB,富貴段,34.14,都市：住,10000,172,持分移轉,00720000
RPSPMLPJQHIFFGF98CB,富貴段,34.14,都市：住,10000,172,持分移轉,00720000
RPXOMLPJQHIFFGF76CB,富貴段,33.94,都市：住,10000,171,持分移轉,00720000
RPUOMLPJQHIFFGF09CB,富貴段,33.94,都市：住,10000,171,持分移轉,00720000
RPRPMLPJQHIFFGF88CB,富貴段,34.14,都市：住,10000,172,持分移轉,00720000
