鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之９號,100.5,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,164.72,3,2,4,有,無,5680000,34483,,0.0,0,,RPOOMLPJQHIFFAG87CA,153.01,0.0,11.71,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之８號,100.5,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,164.72,3,2,4,有,無,5680000,34483,,0.0,0,,RPQOMLPJQHIFFAG08CA,153.01,0.0,11.71,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之７號,100.5,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,164.72,3,2,4,有,無,5770000,35029,,0.0,0,,RPSOMLPJQHIFFAG28CA,153.01,0.0,11.71,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之５號,100.5,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,164.72,3,2,4,有,無,5850000,35515,,0.0,0,,RPTOMLPJQHIFFAG38CA,153.01,0.0,11.71,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之３號,100.5,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,164.72,3,2,4,有,無,5750000,34908,,0.0,0,,RPVOMLPJQHIFFAG58CA,153.01,0.0,11.71,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之２號,100.5,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,164.72,3,2,4,有,無,5800000,35211,,0.0,0,,RPWOMLPJQHIFFAG68CA,153.01,0.0,11.71,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之１號,135.05,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,167.11,3,2,4,有,無,6480000,38777,,0.0,0,,RPOPMLPJQHIFFAG97CA,155.12,0.0,11.99,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之１３號,160.29,住,,,1020718,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,205.09,3,2,4,有,無,6360000,31011,,0.0,0,,RPQPMLPJQHIFFAG18CA,201.01,0.0,4.08,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉街５６之１５號,109.43,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,164.72,3,2,4,有,無,5680000,34483,,0.0,0,,RPRPMLPJQHIFFAG28CA,153.01,0.0,11.71,,
