編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLLJQHIFFCH97CC,16,36.63,住家用,鋼筋混凝土造,86年1月30日,十八層,
RPOOMLLJQHIFFCH97CC,16,6.63,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPOOMLLJQHIFFCH97CC,16,2.78,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPOOMLLJQHIFFCH97CC,16,1.15,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPOOMLLJQHIFFCH97CC,16,.06,共有部份,鋼筋混凝土造,86年1月30日,一層,
RPSQMLMJQHIFFAH48CC,16,24.88,住家用,鋼筋混凝土造,86年9月1日,十七層,
RPSQMLMJQHIFFAH48CC,16,1.97,共有部份,鋼筋混凝土造,86年9月1日,十七層,
RPSQMLMJQHIFFAH48CC,16,4.59,共有部份,鋼筋混凝土造,86年9月1日,十七層,
RPSQMLMJQHIFFAH48CC,16,24.88,住家用,鋼筋混凝土造,86年9月1日,十七層,
RPSQMLMJQHIFFAH48CC,16,1.97,共有部份,鋼筋混凝土造,86年9月1日,十七層,
RPSQMLMJQHIFFAH48CC,16,4.59,共有部份,鋼筋混凝土造,86年9月1日,十七層,
RPTQMLMJQHIFFAH58CC,18,51.94,住家用,鋼筋混凝土造,84年7月4日,十三層,
RPTQMLMJQHIFFAH58CC,18,3.27,共有部份,鋼筋混凝土造,84年7月4日,十三層,
RPTQMLMJQHIFFAH58CC,18,36.35,共有部份,鋼筋混凝土造,84年7月4日,十三層,
RPTQMLMJQHIFFAH58CC,18,1.45,共有部份,鋼筋混凝土造,84年7月4日,十三層,
RPTQMLMJQHIFFAH58CC,18,4.82,共有部份,鋼筋混凝土造,84年7月4日,十三層,
RPURMLLJQHIFFAH68CC,19,75.15,住家用,鋼筋混凝土造,83年10月19日,五層,
RPPRMLMJQHIFFAH28CC,14,70.00,住家用,鋼筋混凝土造,88年11月29日,二十四層,
RPPRMLMJQHIFFAH28CC,14,4.96,共有部份,鋼筋混凝土造,88年11月29日,二十四層,
RPPRMLMJQHIFFAH28CC,14,15.24,共有部份,鋼筋混凝土造,88年11月29日,二十四層,
RPVQMLMJQHIFFAH78CC,17,27.41,住家用,鋼筋混凝土造,85年1月18日,十七層,
RPVQMLMJQHIFFAH78CC,17,12.56,共有部份,鋼筋混凝土造,85年1月18日,十七層,
RPSOMLMJQHIFFBH38CC,6,86.19,住家用,鋼筋混凝土造,96年9月29日,十二層,
RPSOMLMJQHIFFBH38CC,6,32.55,共有部份,鋼筋混凝土造,96年9月29日,十二層,
RPXQMLMJQHIFFAH98CC,19,137.61,住家用,鋼筋混凝土造,83年12月23日,十三層,
RPRRMLMJQHIFFAH48CC,10,46.86,住家用,鋼筋混凝土造,92年7月28日,十四層,
RPRRMLMJQHIFFAH48CC,10,6.71,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPRRMLMJQHIFFAH48CC,10,10.02,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPXNMLNJQHIFFBH88CC,19,75.10,住家用,鋼筋混凝土造,83年6月23日,八層,
RPXNMLNJQHIFFBH88CC,19,6.21,共有部份,鋼筋混凝土造,83年6月23日,八層,
RPXNMLNJQHIFFBH88CC,19,12.68,共有部份,鋼筋混凝土造,83年6月23日,八層,
RPPNMLNJQHIFFFH48CC,18,181.22,住宅，車庫,鋼筋混凝土造,84年12月11日,四層,
RPSNMLOJQHIFFGH98CC,37,119.04,住家用,加強磚造,65年6月3日,二層,
RPVRMLMJQHIFFAH88CC,15,35.89,住家用,鋼筋混凝土造,87年4月2日,二十四層,
RPVRMLMJQHIFFAH88CC,15,6.68,共有部份,鋼筋混凝土造,87年4月2日,二十四層,
RPVRMLMJQHIFFAH88CC,15,4.29,共有部份,鋼筋混凝土造,87年4月2日,二十四層,
RPUOMLPJQHIFFAH78CC,16,89.99,住家用,鋼筋混凝土造,86年7月1日,十七層,
RPUOMLPJQHIFFAH78CC,16,19.72,共有部份,鋼筋混凝土造,86年7月1日,十七層,
RPUOMLPJQHIFFAH78CC,16,37.71,共有部份,鋼筋混凝土造,86年7月1日,十七層,
RPURMLMJQHIFFAH78CC,16,89.85,住家用,鋼筋混凝土造,86年7月1日,十七層,
RPURMLMJQHIFFAH78CC,16,19.72,共有部份,鋼筋混凝土造,86年7月1日,十七層,
RPVOMLPJQHIFFAH88CC,16,27.27,一般事務所,鋼筋混凝土造,86年12月24日,十七層,
RPVOMLPJQHIFFAH88CC,16,3.24,共有部份,鋼筋混凝土造,86年12月24日,十七層,
RPVOMLPJQHIFFAH88CC,16,8.34,共有部份,鋼筋混凝土造,86年12月24日,十七層,
RPTRMLMJQHIFFAH68CC,18,67.21,住家用,鋼筋混凝土造,84年6月10日,十四層,
RPTRMLMJQHIFFAH68CC,18,25.29,共有部份,鋼筋混凝土造,84年6月10日,十四層,
RPSOMLPJQHIFFAH58CC,2,43.64,住家用,鋼筋混凝土造,100年8月29日,十三層,
RPSOMLPJQHIFFAH58CC,2,21.81,本共有部分之項目有附屬防空避難室兼停車空間、蓄水池、發電機房、消防泵浦室、污水機房、梯間、台電配電場所、電信室及附屬管理室、等玖項。,鋼筋混凝土造,100年8月29日,十三層,
RPRQMLPJQHIFFAH68CC,19,25.09,住家用,鋼筋混凝土造,83年3月18日,十二層,
RPRQMLPJQHIFFAH68CC,19,10.77,共有部份,鋼筋混凝土造,83年3月18日,十二層,
RPOQMLPJQHIFFAH38CC,19,61.79,住家用,鋼筋混凝土造,83年3月5日,八層,
RPOQMLPJQHIFFAH38CC,19,7.92,共有部份,鋼筋混凝土造,83年3月5日,八層,
RPOQMLPJQHIFFAH38CC,19,6.11,共有部份,鋼筋混凝土造,83年3月5日,八層,
RPQPMLPJQHIFFAH48CC,15,35.97,住家用,鋼筋混凝土造,87年12月15日,十二層,
RPQPMLPJQHIFFAH48CC,15,9.92,共有部份,鋼筋混凝土造,87年12月15日,十二層,
RPWOMLPJQHIFFAH98CC,24,91.10,住家用,鋼筋混凝土造,78年5月22日,十二層,
RPWOMLPJQHIFFAH98CC,24,16.16,共有部份,鋼筋混凝土造,78年5月22日,十二層,
RPWOMLPJQHIFFAH98CC,24,11.18,共有部份,鋼筋混凝土造,78年5月22日,十二層,
RPUPMLPJQHIFFAH88CC,19,24.29,住家用,鋼筋混凝土造,83年3月18日,十二層,
RPUPMLPJQHIFFAH88CC,19,11.43,共有部份,鋼筋混凝土造,83年3月18日,十二層,
RPOPMLPJQHIFFAH28CC,10,34.55,住家用,鋼筋混凝土造,92年7月28日,十四層,
RPOPMLPJQHIFFAH28CC,10,4.85,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPOPMLPJQHIFFAH28CC,10,9.04,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPSPMLPJQHIFFAH68CC,17,41.83,住家用,鋼筋混凝土造,85年7月13日,十一層,
RPSPMLPJQHIFFAH68CC,17,2.09,共有部份,鋼筋混凝土造,85年7月13日,十一層,
RPSPMLPJQHIFFAH68CC,17,4.78,共有部份,鋼筋混凝土造,85年7月13日,十五層,
RPTOMLLJQHIFFCH48CC,16,28.18,住家用,鋼筋混凝土造,86年1月30日,十四層,
RPTOMLLJQHIFFCH48CC,16,3.27,住家用,鋼筋混凝土造,86年1月30日,十四層,
RPTOMLLJQHIFFCH48CC,16,2.10,共有部份,鋼筋混凝土造,86年1月30日,十四層,
RPTOMLLJQHIFFCH48CC,16,.54,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPTOMLLJQHIFFCH48CC,16,12.49,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPTOMLLJQHIFFCH48CC,16,.01,共有部份,鋼筋混凝土造,86年1月30日,一層,
RPPOMLLJQHIFFCH08CC,16,28.86,住家用,鋼筋混凝土造,86年6月26日,十五層,
RPPOMLLJQHIFFCH08CC,16,2.27,共有部份,鋼筋混凝土造,86年6月26日,十五層,
RPPOMLLJQHIFFCH08CC,16,.54,共有部份,鋼筋混凝土造,86年6月26日,十八層,
RPPOMLLJQHIFFCH08CC,16,.54,共同使用（防空避難室，停車場）,鋼筋混凝土造,86年6月26日,十八層,
RPPOMLLJQHIFFCH08CC,16,.01,共有部份,鋼筋混凝土造,86年6月26日,一層,
RPVNMLQJQHIFFBH98CC,13,146.89,住家用,鋼筋混凝土造,89年5月29日,八層,
RPWQMLQJQHIFFBH76CC,8,59.72,住家用,鋼筋混凝土造,94年1月20日,十二層,
RPWQMLQJQHIFFBH76CC,8,10.06,共有部份,鋼筋混凝土造,94年1月20日,十二層,
RPWQMLQJQHIFFBH76CC,8,8.97,住宅、停車空間,鋼筋混凝土造,94年2月14日,四層,
RPSOMLQJQHIFFCH88CC,23,324.00,住家用,鋼造,79年10月20日,一層,
RPVNMLQJQHIFFAH98DC,20,95.67,辦公室,鋼筋混凝土造﹐鋼骨,82年4月30日,二十二層,
RPOOMLQJQHIFFBH48DC,1,115.70,住家用,鋼筋混凝土造,101年6月14日,四層,
RPPOMLQJQHIFFBH58DC,4,115.43,住家用,鋼筋混凝土造,98年6月29日,二十一層,
RPOQMLRJQHIFFAH68DC,18,76.28,人行道．店舖,鋼筋混凝土造,84年7月24日,十二層,
RPOQMLRJQHIFFAH68DC,18,102.58,人行道．店舖,鋼筋混凝土造,84年7月24日,十二層,
RPOQMLRJQHIFFAH68DC,18,126.38,人行道．店舖,鋼筋混凝土造,84年7月24日,十二層,
RPQNMLRJQHIFFFH98CC,33,99.56,住家用,鋼筋混凝土造,69年2月9日,四層,
RPOPMLRJQHIFFAH58DC,29,202.64,住商用,鋼筋混凝土造,73年9月29日,二層,
RPXNMLSJQHIFFAH76DC,8,43.77,住家用,鋼筋混凝土造,94年11月10日,九層,
RPRQMLSJQHIFFAH09DC,32,79.50,住家用,鋼筋混凝土造,70年6月16日,四層,
RPSPMLTJQHIFFAH09CC,17,97.12,住家用,鋼筋混凝土造,86年2月4日,五層,
RPUSMLQJQHIFFAH66CC,18,35.28,住家用,鋼筋混凝土造,84年8月9日,十四層,
RPUSMLQJQHIFFAH66CC,18,6.55,共有部份,鋼筋混凝土造,84年8月9日,十四層,
RPUSMLQJQHIFFAH66CC,18,3.59,共有部份,鋼筋混凝土造,84年8月9日,十四層,
RPSOMLQJQHIFFAH68CC,17,35.90,停車空間,鋼筋混凝土造,85年1月18日,十七層,
RPSOMLQJQHIFFAH68CC,17,.70,共有部份,鋼筋混凝土造,85年1月18日,十七層,
RPTUMLPJQHIFFAH66CC,27,150.92,人行道．一般零售業,鋼筋混凝土造,75年5月27日,七層,
RPTUMLPJQHIFFAH66CC,27,28.71,共有部份,鋼筋混凝土造,75年5月27日,七層,
RPURMLTJQHIFFAH86CC,10,147.55,住家用,鋼筋混凝土造,92年9月18日,十三層,
RPVSMLQJQHIFFAH76CC,22,160.61,住家用,鋼筋混凝土造,80年5月30日,七層,
RPVSMLQJQHIFFAH76CC,22,15.01,共有部份,鋼筋混凝土造,80年5月30日,七層,
RPVSMLQJQHIFFAH76CC,22,38.74,共有部份,鋼筋混凝土造,80年5月30日,七層,
RPSNMLKKQHIFFFH58CC,15,128.04,住家用,鋼筋混凝土造,87年11月2日,七層,
RPVOMLMKQHIFFAH68CC,17,29.00,住家用,鋼筋混凝土造,85年4月20日,十九層,
RPXPMLMKQHIFFAH98CC,40,62.09,住家用,加強磚造,62年2月20日,二層,
RPPTMLNKQHIFFAH68CC,6,99.17,住家用,鋼筋混凝土造,96年8月22日,十二層,
RPQQMLNKQHIFFAH58DC,19,33.05,住家用,鋼筋混凝土造,83年7月14日,七層,
RPWNMLNKQHIFFBH98DC,38,67.90,住家用,加強磚造,64年11月15日,二層,
RPPUMLMKQHIFFBH88DC,4,25.30,住宅、住宅（附屬停車空間）、辦公室、住宅（附屬樓梯間）,鋼筋混凝土造,97年11月6日,四層,
RPSSMLPJQHIFFAH98CC,9,23.26,住家用,鋼筋混凝土造,93年7月20日,十三層,
RPSSMLPJQHIFFAH98CC,9,4.90,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPSSMLPJQHIFFAH98CC,9,5.26,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPTTMLNKQHIFFAH66EC,19,99.80,住家用,鋼筋混凝土造,83年10月5日,十七層,
RPSQMLPJQHIFFAH78CC,29,1333.66,廠房﹐避難室,鋼筋混凝土造,74年1月9日,二層,
RPWNMLPKQHIFFGH96CC,39,65.44,住家用,加強磚造,63年3月24日,二層,
RPPNMLPKQHIFFFH98EC,35,49.73,住家用,加強磚造,68年2月5日,一層,
RPQNMLPKQHIFFAH48DC,9,51.67,住家用,鋼筋混凝土造,93年2月20日,八層,
RPSNMLOKQHIFFFH98CC,15,89.46,住家用,鋼骨鋼筋混凝土造,87年7月29日,十九層,
RPSNMLPKQHIFFFH56DC,4,174.42,辦公室、補習班、住宅,鋼筋混凝土造,98年5月6日,十九層,
RPWOMLKKQHIFFBH68CC,13,77.71,住家用,鋼筋混凝土造,90年1月15日,十層,
RPVNMLPKQHIFFBH98CC,1,102.57,集合住宅,鋼筋混凝土造,101年8月27日,十二層,
RPVNMLPKQHIFFBH98CC,1,20.32,本共有部分之項目有：梯廳、水箱、機械室、雨遮、陽台等共五項。,鋼筋混凝土造,101年8月27日,十二層,
RPVNMLPKQHIFFBH98CC,1,52.22,本共有部分之項目有：消防泵浦室、消防水池、水箱、污水機房、污水處理設備、停車空間、發電機室、電信室、台電配電室、管理員室、防空避難室兼停車空間、車道、公共服務空間、廣場開放空間、陽台等共十五項。,鋼筋混凝土造,101年8月27日,十二層,
RPVOMLKKQHIFFBH58CC,13,51.67,住家用,鋼筋混凝土造,90年1月15日,十層,
RPSOMLMKQHIFFDH68CC,8,136.71,商業用,鋼筋混凝土造,94年7月5日,十層,
RPVNMLPKQHIFFAH88CC,18,102.04,住家用,鋼筋混凝土造,85年1月31日,十二層,
RPVNMLPKQHIFFAH88CC,18,11.44,共有部份,鋼筋混凝土造,85年1月31日,十四層,
RPTPMLPKQHIFFAH88CC,7,50.62,住家用,鋼筋混凝土造,95年9月20日,十二層,
