鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路一段３９３號二樓,47.68,住,,,1020619,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010531,304.34000000000003,3,2,2,有,有,19380000,71636,坡道平面,63.12,2100000,,RPRNMLMJQHIFFBJ18CA,141.14,9.77,16.47,,
竹北市,土地,社北段654-2地號,139.8,其他,,,1020726,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1601500,11456,,0.0,0,,RPTNMLPJQHIFFBJ68CA,0.0,0.0,0.0,,
竹北市,房地(土地+建物),新竹縣竹北市嘉豐十路１號3樓之9,7.69,商,,,1020705,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970321,63.699999999999996,1,1,1,有,有,2960000,46468,,0.0,0,,RPROMLPJQHIFFBJ58CA,39.45,5.1,0.0,,
竹北市,房地(土地+建物),新竹縣竹北市中正西路５６巷25號4樓,39.43,住,,,1020611,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941118,193.69,4,2,2,有,有,8330000,43007,,0.0,0,,RPOQMLPJQHIFFBJ48CA,107.53,0.0,14.17,,
竹北市,房地(土地+建物),新竹縣竹北市中華路１４８３巷２弄６號,159.35,,山坡地保育區,丙種建築用地,1020721,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,,248.01,5,2,3,有,無,5900000,23789,,0.0,0,,RPPQMLPJQHIFFBJ58CA,221.9,6.27,19.84,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興里復興二路２２３號１３樓之２,35.16,,,,1020525,土地1建物1車位2,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010821,344.7,4,3,2,有,有,24450000,82006,坡道平面,69.72,1900000,,RPXRMLQJQHIFFBJ96CA,178.57,3.1,19.24,,
新埔鎮,土地,巨埔段1154-10地號,1125.49,其他,一般農業區,甲種建築用地,1020714,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12330000,10955,,0.0,0,,RPRNMLRJQHIFFBJ68CA,0.0,0.0,0.0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市民權街１７巷９號九樓之六,8.7,住,,,1020704,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840420,75.19,0,0,0,無,無,5050000,67163,坡道平面,0.0,0,,RPWNMLRJQHIFFBJ56CA,72.05,0.0,3.14,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐六路二段２９號,12.92,商,,,1020418,土地1建物1車位2,一層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1010827,137.75,0,0,1,有,有,9420000,99557,坡道平面,63.22,2000000,,RPWOMLTJQHIFFBJ86CA,52.76,0.0,0.0,,
