編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLJQHIFFBK28CC,社寮岡段,13.09,都市：住,,,,03140000
RPOOMLNKQHIFFBK48CC,福安段,101.27,都市：住,,,,11990000
RPPNMLTKQHIFFFK96DC,田寮段二小段,176.00,非都市： ; 非都市編定：,,,,01440027
RPTNMLPJRHIFFFK86CC,田寮段二小段,175.00,都市：住,,,,02670016
RPQNMLRJQHIFFBK88CC,華清段,20.86,都市：住,,,,05250000
RPSNMLSLQHIFFBK76CC,苗栗段,75.00,都市：住,,,,13340003
RPSNMLSLQHIFFBK76CC,苗栗段,7.00,都市：住,,,,13380000
RPUNMLQJQHIFFBK56CC,文山段,98.00,都市：住,,,,08060030
RPVNMLQJQHIFFFK07CC,蟠桃段山下小段,1583.00,都市：住,,,,06270011
RPTNMLKMRHIFFDK56DC,新生段,295.10,都市：住,,,,06790004
RPSOMLRJIIIFFDK68CC,海口段海口小段,3053.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07960000
RPTOMLOJIIIFFDK48CC,竹南段二小段,2808.00,都市：住,,,,11640000
RPVNMLPLRHIFFDK07CC,龍山段,76.22,都市：住,,,,06330000
RPVNMLPLRHIFFDK07CC,龍山段,145.44,都市：住,,,,06340000
RPTNMLLKIIIFFFK48DC,田寮段二小段,152.00,非都市： ; 非都市編定：,,,,01320045
RPRNMLSJIIIFFFK78CC,田寮段二小段,18.08,都市：住,,,,06050000
RPPNMLTJIIIFFFK78DC,田寮段二小段,128.00,非都市： ; 非都市編定：,,,,01400023
RPSNMLQKIIIFFDK58CC,五福段,56.29,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,02360000
RPRNMLQKIIIFFDK48CC,中興段博愛小段,112.00,都市：住,,,,01560000
RPRNMLLLIIIFFBK97DC,福安段,100.00,都市：住,,,,14910000
RPPNMLPKIIIFFBK97CC,福麗段,149.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,13270000
RPVNMLSJIIIFFBK78CC,芒埔段,.00,都市：住,,,,02390028
RPUNMLNJIIIFFBK18CC,苗栗段,5.41,都市：住,,,,12860000
RPPNMLNJIIIFFBK67CC,苗栗段,5.41,都市：住,,,,12860000
RPVNMLNJRHIFFBK09CC,恭敬段,169.00,都市：住,,,,12390000
RPWNMLRKIIIFFBK88CC,五谷岡段,610.00,都市：工,,,,11680000
RPWNMLTJRHIFFBK17CC,苗栗段,113.00,都市：住,,,,12820000
