編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMJQHIFFAM18CA,內新段,33.02,都市：住,26,2,持分移轉,06870000
RPPNMLMJQHIFFAM18CA,內新段,63.42,都市：住,1,1,全筆移轉,07160000
RPPNMLMJQHIFFAM18CA,內新段,10.70,都市：住,48,2,持分移轉,07190000
RPTNMLRJQHIFFAM09CA,福德段,2157.98,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03380002
RPXNMLQJQHIFFAM76CA,東施厝坪段,2296.25,非都市：山坡地保育區 ; 非都市編定：農牧用地,12396,1837,持分移轉,03580001
RPSNMLKLQHIFFAM48CA,二重溪段,136.17,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,2000,68,持分移轉,03760001
RPPNMLNKQHIFFAM38CA,福助段,.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,512,持分移轉,07300000
RPPNMLNKQHIFFAM38CA,福助段,38.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,512,持分移轉,08010000
RPWNMLOKQHIFFAM56CA,東新厝段,3393.39,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11690002
RPPOMLOKQHIFFAM58CA,中寮段,3236.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01390000
RPPOMLOKQHIFFAM58CA,中寮段,1138.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01390003
RPQNMLKLQHIFFAM28CA,牛運堀段,2779.00,都市：農,1,1,全筆移轉,02990000
RPTNMLMJQHIFFBM68CA,大堀段,3737.99,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02220000
RPTNMLMKQHIFFBM78CA,新富功段,36.53,都市：住,22,1,持分移轉,01910000
RPTNMLMKQHIFFBM78CA,新富功段,1.91,都市：住,100000,1515,持分移轉,01910008
RPTNMLMKQHIFFBM78CA,新富功段,61.10,都市：住,1,1,全筆移轉,01910014
RPTNMLMKQHIFFBM78CA,新富功段,1.75,都市：住,22,1,持分移轉,01910020
RPTNMLPJQHIFFBM98CA,青宅段,1305.44,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08260000
RPOOMLPKQHIFFBM68CA,保安段,62.53,都市：其他:特定農業區、農牧用地,1,1,全筆移轉,08630005
RPVNMLMKQHIFFBM98CA,新富功段,36.53,都市：住,22,1,持分移轉,01910000
RPVNMLMKQHIFFBM98CA,新富功段,1.91,都市：住,100000,1515,持分移轉,01910008
RPVNMLMKQHIFFBM98CA,新富功段,60.85,都市：住,1,1,全筆移轉,01910016
RPVNMLMKQHIFFBM98CA,新富功段,1.75,都市：住,22,1,持分移轉,01910020
RPQOMLRJQHIFFCM09CA,大雁段,6880.00,都市：,1,1,全筆移轉,00630285
RPPNMLNJQHIFFCM48CA,育英段,108.26,都市：住,1,1,全筆移轉,08750000
RPUNMLSJQHIFFCM86CA,北山坑段,1552.00,非都市： ; 非都市編定：,1,1,全筆移轉,00900019
RPWOMLMKQHIFFCM66CA,四角城段,127.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03640000
RPVNMLNKQHIFFCM56CA,水長流段,2004.70,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,976,持分移轉,22560000
RPPOMLTJQHIFFCM56CA,忠心段,13.04,都市：住,2,1,持分移轉,09690008
RPPOMLTJQHIFFCM56CA,忠心段,8.86,都市：住,5,2,持分移轉,09690010
RPWNMLNKQHIFFCM66CA,武界段,2470.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,03520000
RPSNMLTKQHIFFCM86CA,泉南段,186.00,都市：其他:,1,1,全筆移轉,01050000
RPPNMLTKQHIFFCM56CA,泉南段,1635.00,都市：其他:,1,1,全筆移轉,00780000
RPPNMLTKQHIFFCM56CA,泉南段,28.00,都市：其他:,1,1,全筆移轉,00780007
RPPNMLTKQHIFFCM56CA,泉南段,186.00,都市：其他:,1,1,全筆移轉,00780008
RPQNMLTKQHIFFCM66CA,泉南段,581.00,都市：其他:,1,1,全筆移轉,01540003
RPRNMLTKQHIFFCM76CA,泉南段,247.00,都市：其他:,1,1,全筆移轉,01540002
RPRNMLTKQHIFFCM76CA,泉南段,108.00,都市：其他:,1,1,全筆移轉,01540054
RPVNMLTKQHIFFCM17CA,蘆山段,3092.00,都市：其他:,1,1,全筆移轉,06430000
RPVNMLTKQHIFFCM17CA,蘆山段,142.00,都市：其他:,1,1,全筆移轉,06430016
RPTNMLTKQHIFFCM96CA,蘆山段,4245.00,都市：其他:,1,1,全筆移轉,05550007
RPWNMLTKQHIFFCM27CA,蘆山段,2030.38,都市：其他:,20000,13864,持分移轉,06430003
RPWNMLTKQHIFFCM27CA,蘆山段,369.48,都市：其他:,20000,13864,持分移轉,06430017
RPXNMLTKQHIFFCM37CA,蘆山段,303.00,都市：其他:,1,1,全筆移轉,05560001
RPPNMLPJQHIFFDM78CA,新初鄉段,985.95,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,12410000
RPPNMLPJQHIFFDM78CA,新初鄉段,1971.89,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,2,持分移轉,12410000
RPTNMLTJQHIFFDM96CA,中州段,358.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02710000
RPRNMLNKQHIFFDM88CA,興產段,497.60,都市：住,1,1,全筆移轉,05710000
RPSNMLNKQHIFFDM98CA,興產段,323.49,都市：住,1,1,全筆移轉,05700000
RPSOMLTKQHIFFCM96CA,泉南段,212.00,都市：其他:,1,1,全筆移轉,00780006
RPSOMLTKQHIFFCM96CA,泉南段,1.00,都市：其他:,1,1,全筆移轉,00780011
RPSOMLTKQHIFFCM96CA,泉南段,162.00,都市：其他:,1,1,全筆移轉,00870000
RPSOMLTKQHIFFCM96CA,泉南段,3.00,都市：其他:,1,1,全筆移轉,00870001
RPQNMLMJQHIFFAM38DA,內興段,256.27,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07930000
RPPNMLOKQHIFFEM88CA,社子段,182.00,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,04270015
RPRNMLPJQHIFFCM98DA,牛眠段,62.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06440000
RPPNMLNLQHIFFCM78DA,育英段,60.29,都市：住,1,1,全筆移轉,04280004
RPPNMLNLQHIFFCM78DA,育英段,1.30,都市：住,12,1,持分移轉,04280006
RPWNMLQJQHIFFCM96DA,八股段,146.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00480000
RPTNMLQJQHIFFCM66DA,籃城段,1274.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04970000
RPTNMLQJQHIFFCM66DA,籃城段,2139.02,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04980000
RPQNMLRLQHIFFCM66DA,埔源段,122.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,09150000
RPRNMLTLQHIFFCM96DA,司馬按段,8.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01180384
RPRNMLTLQHIFFCM96DA,司馬按段,102.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01180385
RPTNMLPJQHIFFCM56DA,育英段,76.56,都市：住,1,1,全筆移轉,14350000
RPTNMLQJQHIFFDM66CA,仁德段,163.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07680000
RPOOMLMLQHIFFAM38CA,先驅段,2788.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08480001
