編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLMJQHIFFBM78CC,新光段,1521.00,都市：其他:,,,,07300000
RPPOMLQJQHIFFAM88CC,牛運堀段,11.30,都市：住,,,,05080017
RPROMLNKQHIFFBM98CC,玉峰段,9.68,都市：住,,,,07620000
RPRNMLQJQHIFFAM98CC,牛運堀段,156.00,都市：其他:,,,,01410021
RPVNMLTKQHIFFBM27CC,中興段,99.00,都市：其他:,,,,19490002
RPOOMLTKQHIFFBM76DC,草屯段,83.00,都市：商,,,,00490115
RPOOMLTKQHIFFBM76DC,草屯段,20.00,都市：商,,,,00490116
RPOOMLTKQHIFFBM76DC,草屯段,57.00,都市：商,,,,00490118
RPUNMLNJRHIFFBM66DC,中興段,109.00,都市：住,,,,19700000
RPPNMLLLRHIFFDM88CC,菩提段,96.00,都市：住,,,,07960000
RPQPMLQLRHIFFBM96DC,中興段,132.00,都市：住,,,,20000001
RPQNMLLJIIIFFBM77CC,草屯段,50.00,都市：商,,,,07390041
RPQNMLLJIIIFFBM77CC,草屯段,78.00,都市：商,,,,07390042
RPPOMLOKIIIFFBM18CC,中興段,102.00,都市：住,,,,18050003
RPWNMLLJQHIFFAM09DC,光榮段,149.98,都市：住,,,,00910000
RPROMLTKQHIFFBM96CC,日新段,3653.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,11640000
RPXNMLSLQHIFFCM67DC,北環段,66.73,都市：住,,,,02510004
RPPNMLSLIIIFFBM68DC,草鞋墩段,213.79,都市：住,,,,00020003
RPPNMLSLIIIFFBM68DC,草鞋墩段,210.05,都市：住,,,,00020002
RPVNMLQKIIIFFAM78CC,包尾段,81.00,都市：住,,,,07420011
RPWNMLMKRHIFFAM66CC,三塊厝段,378.00,都市：住,,,,02160002
RPSNMLPKQHIFFAM09CC,牛運堀段,11.30,都市：住,,,,05080017
RPPNMLRJQHIFFAM88CC,牛運堀段,11.30,都市：住,,,,05080017
RPQNMLMLIIIFFAM97CC,三塊厝段,104.00,都市：住,,,,01980022
RPWNMLSLQHIFFAM27CC,嘉和段,19.47,都市：住,,,,01670000
RPQOMLQJQHIFFAM98CC,牛運堀段,11.30,都市：住,,,,05080017
RPPNMLPKQHIFFAM78CC,南投段,118.00,都市：住,,,,01260079
