編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLLJQHIFFAO58CA,南門段四小段,3.81,都市：商,10000,488,持分移轉,00820001
RPROMLLJQHIFFAO58CA,南門段四小段,15.47,都市：商,10000,488,持分移轉,00830011
RPSOMLLJQHIFFAO68CA,中華段,20.01,都市：商,100000,107,持分移轉,01190000
RPUNMLPJQHIFFAO56CA,南門段一小段,6.51,都市：商,100000,596,持分移轉,00430000
RPUNMLPJQHIFFAO56CA,南門段一小段,.37,都市：商,100000,596,持分移轉,00430001
RPUNMLPJQHIFFAO56CA,南門段一小段,.50,都市：商,100000,596,持分移轉,00430002
RPPNMLPJQHIFFAO68CA,長春段,45.04,都市：住,100000,1184,持分移轉,16130000
RPPOMLPJQHIFFAO78CA,香中段,47.92,都市：住,1,1,全筆移轉,15260005
RPPOMLPJQHIFFAO78CA,香中段,10.81,都市：住,10000,588,持分移轉,15260018
RPPOMLPJQHIFFAO78CA,香中段,8.44,都市：住,10000,588,持分移轉,15260019
RPRRMLPJQHIFFAO66CA,南華段,42.88,都市：住,1,1,全筆移轉,00310000
RPRRMLPJQHIFFAO66CA,南華段,108.36,都市：住,1,1,全筆移轉,00310001
RPRRMLPJQHIFFAO66CA,南華段,363.77,都市：住,1,1,全筆移轉,00310002
RPRRMLPJQHIFFAO66CA,南華段,143.24,都市：住,1,1,全筆移轉,00310003
RPRRMLPJQHIFFAO66CA,南華段,141.37,都市：住,1,1,全筆移轉,00310004
RPXNMLPJQHIFFAO86CA,北門段,2.53,都市：商,10000,35,持分移轉,07630000
RPXNMLPJQHIFFAO86CA,北門段,.40,都市：住,10000,35,持分移轉,07640000
RPVNMLQJQHIFFAO76CA,北門段,22.68,都市：住,10000,106,持分移轉,08300003
RPQPMLNKQHIFFAO88CA,仙水段,20.88,都市：商,10000,93,持分移轉,07090000
RPSPMLNKQHIFFAO09CA,武陵段,18.81,都市：其他:第一種住宅區及道路用地,100000,1008,持分移轉,00940000
RPQQMLMJQHIFFAO78CA,中雅段,1.40,都市：住,10,1,持分移轉,02050023
RPQQMLMJQHIFFAO78CA,中雅段,23.80,都市：住,10,1,持分移轉,02070003
RPPOMLQJQHIFFAO88CA,茄苳段,3.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,398,1,持分移轉,02190000
RPPOMLQJQHIFFAO88CA,茄苳段,11.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,26,持分移轉,02400000
RPRNMLOKQHIFFAO88CA,金山段,9.78,都市：住,1000,26,持分移轉,12110001
RPQRMLRJQHIFFAO76CA,武陵段,15.88,都市：其他:第一種住宅區、道路用地,100000,851,持分移轉,00940000
RPWQMLSJQHIFFAO37CA,武陵段,121.00,都市：住,1,1,全筆移轉,06440000
RPUPMLSJQHIFFAO07CA,東山段一小段,327.75,都市：住,4,3,持分移轉,09860000
RPUPMLSJQHIFFAO07CA,東山段一小段,7.50,都市：住,4,3,持分移轉,09860017
RPQNMLPLQHIFFAO98CA,香中段,23.42,都市：住,10000,141,持分移轉,01760000
RPQNMLPLQHIFFAO98CA,香中段,1.20,都市：住,10000,141,持分移轉,01840000
RPPNMLPLQHIFFAO88CA,香中段,23.75,都市：住,10000,143,持分移轉,01760000
RPPNMLPLQHIFFAO88CA,香中段,1.22,都市：住,10000,143,持分移轉,01840000
RPVNMLPJQHIFFAO76DA,光華段,13.72,都市：住,10000,90,持分移轉,02600000
RPUPMLLJQHIFFAO09DA,光復段,24.87,都市：住,100000,190,持分移轉,14380000
RPVOMLMJQHIFFAO66EA,南湖段,6.26,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,90,1,持分移轉,04130000
RPVOMLMJQHIFFAO66EA,南湖段,3.17,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,90,1,持分移轉,04140000
RPVOMLMJQHIFFAO66EA,南湖段,19.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,90,1,持分移轉,04150000
RPVOMLMJQHIFFAO66EA,南湖段,10.08,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,90,1,持分移轉,04240000
RPVOMLMJQHIFFAO66EA,南湖段,1.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,90,1,持分移轉,04310000
RPVOMLMJQHIFFAO66EA,南湖段,2.72,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,90,1,持分移轉,04320000
RPSPMLMJQHIFFAO09EA,長春段,14.96,都市：其他:科技產業專用區,100000,177,持分移轉,13410007
RPSPMLMJQHIFFAO09EA,長春段,.01,都市：住,100000,177,持分移轉,13540000
RPSPMLMJQHIFFAO09EA,長春段,.01,都市：住,100000,177,持分移轉,13680000
RPXOMLMJQHIFFAO76DA,西濱段,3.19,都市：其他:道路用地,4800,54,持分移轉,00260000
RPXOMLMJQHIFFAO76DA,西濱段,5.43,都市：其他:道路用地,4800,93,持分移轉,00290000
RPTOMLQJQHIFFAO76DA,東山段二小段,22.73,都市：住,10000,214,持分移轉,01260000
RPTOMLQJQHIFFAO76DA,東山段二小段,.39,都市：住,10000,214,持分移轉,01370001
RPSOMLSJQHIFFAO86DA,國道段,23.14,都市：住,100000,1067,持分移轉,05400000
RPSOMLSJQHIFFAO86DA,國道段,.08,都市：工,100000,1067,持分移轉,05400001
RPSNMLLLQHIFFAO78CA,北門段,35.15,都市：住,6783,106,持分移轉,06710000
RPSNMLLLQHIFFAO78CA,北門段,.19,都市：其他:,6783,106,持分移轉,06710002
RPSNMLLLQHIFFAO78CA,北門段,.05,都市：其他:,6783,106,持分移轉,06710003
RPRUMLQKQHIFFAO17CA,長春段,3.49,都市：其他:科技產業專用區,1000000,640,持分移轉,13410005
RPRPMLSJQHIFFAO86DA,東明段,29.33,都市：其他:第一種住宅區，道路用地,400000000,301804,持分移轉,00490000
RPQQMLPKQHIFFAO56CA,榮光段三小段,37.75,都市：商,12,1,持分移轉,00030000
RPQQMLPKQHIFFAO56CA,榮光段三小段,.08,都市：其他:道路用地,12,1,持分移轉,00030013
RPSPMLNLQHIFFAO76EA,武陵段,52.60,都市：住,100000,753,持分移轉,11290000
RPUNMLTLQHIFFAO17CA,港南段,58.03,都市：,10000,1453,持分移轉,00100004
RPRQMLRLQHIFFAO96CA,國道段,13.92,都市：住,10000,45,持分移轉,10960000
RPSUMLQKQHIFFAO27CA,長春段,3.93,都市：其他:科技產業專用區,1000000,720,持分移轉,13410005
RPPQMLTKQHIFFAO86CA,中央段,95.00,都市：商,1,1,全筆移轉,13750000
RPVNMLSLQHIFFAO17CA,長春段,19.84,都市：其他:市場用地,10000,67,持分移轉,10230000
RPVPMLPKQHIFFAO96CA,光武段,73.00,都市：住,1,1,全筆移轉,01990000
RPTQMLNKQHIFFAO66CA,光武段,38.75,都市：住,100000,1617,持分移轉,11680000
RPUQMLSJQHIFFAO17CA,力行段,22.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000,97,持分移轉,07980000
RPQOMLOKQHIFFAO88CA,聚吉段,5.11,都市：住,100000,255,持分移轉,00550000
RPVPMLTJQHIFFAO27CA,南寮段,27.09,都市：住,10000,333,持分移轉,01130000
RPOQMLTJQHIFFAO66CA,光復段,181.00,都市：住,1,1,全筆移轉,02430005
RPOQMLTJQHIFFAO66CA,光復段,28.00,都市：住,1,1,全筆移轉,02970011
RPOQMLTJQHIFFAO66CA,光復段,13.00,都市：住,1,1,全筆移轉,02980000
RPUNMLMKQHIFFAO98CA,古賢段,441.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,70,35,持分移轉,01980000
RPURMLQJQHIFFAO07CA,崙子段,79.02,非都市：特定農業區 ; 非都市編定：農牧用地,640,65,持分移轉,17900000
RPOPMLSJQHIFFAO09CA,東濱段,65.52,都市：住,1,1,全筆移轉,09680023
RPOPMLSJQHIFFAO09CA,東濱段,.42,都市：住,24,1,持分移轉,09680025
RPRNMLTLQHIFFAO86CA,東橋段,16.40,都市：住,1000000,9670,持分移轉,01340000
RPVNMLLLQHIFFAO09CA,新港段,25.82,都市：住,100000,1165,持分移轉,04640000
RPUQMLQJQHIFFAO96CA,北門段,4.40,都市：其他:公共設施保留地,5760000,703259,持分移轉,02590000
RPUQMLQJQHIFFAO96CA,北門段,6.33,都市：其他:公共設施保留地,6,1,持分移轉,08310000
RPUQMLQJQHIFFAO96CA,民富段,77.52,都市：其他:公共設施保留地,100,68,持分移轉,03190001
RPUQMLQJQHIFFAO96CA,福林段,670.38,都市：其他:公共設施保留地,120,15,持分移轉,00190000
RPSRMLQJQHIFFAO86CA,東明段,26.98,都市：其他:,10000000,6942,持分移轉,00490000
RPVQMLQJQHIFFAO07CA,民富段,95.00,都市：住,1,1,全筆移轉,07920000
RPVQMLQJQHIFFAO07CA,民富段,10.00,都市：住,1,1,全筆移轉,07920001
RPTQMLQJQHIFFAO86CA,北門段,2.82,都市：住,10000,39,持分移轉,07630000
RPTQMLQJQHIFFAO86CA,北門段,.45,都市：住,10000,39,持分移轉,07640000
RPTQMLQJQHIFFAO86CA,北門段,2.68,都市：住,10000,37,持分移轉,07630000
RPTQMLQJQHIFFAO86CA,北門段,.43,都市：住,10000,37,持分移轉,07640000
RPTQMLQJQHIFFAO86CA,北門段,2.53,都市：住,10000,35,持分移轉,07630000
RPTQMLQJQHIFFAO86CA,北門段,.40,都市：住,10000,35,持分移轉,07640000
RPPSMLRJQHIFFAO76CA,武陵段,.46,都市：住,100000,3,持分移轉,03160003
RPPSMLRJQHIFFAO76CA,武陵段,20.74,都市：住,10000,18,持分移轉,03160004
RPPOMLSJQHIFFAO09CA,柴橋段,22.68,都市：住,1,1,全筆移轉,04200007
RPPOMLSJQHIFFAO09CA,柴橋段,45.84,都市：住,1,1,全筆移轉,04210001
RPWOMLSJQHIFFAO17CA,東濱段,104.09,都市：住,1,1,全筆移轉,09680011
RPWOMLSJQHIFFAO17CA,東濱段,.42,都市：住,24,1,持分移轉,09680025
RPWOMLSJQHIFFAO17CA,東濱段,22.99,都市：住,8,1,持分移轉,09680012
RPPPMLQJQHIFFAO98CA,光華段,11.89,都市：住,10000,78,持分移轉,02600000
RPPNMLRLQHIFFAO09CA,民富段,9.18,都市：商,100000,1515,持分移轉,27210000
RPTPMLQJQHIFFAO76CA,隆恩段,314.59,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,01140000
RPVPMLQJQHIFFAO96CA,北門段,2.68,都市：住,10000,37,持分移轉,07630000
RPVPMLQJQHIFFAO96CA,北門段,.43,都市：住,10000,37,持分移轉,07640000
RPQRMLPJQHIFFAO56CA,育賢段,.57,都市：住,2249,65,持分移轉,03650000
RPQRMLPJQHIFFAO56CA,育賢段,15.39,都市：住,2249,65,持分移轉,03670000
RPQRMLPJQHIFFAO56CA,育賢段,7.85,都市：住,2249,65,持分移轉,03760000
RPQNMLQJQHIFFAO88CA,新興段一小段,21.54,都市：住,10000,242,持分移轉,00580000
RPRPMLPJQHIFFAO09CA,中華段,86.00,都市：住,1,1,全筆移轉,03700032
RPRPMLPJQHIFFAO09CA,自由段,2.00,都市：住,1,1,全筆移轉,00170024
RPWPMLPJQHIFFAO96CA,唐高段,28.93,都市：住,10000,95,持分移轉,08470000
RPPNMLQJQHIFFAO78CA,曲溪段,29.54,都市：住,10000,123,持分移轉,00380000
RPQRMLQJQHIFFAO66CA,千甲段,50.90,都市：農,1,1,全筆移轉,10070003
RPQRMLQJQHIFFAO66CA,千甲段,16.30,都市：農,1,1,全筆移轉,10080003
RPQRMLQJQHIFFAO66CA,千甲段,6.39,都市：農,1,1,全筆移轉,10310001
RPQRMLQJQHIFFAO66CA,千甲段,6.41,都市：農,1,1,全筆移轉,10720001
RPPNMLMKQHIFFAO48CA,武陵段,17.36,都市：住,10000,11,持分移轉,03160000
RPPNMLMKQHIFFAO48CA,武陵段,.46,都市：住,100000,3,持分移轉,03160003
RPUNMLSJQHIFFAO86CA,民主段,29.70,都市：住,10000,219,持分移轉,08450000
RPVPMLTLQHIFFAO47CA,北門段,67.00,都市：住,1,1,全筆移轉,19070002
RPVPMLTLQHIFFAO47CA,北門段,5.00,都市：住,1,1,全筆移轉,19070003
RPPNMLTJQHIFFAO09CA,武陵段,26.00,都市：住,100000,170,持分移轉,03160003
RPPQMLPKQHIFFAO09CA,光華段,12.30,都市：住,10000,108,持分移轉,03880000
RPSNMLOKQHIFFAO98CA,崙子段,3.73,都市：住,10000,24,持分移轉,00230000
RPQUMLQKQHIFFAO07CA,新興段,19.53,都市：住,15,1,持分移轉,07260000
RPRNMLPLQHIFFAO09CA,香中段,23.42,都市：住,10000,141,持分移轉,01760000
RPRNMLPLQHIFFAO09CA,香中段,1.20,都市：住,10000,141,持分移轉,01840000
RPSNMLPLQHIFFAO56CA,香中段,22.42,都市：住,10000,135,持分移轉,01760000
RPSNMLPLQHIFFAO56CA,香中段,1.15,都市：住,10000,135,持分移轉,01840000
RPXRMLSJQHIFFAO57CA,水源段,528.78,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11860000
RPOQMLQJQHIFFAO98CA,西濱段,21.29,都市：住,8,1,持分移轉,06370001
RPOQMLQJQHIFFAO98CA,西濱段,58.99,都市：住,1,1,全筆移轉,06370007
RPRQMLQJQHIFFAO66CA,北門段,2.68,都市：住,10000,37,持分移轉,07630000
RPRQMLQJQHIFFAO66CA,北門段,.43,都市：住,10000,37,持分移轉,07640000
RPRQMLQJQHIFFAO66CA,北門段,2.53,都市：住,10000,35,持分移轉,07630000
RPRQMLQJQHIFFAO66CA,北門段,.40,都市：住,10000,35,持分移轉,07640000
RPWOMLTLQHIFFAO47CA,武陵段,3.36,都市：住,100000,22,持分移轉,03160003
RPWUMLQKQHIFFAO67CA,西濱段,9.84,都市：住,100000,171,持分移轉,00420000
RPSQMLRLQHIFFAO07CA,南湖段,.19,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,27,持分移轉,04280000
RPSQMLRLQHIFFAO07CA,南湖段,.10,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,27,持分移轉,04350000
RPSQMLRLQHIFFAO07CA,南湖段,18.77,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,27,持分移轉,04550000
RPUQMLNKQHIFFAO86DA,聚吉段,7.78,都市：商,10000,69,持分移轉,00560008
RPQOMLLLQHIFFAO68CA,長春段,3.98,都市：其他:科技產業專用區,1000000,730,持分移轉,13410005
RPRNMLMLQHIFFAO78CA,復中段,.25,都市：住,10000,1,持分移轉,08300000
RPSPMLTKQHIFFAO07CA,南門段四小段,.63,都市：住,100000,267,持分移轉,01200006
RPSPMLTKQHIFFAO07CA,南門段四小段,6.18,都市：其他:第二種商業區.道路用地,100000,805,持分移轉,01200020
RPOQMLPJQHIFFAO98DA,光武段,43.28,都市：住,10000,35,持分移轉,12400000
RPQQMLPJQHIFFAO56DA,光武段,35.86,都市：住,10000,29,持分移轉,12400000
RPSVMLQKQHIFFAO37CA,新港段,13.03,都市：住,100000,588,持分移轉,04640000
RPRQMLPJQHIFFAO66DA,光武段,50.69,都市：住,10000,41,持分移轉,12400000
RPORMLMLQHIFFAO88CA,仙水段,36.45,都市：住,10000,537,持分移轉,06140000
RPXNMLQJQHIFFAO07DA,國道段,200.21,都市：住,1,1,全筆移轉,10780000
RPXNMLQJQHIFFAO07DA,國道段,200.21,都市：住,1,1,全筆移轉,10780004
RPXNMLQJQHIFFAO07DA,國道段,200.22,都市：住,1,1,全筆移轉,10780005
RPXNMLQJQHIFFAO07DA,國道段,200.22,都市：住,1,1,全筆移轉,10780006
RPRQMLNKQHIFFAO66EA,舊社段,21.50,都市：住,100000,1233,持分移轉,00090000
RPUPMLMLQHIFFAO66CA,復興段,.99,都市：住,135000,495,持分移轉,03680000
RPUPMLMLQHIFFAO66CA,復興段,12.57,都市：住,343700,1260,持分移轉,03690000
RPUPMLMLQHIFFAO66CA,復興段,.03,都市：其他:,343700,1260,持分移轉,03690003
RPUPMLMLQHIFFAO66CA,復興段,.76,都市：住,180000,661,持分移轉,03740000
RPRPMLQJQHIFFAO76EA,中山段三小段,17.00,都市：商,1,1,全筆移轉,04040017
RPTRMLOKQHIFFAO96DA,光武段,22.46,都市：住,10000,54,持分移轉,11730000
RPPSMLQJQHIFFAO76DA,民富段,83.00,都市：住,1,1,全筆移轉,00350000
RPPSMLQJQHIFFAO76DA,民富段,95.00,都市：住,1,1,全筆移轉,00340000
RPOPMLTLQHIFFAO96EA,和平段,18.94,都市：住,10000,22,持分移轉,04800000
RPWSMLQJQHIFFAO47DA,柴橋段,14.10,都市：其他:風景區,100000,102,持分移轉,08260000
RPXPMLTLQHIFFAO67CA,北門段,86.00,都市：住,1,1,全筆移轉,19140000
RPQNMLKMQHIFFAO58CA,西門段一小段,28.50,都市：商,2,1,持分移轉,04200000
RPQNMLKMQHIFFAO58CA,西門段一小段,28.50,都市：商,2,1,持分移轉,04200000
RPPOMLMLQHIFFAO68CA,武陵段,15.78,都市：其他:第一種住宅區、園道用地,10000,10,持分移轉,03160000
RPPOMLMLQHIFFAO68CA,武陵段,.31,都市：其他:第一種住宅區、園道用地,100000,2,持分移轉,03160003
RPWNMLNLQHIFFAO76CA,隆恩段,491.27,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12810000
RPWNMLNLQHIFFAO76CA,隆恩段,962.85,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12840001
RPWNMLNLQHIFFAO76CA,隆恩段,113.82,非都市：特定農業區 ; 非都市編定：農牧用地,10000,6326,持分移轉,12970001
RPTPMLTKQHIFFAO17CA,麗園段,2318.93,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10,7,持分移轉,05900000
RPTPMLTKQHIFFAO17CA,麗園段,993.83,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10,3,持分移轉,05900000
RPVPMLTKQHIFFAO37CA,崙子段,10.98,都市：住,56800,1098,持分移轉,03350000
RPWPMLTKQHIFFAO47CA,民富段,19.91,都市：住,100000,920,持分移轉,12100000
RPOOMLLLQHIFFAO48CA,內湖段,182.99,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,04070120
RPOOMLLLQHIFFAO48CA,內湖段,26.69,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,2,1,持分移轉,04070122
RPPSMLRLQHIFFAO96CA,國道段,13.61,都市：住,10000,44,持分移轉,10960000
RPUNMLLLQHIFFAO98CA,自由段,25.58,都市：住,100000,253,持分移轉,00020000
RPUNMLLLQHIFFAO98CA,自由段,.02,都市：其他:,100000,253,持分移轉,00020015
RPOWMLQKQHIFFAO07CA,光華段,25.47,都市：住,78,1,持分移轉,02690000
