鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
古坑鄉,土地,高厝林子頭段12-125地號,467.38,,山坡地保育區,農牧用地,1020723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,642,,0.0,0,,RPRNMLQJQHIFFAP09CA,0.0,0.0,0.0,,
斗六市,土地,保長段保長小段1310地號,4839.0,,特定農業區,農牧用地,1020630,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24000000,4960,,0.0,0,,RPTNMLQJQHIFFAP66CA,0.0,0.0,0.0,,
斗六市,房地(土地+建物)+車位,雲林縣斗六市福德街５０號七樓,24.2,住,,,1020701,土地2建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810829,154.08999999999997,3,2,2,有,有,2700000,17523,坡道平面,22.76,0,,RPTNMLLJQHIFFAP78CA,94.34,0.0,13.35,,
斗六市,房地(土地+建物),雲林縣斗六市警民街５８號,228.0,住,,,1020718,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0950425,684.75,10,1,8,有,無,20000000,29208,,0.0,0,,RPQNMLMJQHIFFAP58CA,616.24,9.91,58.6,,
斗六市,土地,大潭段社口小段101-605地號,12.7,住,,,1020717,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,47244,,0.0,0,,RPSNMLMJQHIFFAP78CA,0.0,0.0,0.0,,
斗六市,房地(土地+建物),雲林縣斗六市廣州街２１號,215.0,工,,,1020629,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010201,411.45,6,1,4,有,無,19600000,47636,,0.0,0,,RPSNMLNJQHIFFAP88CA,360.76,0.0,50.69,,
斗六市,房地(土地+建物),雲林縣斗六市西平路６００巷１４弄２６號,117.82,,鄉村區,乙種建築用地,1020718,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810227,171.17,4,2,3,有,無,3450000,20155,,0.0,0,,RPRNMLLLQHIFFAP78CA,139.15,20.11,11.91,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮公論路１９號,9148.0,工,,,1020619,土地7建物4車位0,一層，二層，三層，四層，電梯樓梯間，地下層，五層,五層,工廠,見其他登記事項,鋼筋混凝土造,0770120,4610.24,2,1,2,有,無,147498700,,,0.0,0,本案廠房買賣總價:包含廠房固定機械設備,RPPNMLRJQHIFFBP09CA,4514.12,96.12,0.0,,
崙背鄉,土地,永安段799地號,1821.0,,特定農業區,農牧用地,1020723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1092600,600,,0.0,0,親屬間買賣,RPPNMLMJQHIFFCP68CA,0.0,0.0,0.0,,
土庫鎮,土地,越港段685地號,159.0,住,,,1020722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4088287,25712,,0.0,0,,RPSNMLMJQHIFFDP09CA,0.0,0.0,0.0,,
虎尾鎮,土地,墾地段581地號,1822.22,,特定農業區,農牧用地,1020724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2314219,1270,,0.0,0,,RPSNMLPJQHIFFDP76CA,0.0,0.0,0.0,,
虎尾鎮,土地,埒內段549地號,1811.0,,特定農業區,農牧用地,1020622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,5798,,0.0,0,,RPRNMLQJQHIFFDP76CA,0.0,0.0,0.0,,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮新生路１５９號五樓,36.81,住,,,1020518,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880617,187.65,4,1,2,有,有,3900000,20783,坡道平面,0.0,0,,RPSNMLQJQHIFFDP86CA,110.66,0.0,11.38,,
土庫鎮,房地(土地+建物),雲林縣土庫鎮石廟里文昌路２１６巷２弄１８號,96.61,住,,,1020722,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010926,151.32,5,2,4,有,無,4480000,29606,,0.0,0,,RPSNMLPKQHIFFDP86CA,133.17,0.0,18.15,,
土庫鎮,土地,馬公厝段475地號,46.4,,鄉村區,乙種建築用地,1020712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,6034,,0.0,0,,RPWNMLMLQHIFFDP07CA,0.0,0.0,0.0,,
