編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLLLIIIFFDP68CC,虎新段,24.79,都市：商,,,,08300000
RPSNMLKLQHIFFCP56CC,興西段,133.11,都市：住,,,,04720000
RPOOMLKLQHIFFDP98CC,博愛段,1057.00,都市：農,,,,00370000
RPRNMLLLIIIFFDP58CC,虎新段,14.87,都市：商,,,,08300000
RPQNMLMLRHIFFDP76CC,安慶段,2599.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,05130000
RPRNMLMLRHIFFDP86CC,大荖段,380.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08910001
RPPNMLSLRHIFFDP27CC,虎新段,19.83,都市：商,,,,08300000
RPROMLKLQHIFFDP66CC,蕃薯段,72.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10600244
RPTNMLSJIIIFFAP09DC,北環段,655.81,都市：住,,,,03220000
RPPNMLOLIIIFFCP58CC,漢南段,110.12,都市：住,,,,09780000
RPPNMLKMIIIFFCP28CC,埔北段,76.95,都市：住,,,,03370000
RPPNMLQLRHIFFCP96CC,東南段,54.08,都市：住,,,,09560000
RPQNMLTLIIIFFCP56CC,漢南段,72.42,都市：住,,,,09030048
RPQNMLTLIIIFFCP56CC,漢南段,16.30,都市：住,,,,09030060
