編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLLJQHIFFCQ68CA,20,181.11,住商用,鋼筋混凝土造,82年6月21日,三層,一層 二層 三層 騎樓 電梯樓梯間 見其他登記事項
RPSNMLMJQHIFFDQ56CA,18,149.19,住家用,鋼筋混凝土造,84年12月14日,三層,一層 二層 三層 見其他登記事項
RPUNMLLJQHIFFDQ76DA,20,179.67,住家用,鋼筋混凝土造,82年9月7日,三層,一層 二層 三層
RPUNMLPJQHIFFCQ17EA,12,209.16,住商用,鋼筋混凝土造,90年12月28日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLKKQHIFFDQ78CA,18,270.76,住家用,鋼筋混凝土造,84年9月5日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLLLQHIFFCQ88CA,1,223.17,住宅、水塔間,鋼筋混凝土造,100年12月23日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPTOMLNKQHIFFBQ76CA,6,234.81,住家用,鋼筋混凝土造,96年3月26日,四層,一層 二層 三層 四層 陽台 雨遮
RPXNMLPKQHIFFBQ27CA,22,124.09,住商用,鋼筋混凝土造,80年4月18日,三層,一層 二層 三層
RPSNMLSLQHIFFDQ47DA,16,75.61,住家用,鋼筋混凝土造,86年5月24日,五層,五層 陽台
RPXNMLMKQHIFFBQ96CA,,220.57,住宅、梯間,鋼筋混凝土造,102年5月8日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPOOMLQKQHIFFCQ66CA,32,96.98,住家用,鋼筋混凝土加強磚造,70年12月29日,二層,一層 二層 陽台
RPQNMLRJQHIFFCQ76CA,32,148.10,住家用,鋼筋混凝土加強磚造,70年12月9日,二層,一層 二層 騎樓 電梯樓梯間
RPWOMLLLQHIFFCQ07CA,1,228.87,住宅、停車空間、店舖、機電空間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
SPWOMLLLQHIFFCQ17CA,1,238.23,住宅、停車空間、店舖、機電空間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPSNMLSJQHIFFCQ17DA,19,158.95,住商用,鋼筋混凝土造,83年8月8日,十一層,一層 二層 三層 騎樓 見其他登記事項
RPSNMLSJQHIFFCQ17DA,19,19.32,共有部分,鋼筋混凝土造,83年8月8日,十一層,
RPSNMLSJQHIFFCQ17DA,19,19.30,共有部分,鋼筋混凝土造,83年8月8日,十一層,
RPRNMLRJQHIFFDQ07DA,3,156.92,住家用,鋼筋混凝土造,99年8月12日,三層,一層 二層 三層 陽台 雨遮
RPQNMLRJQHIFFDQ96DA,3,157.76,住家用,鋼筋混凝土造,99年8月12日,三層,一層 二層 三層 陽台 雨遮
RPVNMLMJRHIFFBQ76CA,40,64.50,住家用,磚造,62年7月1日,一層,一層
RPXNMLLLQHIFFCQ07CA,,217.52,住宅、停車空間、店舖、機電空間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPRNMLOKQHIFFBQ56CA,,209.57,住家用,鋼筋混凝土造,102年4月19日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLPJQHIFFEQ57DA,20,38.83,住家用,鋼筋混凝土造,82年4月1日,十八層,八層 陽台
RPXNMLPJQHIFFEQ57DA,20,7.68,梯間,鋼筋混凝土造,82年4月1日,十八層,
RPXNMLPJQHIFFEQ57DA,20,1.75,守衛室．健身房．游泳池．防空避難室兼停車場,鋼筋混凝土造,82年4月1日,,
RPOOMLNKQHIFFBQ88CA,18,182.05,住商用,鋼筋混凝土加強磚造,84年3月13日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPRPMLLLQHIFFCQ66CA,14,78.59,住家用,鋼筋混凝土造,88年6月29日,四層,二層 陽台
RPRPMLLLQHIFFCQ66CA,14,7.47,共有部分,鋼筋混凝土造,88年6月29日,四層,
RPPOMLNJRHIFFDQ56CA,,194.83,住宅、樓梯間,鋼筋混凝土造,102年5月28日,三層,一層 二層 三層 陽台 見其他登記事項
RPVOMLNJRHIFFDQ17CA,,200.67,住宅、樓梯間,鋼筋混凝土造,102年5月28日,三層,一層 二層 三層 陽台 見其他登記事項
RPWNMLNJRHIFFDQ17CA,,169.52,住宅、樓梯間,鋼筋混凝土造,102年5月28日,三層,一層 二層 三層 陽台 見其他登記事項
RPPOMLOJRHIFFDQ66CA,,114.40,住商用,鋼筋混凝土加強磚造,67年6月30日,二層,一層 二層 騎樓 廚房
RPWOMLNJRHIFFDQ27CA,,185.69,住宅、樓梯間,鋼筋混凝土造,102年5月28日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLMKQHIFFBQ98EA,23,189.77,住商用,鋼筋混凝土造,80年1月9日,三層,一層 二層 三層 電梯樓梯間
RPTNMLQKQHIFFCQ27EA,33,90.72,住家用,鋼筋混凝土加強磚造,69年7月31日,二層,一層 二層
RPSNMLTJQHIFFEQ57EA,20,37.23,住家用,鋼筋混凝土造,82年4月1日,十八層,七層 陽台
RPPNMLNKQHIFFCQ09DA,17,136.98,店鋪．集合住宅,鋼筋混凝土造,85年5月17日,八層,一層 二層 三層 見其他登記事項
RPPNMLNKQHIFFCQ09DA,17,12.10,停車空間,鋼筋混凝土造,85年5月17日,八層,
RPRNMLNKQHIFFCQ66DA,20,103.08,國民住宅,鋼筋混凝土造,82年2月17日,五層,四層
RPWNMLQKQHIFFCQ37CA,21,133.24,住家用,鋼筋混凝土造,81年3月21日,三層,一層 二層 三層 見其他登記事項
RPRNMLLLQHIFFBQ98CA,20,140.75,農舍,鋼筋混凝土加強磚造,82年12月7日,二層,一層 二層 電梯樓梯間
RPVNMLOKQHIFFBQ96CA,17,119.15,住家用,鋼筋混凝土造,85年8月15日,十四層,十四層 陽台
RPVNMLOKQHIFFBQ96CA,17,34.67,梯間、防空避難室、機械室、水塔牌樓兼停車空間,鋼筋混凝土造,85年8月15日,十四層,
RPPOMLNKQHIFFBQ98CA,32,65.32,住家用,鋼筋混凝土加強磚造,70年10月26日,三層,一層 二層 三層 騎樓
RPQOMLNKQHIFFBQ09CA,32,65.32,住家用,鋼筋混凝土加強磚造,70年10月26日,三層,一層 二層 三層 騎樓
RPQNMLNKQHIFFDQ56CA,27,108.38,住家用,鋼筋混凝土加強磚造,75年2月5日,二層,一層 二層 電梯樓梯間
RPPNMLQKQHIFFDQ76CA,34,90.68,住家用,鋼筋混凝土加強磚造,68年2月17日,二層,一層 二層 騎樓
RPQOMLNKQHIFFDQ66CA,19,199.50,住商用,鋼筋混凝土造,83年3月3日,三層,一層 二層 三層 見其他登記事項
RPPOMLLLQHIFFCQ98CA,1,235.84,住宅、停車空間、店舖、機電空間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPOOMLLLQHIFFCQ88CA,,205.91,住宅、水塔間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLOKQHIFFBQ07CA,17,92.00,住家用,鋼筋混凝土造,85年8月15日,十四層,十層 陽台
RPWNMLTKQHIFFCQ67CA,33,100.10,住家用,鋼筋混凝土加強磚造,69年4月30日,二層,一層 二層 騎樓
RPROMLLLQHIFFCQ56CA,1,175.68,住宅、水塔間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項
