編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLMJQHIFFCQ88CA,柴林?段,1033.00,都市：,1,1,全筆移轉,03440024
RPOOMLOKQHIFFBQ09DA,南勢竹段南竹小段,429.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,09280000
RPOOMLOKQHIFFBQ09DA,南勢竹段南竹小段,518.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09290000
RPOOMLOKQHIFFBQ09DA,南勢竹段南竹小段,1905.26,非都市：特定農業區 ; 非都市編定：農牧用地,4925,2005,持分移轉,09340000
RPOOMLLJQHIFFCQ68CA,明和段,82.65,都市：住,1,1,全筆移轉,01020152
RPOOMLLJQHIFFCQ68CA,明和段,25.60,都市：住,16,1,持分移轉,01020170
RPUNMLOKQHIFFBQ86CA,南勢竹段南竹小段,30.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02020001
RPSNMLMJQHIFFDQ56CA,麻寮段,72.00,都市：住,1,1,全筆移轉,04680006
RPSNMLMJQHIFFDQ56CA,麻寮段,15.96,都市：住,91,1,持分移轉,04680048
RPUNMLLJQHIFFDQ76DA,十一指厝段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01110034
RPVNMLRJQHIFFDQ37CA,??段,291.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02540004
RPVNMLRJQHIFFDQ37CA,??段,376.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02540005
RPVNMLRJQHIFFDQ37CA,??段,430.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02540006
RPVNMLRJQHIFFDQ37CA,??段,2209.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02540007
RPPNMLPKQHIFFBQ56DA,東石段,1369.87,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01720000
RPPNMLRJQHIFFDQ86DA,水東段,.03,都市：其他:,84,1,持分移轉,04830000
RPPNMLRJQHIFFDQ86DA,水東段,16.47,都市：住,84,1,持分移轉,04840000
RPPNMLRJQHIFFDQ86DA,水東段,5.66,都市：住,84,1,持分移轉,04850000
RPPNMLRJQHIFFDQ86DA,水東段,49.88,都市：住,15,1,持分移轉,04860000
RPSNMLRJQHIFFDQ17DA,竹頭崎段,4045.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01000010
RPPNMLNJQHIFFDQ09DA,新埤段,93.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03250002
RPPNMLNJQHIFFDQ09DA,新埤段,91.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03250005
RPSNMLPJQHIFFEQ17EA,瓦厝埔段,1872.55,非都市：山坡地保育區 ; 非都市編定：農牧用地,5740,1155,持分移轉,10300000
RPSNMLPJQHIFFEQ17EA,瓦厝埔段,928.02,非都市：山坡地保育區 ; 非都市編定：農牧用地,5740,1155,持分移轉,10310000
RPUNMLMJQHIFFCQ86EA,溪西段,8.60,都市：住,1,1,全筆移轉,01720002
RPRNMLPJQHIFFEQ07EA,龍眼林段,1000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,05200023
RPUNMLPJQHIFFCQ17EA,明和段明和小段,118.31,都市：住,1,1,全筆移轉,00150022
RPVNMLPJQHIFFEQ47EA,覆?金段,4462.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,07690000
RPQNMLSJQHIFFEQ27EA,溪心段,466.24,非都市：一般農業區 ; 非都市編定：農牧用地,100000,69374,持分移轉,00590000
RPUNMLPJQHIFFEQ37EA,北下坑段,6.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02800001
RPTNMLPJQHIFFEQ27EA,番路段,3305.00,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01320259
RPPOMLNKQHIFFDQ66DA,灣潭子段,1009.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,15509,1009,持分移轉,03730005
RPPNMLTJQHIFFCQ07EA,東湖段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,50,1,持分移轉,14440000
RPPNMLTJQHIFFCQ07EA,東湖段,6.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,75,6,持分移轉,14520000
RPPNMLTJQHIFFCQ07EA,東湖段,26.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14620000
RPPOMLOKQHIFFBQ56DA,南勢竹段南竹小段,429.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,09280000
RPPOMLOKQHIFFBQ56DA,南勢竹段南竹小段,1824.49,非都市：特定農業區 ; 非都市編定：農牧用地,4925,1920,持分移轉,09340000
RPRNMLSJQHIFFCQ07DA,埤頭段共和小段,4194.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09780000
RPRNMLSJQHIFFCQ07DA,埤頭段共和小段,1747.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09790000
RPPNMLTJQHIFFEQ07CA,梅北段,1799.79,都市：,10000,3507,持分移轉,26810000
RPPNMLTJQHIFFEQ07CA,梅北段,19.64,都市：,10000,3507,持分移轉,26810001
RPPNMLTJQHIFFEQ07CA,梅北段,574.80,都市：,10000,3507,持分移轉,26810002
RPPNMLTJQHIFFEQ07CA,梅北段,251.80,都市：,10000,3507,持分移轉,26810003
RPPNMLKKQHIFFDQ78CA,嘉保段,129.09,都市：住,1,1,全筆移轉,00370026
RPQNMLPJQHIFFDQ66CA,太頂珠段,532.25,都市：住,1,1,全筆移轉,00410002
RPPNMLQJQHIFFDQ66CA,梅子厝段梅厝小段,1337.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02450000
RPRNMLSLQHIFFDQ27CA,十一指厝段,1021.00,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,01010000
RPRNMLSLQHIFFDQ27CA,十一指厝段,24.00,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,01020008
RPRNMLSLQHIFFDQ27CA,十一指厝段,279.00,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,01020009
RPRNMLQJQHIFFCQ76CA,五穀王段,379.50,都市：住,1,1,全筆移轉,00050000
RPRNMLQJQHIFFCQ76CA,五穀王段,379.50,都市：住,1,1,全筆移轉,00060000
RPPNMLLLQHIFFCQ88CA,五穀王段,109.18,都市：住,1,1,全筆移轉,00020070
RPPNMLLLQHIFFCQ88CA,五穀王段,.27,都市：住,44,1,持分移轉,00020105
RPTOMLNKQHIFFBQ76CA,嘉朴段,121.31,都市：住,1,1,全筆移轉,02050023
RPTOMLNKQHIFFBQ76CA,嘉朴段,5.18,都市：住,20,1,持分移轉,02050016
RPXNMLPKQHIFFBQ27CA,新生段,102.77,都市：住,1,1,全筆移轉,00790024
RPXNMLOKQHIFFBQ17CA,崁前段崁前小段,1923.50,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07980001
RPXNMLOKQHIFFBQ17CA,崁前段崁前小段,1108.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07970000
RPQOMLOKQHIFFBQ56CA,新生段,101.25,都市：住,1,1,全筆移轉,00670086
RPQOMLOKQHIFFBQ56CA,新生段,101.25,都市：住,1,1,全筆移轉,00670087
RPSNMLSLQHIFFDQ47DA,柳鄉段,31.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,144,持分移轉,06870000
RPXNMLMKQHIFFBQ96CA,文明段,101.78,都市：住,1,1,全筆移轉,06010000
RPOOMLQKQHIFFCQ66CA,金興段,96.27,都市：住,1,1,全筆移轉,11500000
RPTNMLQJQHIFFCQ96CA,田中央段,6.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,69,持分移轉,00160031
RPTNMLQJQHIFFCQ96CA,田中央段,105.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00160045
RPVNMLQJQHIFFCQ17CA,湖子段,2000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03920000
RPUNMLQJQHIFFCQ07CA,民工段,82.00,都市：住,1,1,全筆移轉,00580001
RPRNMLKLQHIFFCQ09DA,福樂段,6.62,都市：其他:道路用地,250000,4086,持分移轉,06090000
