鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
朴子市,建物,嘉義縣朴子市仁和二路139號3F28,7.6,住,,,1020728,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,17.27,1,0,1,有,無,有,2500,145,,0.0,0,,RPQNMLMJQHIFFBQ98CC
朴子市,建物,嘉義縣朴子市仁和二路139號2F16,7.6,住,,,1020626,土地0建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,2200,70,,0.0,0,,RPRNMLRJQHIFFBQ96CC
朴子市,建物,嘉義縣朴子市仁和二路139號3F1,7.6,住,,,1020805,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,2500,80,,0.0,0,,RPSNMLMKQHIFFBQ66CC
朴子市,建物,嘉義縣朴子市仁和二路139號三F6,15.2,住,,,1020801,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,2500,80,,0.0,0,,RPTNMLMKQHIFFBQ76CC
朴子市,房地(土地+建物),嘉義縣朴子市祥和三路西段81號,105.22,商,,,1020813,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0930528,199.77,5,0,0,無,無,有,18000,90,,0.0,0,,RPSOMLNKQHIFFBQ86CC
朴子市,建物,嘉義縣朴子市仁和二路139號6F51,7.6,住,,,1020810,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,17.27,1,0,1,有,無,有,3200,185,,0.0,0,,RPRNMLTKQHIFFBQ27CC
水上鄉,房地(土地+建物),嘉義縣水上鄉大崙村大崙168號,1731.0,,特定農業區,農牧用地,1020801,土地1建物1車位0,見其他登記事項,1,農舍,農舍,見其他登記事項,0890324,170.49,3,2,2,有,無,無,4000,,,0.0,0,,RPUNMLTKQHIFFDQ97EC
朴子市,建物,嘉義縣朴子市仁和二路139號2F46,15.2,住,,,1020815,土地0建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,17.27,1,0,1,有,無,有,2500,145,,0.0,0,,RPQNMLNLQHIFFBQ66CC
朴子市,建物,嘉義縣朴子市仁和二路139號3F33,7.6,住,,,1020815,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,2200,70,,0.0,0,,RPSNMLQLQHIFFBQ17CC
朴子市,建物,嘉義縣朴子市朴子三路169巷6號4F2,5.03,住,,,1020819,土地0建物1車位0,四層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,24.81,1,0,1,有,有,有,3500,141,,0.0,0,,RPTNMLQLQHIFFBQ27CC
朴子市,建物,嘉義縣朴子市仁和二路137號2F17,5.87,住,,,1020826,土地0建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,25.04,1,0,1,有,有,有,2000,80,,0.0,0,,RPUNMLQLQHIFFBQ37CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉雙福村雙福90之19號,92.5,住,,,1020901,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0801001,145.24,5,2,3,有,無,有,12000,83,,0.0,0,,RPRNMLMJRHIFFCQ86EC
朴子市,建物,嘉義縣朴子市朴子三路169巷6號9F12,5.36,住,,,1020908,土地0建物1車位0,九層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,26.47,1,0,1,有,有,有,3500,132,,0.0,0,,RPTNMLTJRHIFFBQ47CC
朴子市,建物,嘉義縣朴子市朴子三路169巷6號4F3,5.03,住,,,1020908,土地0建物1車位0,四層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,24.81,1,0,1,有,有,有,3500,141,,0.0,0,,RPVNMLTJRHIFFBQ67CC
朴子市,建物,嘉義縣朴子市朴子三路169巷6號3F18,5.36,住,,,1020908,土地0建物1車位0,三層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,26.47,1,0,1,有,有,有,3500,132,,0.0,0,,RPWNMLTJRHIFFBQ77CC
朴子市,建物,嘉義縣朴子市仁合二路139號3F18,7.6,住,,,1020901,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,17.27,1,0,1,有,無,有,3000,174,,0.0,0,,RPPNMLKKRHIFFBQ88CC
朴子市,建物,嘉義縣朴子市仁和二路139號3F17,7.6,住,,,1020901,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,17.27,1,0,1,有,無,有,3000,174,,0.0,0,,RPQNMLKKRHIFFBQ98CC
朴子市,建物,嘉義縣朴子市仁和二路139號3F16,7.6,住,,,1020901,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,17.27,1,0,1,有,無,有,3000,174,,0.0,0,,RPRNMLKKRHIFFBQ09CC
朴子市,建物,嘉義縣朴子市仁和二路139號3F36,15.2,住,,,1020915,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,2700,86,,0.0,0,,RPTNMLQKRHIFFBQ27CC
朴子市,建物,嘉義縣朴子市仁和二路139號8F1,7.6,住,,,1020915,土地0建物1車位0,八層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,2200,70,,0.0,0,,RPUNMLQKRHIFFBQ37CC
朴子市,建物,嘉義縣朴子市仁和二路139號7F17,15.2,住,,,1020915,土地0建物1車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,2200,70,,0.0,0,,RPVNMLQKRHIFFBQ47CC
朴子市,建物,嘉義縣朴子市仁和二路139號7F16,15.2,住,,,1020915,土地0建物1車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,2200,70,,0.0,0,,RPWNMLQKRHIFFBQ57CC
太保市,建物,嘉義縣太保巿祥和一路東段25巷30號,51.24,住,,,1020910,土地0建物1車位0,三層,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0850207,112.78,3,2,3,有,無,有,11000,98,,0.0,0,,RPSNMLQKRHIFFDQ37CC
朴子市,建物,嘉義縣朴子市仁和二路139號7F18,11.75,住,,,1020917,土地0建物1車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,2300,74,,0.0,0,,RPSOMLSKRHIFFBQ47CC
朴子市,建物,嘉義縣朴子市仁和二路139號3F37,15.2,住,,,1020918,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,2700,86,,0.0,0,,RPXNMLOLRHIFFBQ57CC
太保市,房地(土地+建物),嘉義縣太保巿棒球三街127號,97.84,住,,,1020912,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0991228,171.54,1,1,1,有,無,有,4500,26,,0.0,0,,RPQNMLQLRHIFFDQ37DC
太保市,建物,嘉義縣太保巿太保路26-5號,87.54,商,,,1021001,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0781012,138.41,4,1,3,有,無,無,12000,87,,0.0,0,,RPUNMLSJIIIFFDQ86CC
朴子市,建物,嘉義縣朴子市仁和二路137號6F52,11.75,住,,,1020926,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,25.04,1,0,1,有,有,有,2000,80,,0.0,0,,RPSNMLSJIIIFFBQ09CC
朴子市,建物,嘉義縣朴子市仁和二路139號3F52,15.2,住,,,1021001,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,2200,70,,0.0,0,,RPTNMLSJIIIFFBQ56CC
朴子市,建物,嘉義縣朴子市仁和二路139號3F53,15.2,住,,,1021001,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,2200,70,,0.0,0,,RPUNMLSJIIIFFBQ66CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉建國路一段1016巷33號,72.0,,特定農業區,甲種建築用地,1021019,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0880121,138.89,4,2,3,有,無,有,6000,43,,0.0,0,,RPPNMLTKIIIFFCQ09CC
