編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLPJQHIFFAU66CA,永安段,92.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12960025
RPVNMLMJQHIFFAU96CA,農墾段,3909.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11120000
RPTPMLPJQHIFFAU27CA,荖溪段,574.04,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06850000
RPTPMLPJQHIFFAU27CA,荖溪段,1237.18,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06880000
RPTPMLPJQHIFFAU27CA,荖溪段,1306.24,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06890000
RPTPMLPJQHIFFAU27CA,荖溪段,389.40,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07070000
RPXOMLPJQHIFFAU57CA,裕民段,728.00,都市：住,1,1,全筆移轉,05870000
RPPNMLSJQHIFFAU96CA,大漢段,74.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05530000
RPXNMLRJQHIFFAU67CA,仁義段,93.00,都市：住,1,1,全筆移轉,08270003
RPRNMLPKQHIFFAU96CA,富國段,127.00,都市：住,1,1,全筆移轉,01640003
RPQPMLOKQHIFFAU96CA,廣賢段,2656.95,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02920009
RPPPMLOKQHIFFAU86CA,廣賢段,2593.63,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02920008
RPWOMLPKQHIFFAU57CA,仁禮段,9.18,都市：住,10000,137,持分移轉,10700000
RPVNMLPKQHIFFAU37CA,富國段,104.00,都市：住,1,1,全筆移轉,01640002
RPWNMLPKQHIFFAU47CA,民孝段,245.00,都市：住,1,1,全筆移轉,00430002
RPQPMLTKQHIFFAU47CA,富國段,20.17,都市：商,1000,43,持分移轉,03020000
RPVPMLPKQHIFFAU57CA,干城段,292.18,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05850000
RPVPMLPKQHIFFAU57CA,干城段,189.35,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05850001
RPPPMLTKQHIFFAU37CA,自強段,138.00,都市：住,1,1,全筆移轉,01300003
RPXQMLPKQHIFFAU87CA,民意段,11.53,都市：住,10000,37,持分移轉,08190000
RPWPMLLJQHIFFAU27DA,林森段,3.00,都市：住,1,1,全筆移轉,15520009
RPROMLPJQHIFFAU17EA,豐裡段,10.42,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07450001
RPWNMLSJQHIFFAU77DA,宜昌段,100.00,都市：商,1,1,全筆移轉,00130000
RPPNMLTJQHIFFAU27EA,國風段,82.00,都市：住,1,1,全筆移轉,15850006
RPPNMLNKQHIFFCU96EA,石平段,2400.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07880000
RPPNMLRJQHIFFBU17EA,萬寶段,3809.99,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09190000
RPQNMLRJQHIFFBU27EA,萬寶段,6774.85,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09130000
RPPNMLSJQHIFFBU27EA,新白陽段,2182.85,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,12710000
RPXPMLQJQHIFFAU97EA,福祥段,620.00,都市：其他:,1,1,全筆移轉,04710002
RPOPMLQJQHIFFAU96DA,民勤段,16.18,都市：住,10000,204,持分移轉,00430002
RPVNMLQJQHIFFAU57EA,平和段,4515.96,都市：農,1,1,全筆移轉,13050000
RPSOMLMJQHIFFAU86DA,慶豐段,343.00,都市：其他:,1,1,全筆移轉,25090001
RPRQMLPKQHIFFAU27CA,福安段,102.00,都市：住,1,1,全筆移轉,17200005
RPXOMLPKQHIFFAU67CA,太昌段,100.00,都市：住,1,1,全筆移轉,08490000
RPOPMLNLQHIFFAU76CA,太昌段,149.00,都市：農,1,1,全筆移轉,00290005
RPSNMLNLQHIFFAU96CA,富國段,29.44,都市：住,10000,629,持分移轉,00590000
RPORMLPKQHIFFAU07CA,北濱段,44.00,都市：商,1,1,全筆移轉,04140002
RPRPMLOKQHIFFAU07CA,志新段,2921.16,都市：農,1,1,全筆移轉,03230000
RPVPMLRJQHIFFAU67CA,民勤段,28.35,都市：住,1000,126,持分移轉,02740000
RPRQMLQJQHIFFAU27CA,仁恥段,118.00,都市：住,1,1,全筆移轉,08040000
RPQPMLNLQHIFFAU96CA,太昌段,148.00,都市：農,1,1,全筆移轉,00290003
RPQPMLNLQHIFFAU96CA,太昌段,156.00,都市：農,1,1,全筆移轉,00290004
RPWNMLRJQHIFFAU57CA,五十甲段,1240.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02490000
