編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLMKQHIFFAV07CA,,192.80,住家用,ＲＣ造,102年5月15日,三層,一層 二層 三層 見其他登記事項
RPOPMLRJQHIFFAV07CA,2,215.39,住家用,ＲＣ造,100年1月21日,三層,一層 二層 三層 見其他登記事項
RPQOMLPJQHIFFAV96CA,1,230.07,住家用,ＲＣ造,102年1月4日,三層,一層 二層 三層 見其他登記事項
RPQNMLRJQHIFFCV37DA,,58.06,住家用,見其他登記事項,,一層,一層
RPUNMLPKQHIFFAV37CA,29,196.99,住宅．避難室,鋼筋混凝土造,73年1月26日,三層,一層 二層 三層 陽台 騎樓 地下層
RPXOMLRJQHIFFAV87CA,37,47.60,住家用,水泥磚木蓋瓦,65年3月1日,一層,一層
RPQNMLRJQHIFFAV07CA,7,215.11,住家用,ＲＣ造,95年6月19日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLPKQHIFFAV17CA,28,190.95,住商用,鋼筋混凝土造,75年1月17日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPOMLMJQHIFFAV56CA,26,106.96,住家用,加強磚造,76年3月5日,二層,一層 二層 陽台
RPPNMLNJQHIFFAV56CA,,229.88,住家用,ＲＣ造,102年1月4日,三層,一層 二層 三層 見其他登記事項
RPUNMLPJQHIFFAV27CA,,262.64,住家用,ＲＣ造,102年5月20日,三層,一層 二層 三層 見其他登記事項
RPVNMLPJQHIFFAV37CA,,251.98,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPWNMLPJQHIFFAV47CA,,250.09,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPSOMLKLQHIFFAV86CA,17,99.85,住家用,鋼筋混凝土造,85年6月28日,七層,二層 陽台 花台
RPSOMLKLQHIFFAV86CA,17,8.85,共同使用：樓梯．電梯,鋼筋混凝土造,85年6月28日,七層,
RPSOMLKLQHIFFAV86CA,17,6.01,樓梯、電梯、機械房、水箱共同使用,鋼筋混凝土造,85年6月28日,七層,
RPOOMLPJQHIFFAV76CA,,250.09,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPSOMLKLQHIFFAV86CA,17,4.36,車道、水箱、樓梯、機械房配電室共同使用　,鋼筋混凝土造,85年6月28日,七層,
RPSOMLKLQHIFFAV86CA,17,16.01,防空避難室暨停車空間共同使用,鋼筋混凝土造,85年6月28日,七層,
RPRNMLQJQHIFFAV07CA,19,234.54,住商用,鋼筋混凝土造,83年8月9日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物
RPXNMLPJQHIFFAV57CA,,250.09,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPPOMLPJQHIFFAV86CA,,250.09,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPSNMLQJQHIFFAV17CA,17,69.63,集合住宅,鋼筋混凝土造,85年6月21日,七層,五層 陽台 雨遮
RPSNMLQJQHIFFAV17CA,17,8.18,主要內容：樓梯．電梯（共同使用）,鋼筋混凝土造,85年6月21日,七層,
RPSNMLQJQHIFFAV17CA,17,4.74,電梯．水箱．機械房．樓梯共同使用,鋼筋混凝土造,85年6月21日,七層,
RPSNMLQJQHIFFAV17CA,17,4.72,車道．樓梯．配電室．機械房．蓄水池．機車停車位共同使用,鋼筋混凝土造,85年6月21日,七層,
RPSNMLQJQHIFFAV17CA,17,16.82,防空避難室暨停車空間共同使用,鋼筋混凝土造,85年6月21日,七層,
RPUNMLRJQHIFFCV67CA,46,160.99,住商用,鐵筋水泥磚造,57年1月4日,二層,一層 二層 騎樓
RPVNMLRJQHIFFAV67DA,22,207.37,住家用,鋼筋混凝土造,80年2月22日,四層,一層 二層 三層 四層 騎樓
RPQNMLQJQHIFFAV96CA,44,67.95,住家用,鋼筋混凝土造,58年2月12日,一層,一層 騎樓
RPSNMLLLQHIFFAV86CA,18,100.04,住家用,鋼筋混凝土造,84年2月16日,八層,七層 陽台
RPSNMLLLQHIFFAV86CA,18,9.00,樓梯．騎樓（共同使用）,鋼筋混凝土造,84年2月16日,八層,
RPSNMLLLQHIFFAV86CA,18,14.10,避難室．（共同使用）,鋼筋混凝土造,84年2月16日,八層,
RPSNMLLLQHIFFAV86CA,18,4.04,屋頂突出物（共同使用）,鋼筋混凝土造,84年2月16日,八層,
RPWNMLLLQHIFFAV27CA,23,204.05,住家用,鋼筋混凝土造,79年1月18日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQOMLRJQHIFFAV17CA,,258.67,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPROMLRJQHIFFAV27CA,,262.64,住家用,ＲＣ造,102年5月20日,三層,一層 二層 三層 見其他登記事項
RPTOMLRJQHIFFAV47CA,,127.18,住家用,ＲＣ造,102年4月25日,三層,一層 二層 三層 見其他登記事項
RPTOMLRJQHIFFAV47CA,,127.18,住家用,ＲＣ造,102年4月25日,三層,一層 二層 三層 見其他登記事項
RPUOMLRJQHIFFAV57CA,,251.98,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPVOMLRJQHIFFAV67CA,,260.45,住家用,ＲＣ造,102年5月20日,三層,一層 二層 三層 見其他登記事項
RPTNMLTJQHIFFAV57CA,21,147.78,住家用,鋼筋混凝土造,81年5月22日,三層,一層 二層 三層
RPRNMLMKQHIFFAV76CA,,131.22,住家用,ＲＣ造,102年3月20日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLMKQHIFFAV76CA,,131.22,住家用,ＲＣ造,102年3月20日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
SPXNMLPKQHIFFAV77CA,17,124.21,集合住宅,鋼筋混凝土造,85年6月28日,九層,八層 陽台 花台
SPXNMLPKQHIFFAV77CA,17,39.59,防空避難室，停車空間（共同使用）,鋼筋混凝土造,85年6月28日,九層,
RPQNMLSJQHIFFAV17CA,23,121.71,住家用,鋼筋混凝土造,79年10月26日,三層,一層 二層 三層
RPQNMLSJQHIFFAV17CA,23,121.71,住家用,鋼筋混凝土造,79年10月26日,三層,一層 二層 三層
RPVNMLTJQHIFFAV77CA,,258.67,住家用,ＲＣ造,102年4月25日,三層,一層 二層 三層 見其他登記事項
RPXNMLTJQHIFFAV97CA,,251.98,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPSOMLRJQHIFFAV37CA,,175.50,住商用,鐵筋水泥磚,,二層,一層 二層 騎樓
RPSNMLTJQHIFFAV47CA,10,198.91,住家用,鋼筋混凝土造,93年1月9日,三層,一層 二層 三層 見其他登記事項
RPPNMLPKQHIFFAV86CA,21,196.32,住家用,鋼筋混凝土造,81年3月24日,三層,一層 二層 三層 屋頂突出物
RPQNMLLLQHIFFDV96CA,20,31.40,出租套房,鋼筋混凝土造,82年11月8日,八層,七層 陽台
RPPNMLKKQHIFFAV09DA,,210.32,住商用,鋼筋混凝土造,83年9月29日,四層,一層 二層 三層 四層 陽台 騎樓
RPUNMLTJQHIFFAV67CA,,250.09,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPRNMLPKQHIFFAV07CA,29,94.50,住家用,加強磚造,72年12月5日,二層,一層 二層 陽台 騎樓
RPQNMLMKQHIFFAV66CA,,260.45,住家用,ＲＣ造,102年5月20日,三層,一層 二層 三層 見其他登記事項
RPPNMLPKQHIFFCV07CA,31,321.47,住商用,鋼筋混凝土造,71年8月3日,三層,一層 二層 三層 屋頂突出物 騎樓
RPTNMLNLQHIFFAV17CA,20,149.18,住家用,加強磚造,82年5月27日,二層,一層 二層 屋頂突出物
RPSNMLNKQHIFFCV17CA,20,158.97,住家用,鋼筋混凝土造,82年7月13日,三層,一層 二層 三層 騎樓
RPSNMLMKQHIFFAV96DA,20,101.91,國民住宅,鋼筋混凝土造,82年12月3日,四層,三層 陽台
RPSNMLMKQHIFFAV96DA,20,2.50,避難室．機械室．共同使用,鋼筋混凝土造,82年12月3日,四層,
RPSNMLMKQHIFFAV96DA,20,.29,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPSNMLMKQHIFFAV96DA,20,3.97,避難室．機械室．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPSNMLMKQHIFFAV96DA,20,.29,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPWNMLTJQHIFFAV87CA,,251.98,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPRNMLKMQHIFFAV76CA,34,113.83,住家用,加強磚造,68年3月1日,二層,一層 二層 騎樓
RPVNMLOKQHIFFAV37CA,6,236.07,住家用,ＲＣ造,96年4月3日,三層,一層 二層 三層 見其他登記事項
RPWNMLTLQHIFFAV08CA,41,61.72,住家用,鐵筋水泥磚,61年10月13日,一層,一層
RPVNMLMKQHIFFAV17CA,1,225.91,住家用,ＲＣ造,102年1月4日,三層,一層 二層 三層 見其他登記事項
RPUNMLTKQHIFFAV77CA,18,131.98,住家用,鋼筋混凝土造,84年12月4日,十六層,八層 陽台
RPUNMLTKQHIFFAV77CA,18,50.22,電梯．樓梯．走道．水箱．機械室．防空避難室及停車間（公共設施．共同使用）,鋼筋混凝土造,84年12月4日,十六層,
RPTNMLNKQHIFFAV07CA,20,102.20,國民住宅,鋼筋混凝土造,82年12月3日,四層,三層 陽台
RPTNMLNKQHIFFAV07CA,20,2.26,避難室．機械室．共同使用,鋼筋混凝土造,82年12月3日,四層,
RPTNMLNKQHIFFAV07CA,20,.25,樓梯間．共同使用,鋼筋混凝土造,82年12月3日,四層,
RPTNMLNKQHIFFAV07CA,20,.69,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPTNMLNKQHIFFAV07CA,20,.69,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPXNMLOKQHIFFAV57CA,18,124.33,店舖，集合住宅,鋼筋混凝土造,84年1月4日,三層,一層 二層 三層 陽台
RPSNMLMLQHIFFAV07DA,49,64.30,住家用,鐵筋水泥磚造,53年6月22日,一層,一層
RPSNMLMLQHIFFAV07DA,49,72.21,住家用,木蓋瓦,53年6月22日,一層,一層 浴廁
RPRNMLQKQHIFFAV17CA,7,235.32,住家用,ＲＣ造,95年8月15日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPVNMLPKQHIFFAV47CA,,324.73,住家用,ＲＣ造,102年7月8日,四層,一層 二層 三層 四層 見其他登記事項
RPOOMLOKQHIFFAV86DA,39,87.21,住家用,鐵筋水泥磚,63年11月14日,二層,一層 二層
RPRNMLOKQHIFFAV07DA,,268.38,住家用,ＲＣ造,102年7月3日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLOJRHIFFDV17CA,16,66.11,住家用,加強磚造,86年3月8日,一層,一層
RPTNMLTKQHIFFAV77DA,16,427.32,住商用,鋼筋混凝土造,86年2月5日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPWNMLKLQHIFFAV17CA,22,183.71,住家用,鋼筋混凝土造,80年7月1日,四層,一層 二層 三層 四層
RPPOMLPKQHIFFAV96CA,,129.34,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPPOMLPKQHIFFAV96CA,,129.34,住家用,ＲＣ造,102年4月29日,三層,一層 二層 三層 見其他登記事項
RPTNMLKLQHIFFAV86CA,21,236.03,住家用,鋼筋混凝土造,81年12月11日,四層,一層 二層 三層 四層 騎樓
RPPNMLQKQHIFFAV07DA,20,38.27,集合住宅,Ｒ．Ｃ鋼筋混凝土,82年8月17日,七層,六層 陽台
RPPNMLQKQHIFFAV07DA,20,2.59,樓梯間．公共設施（共同使用）,鋼筋混凝土造,82年8月17日,七層,
RPPNMLQKQHIFFAV07DA,20,1.59,樓梯間．機械室．水管室．公共設施（共同使用）,鋼筋混凝土造,82年8月17日,七層,
RPPNMLQKQHIFFAV07DA,20,1.89,樓梯間．公共設施（共同使用）,鋼筋混凝土造,82年8月17日,七層,
RPPNMLQKQHIFFAV07DA,20,5.59,防空避難室．公共設施兼地下室．停車場（共同使用）,鋼筋混凝土造,82年8月17日,七層,
RPQNMLLLQHIFFAV66CA,18,419.86,車庫．住宅,鋼筋混凝土造,84年12月11日,三層,一層 二層 三層 地下層 見其他登記事項
RPQNMLLLQHIFFAV66CA,18,53.31,車道,鋼筋混凝土造,84年12月11日,三層,
RPPNMLKLQHIFFCV76DA,16,177.90,住家用,加強磚造,86年9月20日,二層,一層 二層 陽台 屋頂突出物
RPQNMLTLQHIFFBV67DA,18,159.60,鄉村住宅,有牆鋼架造,84年8月10日,二層,一層 二層
RPPNMLMLQHIFFAV66CA,15,261.64,住家用,鋼筋混凝土造,87年8月25日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物
RPPNMLSLQHIFFBV37CA,32,138.85,住家用,加強磚造,70年9月29日,二層,一層 二層
RPVNMLNLQHIFFAV37CA,6,161.60,住家用,ＲＣ造,96年4月4日,三層,一層 二層 三層 見其他登記事項
RPRNMLQLQHIFFAV27CA,15,147.36,住宅．人行,鋼筋混凝土造,87年11月24日,三層,一層 二層 三層 騎樓
RPRNMLKKRHIFFAV66CA,,260.42,住家用,ＲＣ造,102年3月20日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLRLQHIFFAV37DA,,268.38,住家用,ＲＣ造,102年7月3日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLOLQHIFFAV86CA,1,230.07,住家用,ＲＣ造,102年1月4日,三層,一層 二層 三層 見其他登記事項
RPUNMLRLQHIFFAV67CA,18,92.19,集合住宅,鋼筋混凝土造,84年7月31日,六層,五層 陽台
RPUNMLRLQHIFFAV67CA,18,12.49,樓梯電梯．車道水箱．守衛室．機械房,鋼筋混凝土造,84年7月31日,六層,
RPUNMLRLQHIFFAV67CA,18,33.91,防空避難室暨停車空間,鋼筋混凝土造,84年7月31日,六層,
RPSNMLTLQHIFFAV67CA,30,42.48,住家用,磚造鐵皮頂,73年1月4日,一層,一層 騎樓
RPRNMLSLQHIFFAV47CA,,155.72,住家用,加強磚造,,二層,一層 二層 屋頂突出物 騎樓
RPTNMLRLQHIFFAV57CA,18,92.19,集合住宅,鋼筋混凝土造,84年7月31日,六層,四層 陽台
RPTNMLRLQHIFFAV57CA,18,12.49,樓梯電梯．車道水箱．守衛室．機械房,鋼筋混凝土造,84年7月31日,六層,
RPTNMLRLQHIFFAV57CA,18,33.91,防空避難室暨停車空間,鋼筋混凝土造,84年7月31日,六層,
RPUNMLSLQHIFFAV77CA,,196.83,住家用,ＲＣ造,102年2月5日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPSNMLQLQHIFFAV37CA,17,124.94,集合住宅,鋼筋混凝土造,85年6月28日,九層,二層 陽台 花台 雨遮
RPSNMLQLQHIFFAV37CA,17,9.21,電梯，樓梯共同使用,鋼筋混凝土造,85年6月28日,九層,
RPSNMLQLQHIFFAV37CA,17,13.40,配電室．樓梯．電梯．機械房．通道．水箱．人行共同使用,鋼筋混凝土造,85年6月28日,九層,
RPUNMLKMQHIFFAV07CA,43,109.01,住家用,鐵筋水泥磚,60年1月20日,二層,一層 二層
RPPNMLRLQHIFFAV27DA,,197.44,住家用,ＲＣ,102年5月27日,三層,一層 二層 三層 見其他登記事項
RPQNMLNLRHIFFBV07CA,32,71.17,住家用,鋼筋混凝土加強磚造,70年3月9日,一層,一層
RPQNMLOJRHIFFAV86CA,27,54.39,住家用,加強磚造,75年1月20日,一層,一層
RPSOMLPJRHIFFAV27CA,20,2.20,避難室．機械室．共同使用,鋼筋混凝土造,82年12月3日,四層,
RPSOMLPJRHIFFAV27CA,20,102.02,國民住宅,鋼筋混凝土造,82年12月3日,四層,四層 陽台
RPSOMLPJRHIFFAV27CA,20,.24,樓梯間．共同使用,鋼筋混凝土造,82年12月3日,四層,
RPSOMLPJRHIFFAV27CA,20,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPSOMLPJRHIFFAV27CA,20,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPSOMLPJRHIFFAV27CA,20,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPSOMLPJRHIFFAV27CA,20,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPSOMLPJRHIFFAV27CA,20,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPSOMLPJRHIFFAV27CA,20,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPROMLPJRHIFFAV17CA,,56.94,住家用,鐵筋混凝土磚造,,二層,一層 二層
RPPOMLSLQHIFFAV37CA,,188.69,住家用,ＲＣ造,102年4月19日,三層,一層 二層 三層 見其他登記事項
RPTNMLQJRHIFFAV37CA,17,78.52,集合住宅,鋼筋混凝土造,85年6月21日,七層,四層 陽台 花台
RPTNMLQJRHIFFAV37CA,17,10.02,主要內容：樓梯．電梯（共同使用）,鋼筋混凝土造,85年6月21日,七層,
RPTNMLQJRHIFFAV37CA,17,4.85,電梯．水箱．機械房．樓梯共同使用,鋼筋混凝土造,85年6月21日,七層,
RPTNMLQJRHIFFAV37CA,17,5.56,車道．樓梯．配電室．機械房．蓄水池．機車停車位共同使用,鋼筋混凝土造,85年6月21日,七層,
RPTNMLQJRHIFFAV37CA,17,16.82,防空避難室暨停車空間共同使用,鋼筋混凝土造,85年6月21日,七層,
RPSNMLSLQHIFFAV57CA,18,131.98,住家用,鋼筋混凝土造,84年12月4日,十六層,七層 陽台
RPSNMLSLQHIFFAV57CA,18,50.22,電梯．樓梯．走道．水箱．機械室．防空避難室及停車間（公共設施．共同使用）,鋼筋混凝土造,84年12月4日,十六層,
RPTNMLSLQHIFFAV67CA,30,107.30,國民住宅,鋼筋混凝土造,72年2月22日,四層,三層 陽台
RPTNMLSLQHIFFAV67CA,30,10.88,國民住宅．走道,鋼筋混凝土造,72年2月22日,四層,
RPPNMLTLQHIFFBV47CA,23,109.27,住家用,加強磚造,79年12月8日,二層,一層 二層
RPRNMLMKRHIFFAV86CA,5,226.52,住家用,ＲＣ造,97年10月16日,三層,一層 二層 三層 見其他登記事項
RPSNMLQKRHIFFCV57CA,34,89.60,住家用,見其他登記事項,69年2月12日,一層,
RPVNMLOKRHIFFDV77CA,18,30.87,套房,鋼筋混凝土造,84年7月14日,八層,四層 見其他登記事項
RPVNMLOKRHIFFDV77CA,18,6.94,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,
RPWNMLOKRHIFFDV87CA,18,33.25,套房,鋼筋混凝土造,84年7月14日,八層,四層 見其他登記事項
RPWNMLOKRHIFFDV87CA,18,7.30,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,
RPVNMLKMQHIFFBV27CA,32,125.29,住家用,加強磚造,70年12月26日,二層,一層 二層 騎樓
RPTNMLTLQHIFFAV77CA,30,106.29,國民住宅,鋼筋混凝土造,72年2月22日,四層,四層 陽台
RPVNMLTLQHIFFAV97CA,44,66.16,住家用,鐵筋水泥磚,58年2月1日,二層,一層 二層
RPRNMLTLQHIFFAV57CA,17,190.55,住家用,鋼筋混凝土造,85年12月24日,四層,一層 二層 三層 四層 見其他登記事項
RPPOMLPJRHIFFAV96CA,,56.65,住家用,鐵筋水泥磚造,,一層,一層 騎樓
RPQNMLKMQHIFFAV66CA,33,80.78,住家用,加強磚造,69年6月21日,二層,一層 二層
RPTNMLKMQHIFFAV96CA,,243.00,住家用,ＲＣ造,102年5月29日,三層,一層 二層 三層 見其他登記事項
RPPNMLMJRHIFFAV56CA,25,95.20,住家用,加強磚造,77年6月8日,二層,一層 二層
RPOOMLOJRHIFFAV76CA,33,93.06,住家用,加強磚造,69年9月26日,二層,一層 二層
