編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLQJQHIFFAX37DA,東澳段,10.53,非都市： ; 非都市編定：,300,6,持分移轉,00740000
RPRNMLQJQHIFFAX37DA,東澳段,9.28,非都市： ; 非都市編定：,80,2,持分移轉,00750000
RPQNMLTJQHIFFAX57DA,合界頭段,107.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03570008
RPTNMLTJQHIFFAX87DA,鼎灣新段,18.58,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉,05780001
RPUNMLTJQHIFFAX97DA,鼎灣新段,27.66,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,06070001
RPUNMLTJQHIFFAX97DA,鼎灣新段,27.18,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,06080000
RPSNMLTJQHIFFAX77DA,鼎灣新段,73.25,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03600001
RPRNMLTJQHIFFAX67DA,鼎灣新段,25.39,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05470001
RPRNMLTJQHIFFAX67DA,鼎灣新段,6.08,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05540000
RPRNMLTJQHIFFAX67DA,鼎灣新段,10.73,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,06490000
RPRNMLTJQHIFFAX67DA,鼎灣新段,160.95,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06540001
RPVNMLTJQHIFFAX08DA,鼎灣新段,27.66,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,06070001
RPVNMLTJQHIFFAX08DA,鼎灣新段,27.18,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,06080000
RPTNMLPJQHIFFAX47DA,北澳段,53.87,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05440000
RPSNMLPJQHIFFAX37DA,林投北段,129.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03440000
RPPNMLQJQHIFFAX07CA,五德西段,327.64,非都市：一般農業區 ; 非都市編定：農牧用地,5,4,持分移轉,04680001
RPROMLLKQHIFFAX96CA,馬公段,169.00,非都市： ; 非都市編定：,1,1,全筆移轉,20800000
RPROMLLKQHIFFAX96CA,馬公段,179.00,非都市： ; 非都市編定：,1,1,全筆移轉,20810000
RPTOMLLKQHIFFAX17CA,光榮段,615.98,非都市： ; 非都市編定：,1,1,全筆移轉,02550000
RPTNMLQJQHIFFAX47CA,後寮段,310.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02520000
RPQNMLRJQHIFFAX27CA,隘門新段,125.60,非都市：一般農業區 ; 非都市編定：農牧用地,18,8,持分移轉,07300000
RPUNMLQJQHIFFAX57CA,北澳段,50.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02990000
RPPNMLRLQHIFFAX57EA,馬公段,8.50,非都市： ; 非都市編定：,2,1,持分移轉,01030225
RPPNMLRLQHIFFAX57EA,馬公段,8.50,非都市： ; 非都市編定：,2,1,持分移轉,01030225
RPWNMLQJQHIFFAX77CA,尖山中段,1554.04,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11240000
RPUOMLLKQHIFFAX27CA,文石段,226.66,非都市：一般農業區 ; 非都市編定：農牧用地,1000,334,持分移轉,12480000
RPUOMLLKQHIFFAX27CA,文石段,225.98,非都市：一般農業區 ; 非都市編定：農牧用地,1000,333,持分移轉,12480000
RPUOMLLKQHIFFAX27CA,文石段,225.98,非都市：一般農業區 ; 非都市編定：農牧用地,1000,333,持分移轉,12480000
RPWOMLLKQHIFFAX57DA,案山段,72.59,非都市： ; 非都市編定：,1,1,全筆移轉,09300000
RPTNMLLLQHIFFAX37EA,四維段,94.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01140000
RPPNMLSJQHIFFAX27CA,合界頭段,961.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01070000
RPRNMLRJQHIFFAX57EA,埕東段,1.26,非都市： ; 非都市編定：,1,1,全筆移轉,09010005
RPVOMLLKQHIFFAX37CA,國宅段,1009.89,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02870000
RPRNMLSJQHIFFAX47CA,四維段,92.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02950000
RPQNMLMKQHIFFAX86CA,下瓦硐段,915.67,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12110000
RPSNMLPKQHIFFAX37CA,大嶼段,184.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,2,持分移轉,17040000
RPPNMLMKQHIFFAX86DA,五福段,192.98,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02840005
RPPNMLMKQHIFFAX86DA,五福段,64.16,非都市：一般農業區 ; 非都市編定：交通用地,10,1,持分移轉,02840000
RPQNMLPKQHIFFAX17CA,西溪段,357.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00530001
RPVNMLMKQHIFFAX47DA,安宅段,69.30,非都市：一般農業區 ; 非都市編定：農牧用地,20,1,持分移轉,10810000
RPWNMLMKQHIFFAX57DA,通梁東段,640.54,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05380000
RPQNMLOKQHIFFAX17DA,鼎灣新段,18.58,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉,05780001
RPRNMLOKQHIFFAX27DA,鼎灣新段,18.58,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉,05780001
RPSNMLOKQHIFFAX37DA,安宅段,168.64,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11710003
RPSNMLOKQHIFFAX37DA,安宅段,51.12,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉,11710004
RPRNMLMKQHIFFAX07DA,西澳段,107.19,非都市： ; 非都市編定：,1,1,全筆移轉,01820000
RPRNMLMKQHIFFAX07DA,西澳段,5.25,非都市： ; 非都市編定：,1,1,全筆移轉,01870000
RPPNMLOKQHIFFAX96CA,尖山南段,4125.18,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04370000
RPUNMLMKQHIFFAX27CA,小池角段,601.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,23470000
RPTNMLQKQHIFFAX57CA,五德西段,228.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,07720000
RPPNMLOJRHIFFAX07DA,吉貝東段,844.21,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07910000
RPXNMLMLQHIFFAX77DA,龍門西段,310.43,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00480000
RPSNMLTKQHIFFAX77CA,花宅段,39.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,4,持分移轉,20940000
RPPNMLTLQHIFFAX57CA,山水北段,42.22,非都市： ; 非都市編定：,1,1,全筆移轉,03250002
RPRNMLMLQHIFFAX07CA,五福段,19.55,非都市：一般農業區 ; 非都市編定：農牧用地,130,1,持分移轉,07680000
RPVNMLMLQHIFFAX47CA,興崁段,703.00,非都市：一般農業區 ; 非都市編定：農牧用地,9,6,持分移轉,10810000
RPSNMLMLQHIFFAX17CA,小池角段,354.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,26330000
RPUNMLMLQHIFFAX37CA,興崁段,144.40,非都市：一般農業區 ; 非都市編定：農牧用地,9,1,持分移轉,12180000
RPTNMLMLQHIFFAX27CA,興崁段,238.66,非都市：一般農業區 ; 非都市編定：農牧用地,9,1,持分移轉,10790000
RPPNMLNKQHIFFAX07EA,林投南段,33.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,04580000
RPUNMLQKQHIFFAX67CA,雙湖段,16.42,非都市： ; 非都市編定：,1,1,全筆移轉,10560001
RPQNMLQKQHIFFAX27CA,五德西段,24.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,07710000
RPUNMLTKQHIFFAX18EA,馬公段,255.00,非都市： ; 非都市編定：,1,1,全筆移轉,17230000
RPUNMLTKQHIFFAX18EA,馬公段,312.00,非都市： ; 非都市編定：,1,1,全筆移轉,17240000
