編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTSMLOJJIIFFAB57CA,24,94.47,住家用,鋼筋混凝土造,78年4月27日,七層,四層 陽台 花台
RPTSMLOJJIIFFAB57CA,24,8.45,共有部份,鋼筋混凝土造,78年4月27日,七層,
RPQOMLOJJIIFFAB86CA,18,71.57,集合住宅,鋼筋混凝土造,84年8月17日,十五層,十五層 陽台
RPQOMLOJJIIFFAB86CA,18,7.09,停車空間,鋼筋混凝土造,84年8月17日,十五層,
RPQOMLOJJIIFFAB86CA,18,31.47,人行道．防空避難室．樓梯間．機械室．水箱,鋼筋混凝土造,84年8月17日,十五層,
RPSPMLLJJIIFFAB86CA,21,92.32,住家用,鋼筋混凝土造,81年8月25日,十五層,十五層 陽台
RPSPMLLJJIIFFAB86CA,21,54.60,停車空間、避難室、梯間、停車場,鋼筋混凝土造,81年8月25日,十五層,
RPVOMLLJJIIFFAB07CA,15,168.40,住宅．樓梯間,鋼筋混凝土造,87年12月16日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項
RPVOMLLJJIIFFAB07CA,15,2.90,共有部份,鋼筋混凝土造,87年12月16日,四層,
RPRPMLSJJIIFFAB47CA,14,44.73,共有部份,鋼筋混凝土造,88年5月19日,十六層,
RPRPMLSJJIIFFAB47CA,14,87.95,國民住宅,鋼筋混凝土造,88年5月19日,十六層,十四層 陽台
RPUSMLOJJIIFFAB67CA,19,67.92,住家用,鋼筋混凝土造,84年1月13日,十九層,十二層 陽台 花台
RPUSMLOJJIIFFAB67CA,19,1.07,商業用,鋼筋混凝土造,84年1月13日,十九層,
RPUSMLOJJIIFFAB67CA,19,9.12,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPUSMLOJJIIFFAB67CA,19,10.41,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPUSMLOJJIIFFAB67CA,19,14.38,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,
RPRSMLPJJIIFFAB47CA,19,93.03,住家用,鋼筋混凝土造,83年6月30日,十四層,十二層 陽台 花台
RPRSMLPJJIIFFAB47CA,19,39.66,共有部份,鋼筋混凝土造,83年6月30日,十四層,
RPURMLLKJIIFFAB37CA,17,707.62,商業用,鋼骨造,86年1月31日,二十八層,九層 陽台
RPURMLLKJIIFFAB37CA,17,1211.50,商業用,鋼骨造,86年1月31日,二十八層,一層 平台 騎樓 花台
RPURMLLKJIIFFAB37CA,17,1427.19,商業用,鋼骨造,86年1月31日,二十八層,二層 陽台
RPURMLLKJIIFFAB37CA,17,1580.99,商業用,鋼骨造,86年1月31日,二十八層,三層 陽台
RPURMLLKJIIFFAB37CA,17,1579.68,商業用,鋼骨造,86年1月31日,二十八層,四層 陽台
RPURMLLKJIIFFAB37CA,17,1495.17,商業用,鋼骨造,86年1月31日,二十八層,五層 陽台
RPXPMLQJJIIFFAB87CA,1,61.93,集合住宅,鋼筋混凝土造,102年2月5日,十層,三層 陽台
RPXPMLQJJIIFFAB87CA,1,27.14,本共有部份係依使用執照之建築概要表記載項目有：台電受電室、防空避難室兼停車空間、管委會使用空間、公共遊憩設施空間、開放空間、門廳、梯間、水錶箱、機房、機械室及水箱、管委會健身室、頂蓋型廣場式開放空間、管理員室等１４項,鋼筋混凝土造,102年2月5日,十層,
RPXPMLQJJIIFFAB87CA,1,11.40,本共有部份係依使用執照之建築概要表記載項目有：梯廳及梯間等２項,鋼筋混凝土造,102年2月5日,十層,
RPRNMLPKJIIFFAB07CA,34,91.88,住工用,加強磚造,68年12月24日,二層,一層 二層
RPOOMLSJJIIFFAB07CA,17,69.62,住家用,鋼筋混凝土造,85年12月11日,二十四層,九層 陽台
RPOOMLSJJIIFFAB07CA,17,17.61,共同使用　,鋼筋混凝土造,85年12月11日,二十四層,
RPOOMLSJJIIFFAB07CA,17,11.96,共有部份,鋼筋混凝土造,85年12月11日,二十四層,
RPUPMLNKJIIFFAB37CA,26,58.92,住商用,鋼筋混凝土造,76年12月4日,二層,一層 二層 陽台
RPPOMLKKJIIFFAB09CA,17,13.81,防空避難室兼停車空間、停車空間,鋼筋混凝土造,85年12月11日,二十四層,地下二層 地下三層
RPPOMLKKJIIFFAB09CA,17,1.52,共同使用　,鋼筋混凝土造,85年12月11日,二十四層,
RPSPMLMJJIIFFBB07CA,18,207.53,住家用,鋼筋混凝土造,84年10月16日,三層,一層 二層 三層 陽台 平台 屋頂突出物 花台 地下一層 地下二層
RPSPMLMJJIIFFBB07CA,18,28.22,共有部份,鋼筋混凝土造,84年10月16日,三層,
RPSPMLMJJIIFFBB07CA,18,.00,共有部份,鋼筋混凝土造,84年10月16日,三層,
RPSPMLMJJIIFFBB07CA,18,.00,共有部份,鋼筋混凝土造,84年10月16日,三層,
RPTNMLNJJIIFFBB07CA,7,261.23,停車空間、集合住宅,鋼筋混凝土造,95年8月23日,五層,一層 二層 三層 四層 五層 陽台 雨遮 地下一層
RPTNMLNJJIIFFBB07CA,7,128.29,共有部份,鋼筋混凝土造,95年8月23日,五層,
RPRNMLOJJIIFFBB96CA,18,107.26,住家用,鋼筋混凝土造,84年12月29日,十一層,四層 陽台 花台
RPRNMLOJJIIFFBB96CA,18,14.28,共有部份,鋼筋混凝土造,84年12月29日,十一層,
RPRNMLOJJIIFFBB96CA,18,10.10,共有部份,鋼筋混凝土造,84年12月29日,十一層,
RPQQMLOJJIIFFBB17CA,21,14.79,共有部份,鋼筋混凝土造,81年5月25日,七層,
RPQQMLOJJIIFFBB17CA,21,87.51,住家用,鋼筋混凝土造,81年5月25日,七層,六層 陽台 花台
RPQQMLOJJIIFFBB17CA,21,16.75,避難室，停車空間,鋼筋混凝土造,81年5月25日,七層,
RPQNMLQJJIIFFBB07CA,6,30.38,住家用,鋼筋混凝土造,96年4月9日,八層,七層 陽台
RPQNMLQJJIIFFBB07CA,6,15.50,共有部份,鋼筋混凝土造,96年4月9日,八層,
RPQNMLQJJIIFFBB07CA,6,4.39,共有部份,鋼筋混凝土造,96年4月9日,八層,
RPQNMLQJJIIFFBB07CA,6,30.38,住家用,鋼筋混凝土造,96年4月9日,八層,七層 陽台
RPQNMLQJJIIFFBB07CA,6,41.95,共有部份,鋼筋混凝土造,96年4月9日,八層,
RPQNMLQJJIIFFBB07CA,6,4.39,共有部份,鋼筋混凝土造,96年4月9日,八層,
RPVQMLQJJIIFFBB87CA,7,68.83,住家用,鋼筋混凝土造,95年10月17日,十三層,二層 陽台 雨遮
RPVQMLQJJIIFFBB87CA,7,14.23,共有部份,鋼筋混凝土造,95年10月17日,十三層,
RPVQMLQJJIIFFBB87CA,7,7.70,共有部份,鋼筋混凝土造,95年10月17日,十三層,
RPWQMLQJJIIFFBB97CA,21,98.78,住家用,鋼筋混凝土造,82年1月15日,七層,四層 陽台
RPWQMLQJJIIFFBB97CA,21,41.20,共有部份,鋼筋混凝土造,82年1月15日,七層,
RPPQMLQJJIIFFBB27CA,,148.09,住商用,鋼筋混凝土造,,四層,一層 二層 騎樓 地下層
RPVRMLRJJIIFFBB08CA,21,185.00,住家用,鋼骨混凝土造,81年11月26日,二十五層,五層 陽台 花台
RPVRMLRJJIIFFBB08CA,21,53.59,共有部份,鋼骨混凝土造,81年11月26日,二十五層,
RPWOMLSJJIIFFBB97CA,19,19.16,共有部份,鋼筋混凝土造,83年9月7日,八層,
RPWOMLSJJIIFFBB97CA,19,23.55,住家用,鋼筋混凝土造,83年9月7日,八層,六層 陽台
RPTPMLSJJIIFFBB77CA,3,94.16,住家用,鋼筋混凝土造,99年5月19日,十層,三層 陽台
