鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),新北市板橋區金門街337巷6弄11號,16.68,住,,,1021017,土地1建物1車位0,一層,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0871102,59.89,2,2,1,有,無,6070000,101352,,0.0,0,含增建或未登記建物。,RPSNMLPJJIIFFAF47CA,34.91,0.0,14.07,,
板橋區,房地(土地+建物),新北市板橋區大觀路二段19巷16之1號,20.27,住,,,1021011,土地2建物1車位0,二層，陽台,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,59.4,2,2,1,有,無,3720000,62626,,0.0,0,價格含增建。,RPUQMLQJJIIFFAF08CA,59.4,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區南雅東路８號６樓之２,4.48,商,,,1021003,土地1建物1車位0,六層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861121,36.85,1,1,1,有,有,3200000,86839,,0.0,0,,RPTTMLQJJIIFFAF28CA,24.71,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區南雅東路８號６樓之２９,4.0,商,,,1021003,土地1建物1車位0,六層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0861121,32.39,1,1,1,有,有,2800000,86446,,0.0,0,,RPXTMLQJJIIFFAF68CA,21.58,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區四川路二段123號16樓之5,3.41,住,,,1021014,土地1建物1車位0,十六層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890412,40.03,0,1,1,有,有,6360000,158881,,0.0,0,價格含增建。,RPSVMLQJJIIFFAF38CA,25.16,0.0,5.9,,
土城區,房地(土地+建物),新北市土城區青仁路40號6樓,20.88,住,,,1021008,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830301,115.24,3,2,2,有,有,9900000,85908,,0.0,0,價格含增建。,RPTVMLQJJIIFFAF48CA,74.47,0.0,7.91,,
土城區,房地(土地+建物),新北市土城區福安街52巷7號3樓,36.43,住,,,1020924,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790118,120.89999999999999,3,2,2,有,無,7100000,58726,,0.0,0,價格含增建。,RPWVMLQJJIIFFAF78CA,96.2,0.0,12.87,,
土城區,土地,永和段727地號,168.8,農,,,1021021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,8886,,0.0,0,畸零地或有合併使用之交易。,RPPNMLRJJIIFFAF37CA,0.0,0.0,0.0,,
土城區,土地,永和段727地號,140.67,農,,,1021023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350000,9597,,0.0,0,畸零地或有合併使用之交易。,RPQNMLRJJIIFFAF47CA,0.0,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區南雅南路一段３巷２號,87.0,商,,,1020905,土地1建物4車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,202.22,4,3,4,有,無,29000000,143408,,0.0,0,,RPXRMLRJJIIFFAF58CA,202.22,0.0,0.0,,
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道二段84號二十二樓,30.65,其他,,,1021002,土地1建物1車位2,二十二層,三十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0991130,460.15,3,2,3,有,有,100100000,243505,坡道平面,73.3,5900000,,RPRTMLRJJIIFFAF18CA,238.08,0.0,22.98,,
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道二段84號二十一樓,30.65,其他,,,1021008,土地1建物1車位2,二十一層,三十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0991130,460.15,3,2,3,有,有,99500000,241954,坡道平面,73.3,5900000,,RPSTMLRJJIIFFAF28CA,238.08,0.0,22.98,,
