編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLPKIINFFIF66CA,37,65.21,住家用,鋼筋混凝土造,70年4月24日,五層,五層,全筆移轉
RPPOMLPKIINFFHF58DA,23,.53,住家用,鋼筋混凝土造,84年6月14日,十一層,六層,持分移轉
RPPOMLPKIINFFHF58DA,23,.05,共有部分,鋼筋混凝土造,84年6月14日,十一層,,持分移轉
RPPOMLPKIINFFHF58DA,23,.29,共有部分,鋼筋混凝土造,84年6月14日,十一層,,持分移轉
RPPPMLMKJINFFHF38CA,23,8.44,停車空間,鋼筋混凝土造,84年11月17日,十四層,地下二層,持分移轉
RPPPMLMKJINFFHF38CA,23,32.49,共有部分,鋼筋混凝土造,84年11月17日,十四層,,持分移轉
RPQNMLRKIINFFBF08CA,39,126.13,住家用,鋼筋混凝土造,69年1月8日,四層,四層 陽臺,全筆移轉
RPRPMLPLIINFFCF38CA,2,86.22,集合住宅,鋼筋混凝土造,105年4月14日,十五層,二層 陽臺,全筆移轉
RPRPMLPLIINFFCF38CA,2,73.27,本共有部分之項目計有：Ａ１戶外安全梯、Ａ２戶外安全梯、緊急升降機排煙室、大廳、公共服務空間一書報閱覽室、公共服務空間二健身房、梯廳、Ｂ１戶外安全梯、Ｂ２戶外安全梯、汽機車車道、消防水箱、Ａ水箱、樓梯間、電梯機房、Ｂ水箱、Ａ梯緊急升降機排煙室、台電配電場所、垃圾車暫停車位、Ｂ梯緊急升降機排煙室、垃圾儲藏室、台電專用管道間、電信機房、汽車車道、機房、發電機房及消防機房等共２６項。,鋼筋混凝土造,105年4月14日,十五層,,持分移轉
RPTNMLRKIINFFGF88CA,26,94.55,住家用,鋼筋混凝土造,81年10月12日,十六層,九層 陽臺 雨遮,全筆移轉
RPTNMLRKIINFFGF88CA,26,13.95,共有部分,鋼筋混凝土造,81年10月12日,十六層,,持分移轉
RPTNMLRKIINFFGF88CA,26,12.79,共有部分,鋼筋混凝土造,81年10月12日,十六層,,持分移轉
RPTNMLRKIINFFGF88CA,26,28.43,防空避難室兼停車空間,鋼筋混凝土造,81年10月12日,十六層,,持分移轉
RPQPMLPKIINFFBF08CA,32,53.28,住商用,鋼筋混凝土造,75年12月12日,五層,一層 平台 騎樓 停車場,持分移轉
RPQPMLPKIINFFBF08CA,32,4.37,共有部分,鋼筋混凝土造,75年12月12日,五層,,持分移轉
RPPOMLQLIINFFDF48EA,21,.07,商業用,鋼筋混凝土造,86年5月2日,二十層,地下一層,持分移轉
RPPOMLQLIINFFDF48EA,21,35.75,停車空間、防空避難室兼停車空間,鋼筋混凝土造,86年5月2日,二十層,,持分移轉
RPPOMLQLIINFFDF48EA,21,.01,電樓梯間、台電受電室、儲藏室、電錶箱、蓄水池、社區中心、電信機房、自動變電站、消防泵浦室、鼓風機、屋頂突出物,鋼筋混凝土造,86年5月2日,二十層,,持分移轉
RPTQMLLKIINFFDF28CA,38,63.65,住家用,鋼筋混凝土造,69年6月27日,四層,三層 陽臺,全筆移轉
SPWNMLTLIINFFEF76CA,,68.28,本共有部分之項目有：梯廳、排煙室、樓電梯間、騎樓、管委會使用空間、人行通廊、頂蓋式通廊、走道、防災中心、游泳池機房、陽台、男女更衣室、ＳＰＡ池區、機械室、消防中繼機械房、樓梯間、水箱、中繼消防水箱、泵浦區、台電配電室、受電箱通道、電錶區、昇降機坑、緊急發電機室、垃圾儲藏室、儲油室、停車空間、台電通道、汙排水轉、消防中繼機房、電錶室、變電室、電信室、機房、泳池專用水箱、游泳池揚水泵浦機房、排風機房、消防中繼水箱、防空避難室兼停車空間、雨水過濾機房、消防幫浦室等４１項,鋼筋混凝土造,107年5月25日,二十九層,,持分移轉
SPWNMLTLIINFFEF76CA,,75.09,住家用,鋼筋混凝土造,107年5月25日,二十四層,二十四層 陽臺 雨遮 見其他登記事項,全筆移轉
RPWNMLTLIINFFEF66CA,,61.74,住家用,鋼筋混凝土造,107年5月25日,二十四層,二十四層 陽臺 雨遮,全筆移轉
RPWNMLTLIINFFEF66CA,,61.56,本共有部分之項目有：梯廳、排煙室、樓電梯間、騎樓、管委會使用空間、人行通廊、頂蓋式通廊、走道、防災中心、游泳池機房、陽台、男女更衣室、ＳＰＡ池區、機械室、消防中繼機械房、樓梯間、水箱、中繼消防水箱、泵浦區、台電配電室、受電箱通道、電錶區、昇降機坑、緊急發電機室、垃圾儲藏室、儲油室、停車空間、台電通道、汙排水轉、消防中繼機房、電錶室、變電室、電信室、機房、泳池專用水箱、游泳池揚水泵浦機房、排風機房、消防中繼水箱、防空避難室兼停車空間、雨水過濾機房、消防幫浦室等４１項,鋼筋混凝土造,107年5月25日,二十九層,,持分移轉
RPUPMLMLIINFFBF28CA,1,74.93,集合住宅,鋼筋混凝土造,106年10月27日,十二層,六層 陽臺 雨遮,全筆移轉
RPUPMLMLIINFFBF28CA,1,51.20,本共有部分之項目有，騎樓，供管委會使用空間，梯廳，停車空間，殘障車位，汽車升降機，資源回收室，梯間，發電機室，台電配電場所，電信機房，水箱，消防機房，機械室，等１４項。,鋼筋混凝土造,106年10月27日,十二層,,持分移轉
RPUPMLMLIINFFBF28CA,1,16.90,本共有部分之項目有，梯廳，梯間，消防水箱，機械室，水箱，等５項。,鋼筋混凝土造,106年10月27日,十二層,,持分移轉
RPVPMLMKJINFFEF88EA,13,35.79,住家用,鋼筋混凝土造,94年7月14日,二十一層,十八層 雨遮,全筆移轉
RPVPMLMKJINFFEF88EA,13,13.31,共有部分,鋼筋混凝土造,94年7月14日,二十一層,,持分移轉
RPPSMLMLIINFFBF08CA,,57.91,集合住宅,鋼筋混凝土造,107年4月10日,十四層,十二層 陽臺 雨遮,全筆移轉
RPPSMLMLIINFFBF08CA,,17.74,本共有部分之項目有梯廳、公共服務空間、管委會使用空間、安全梯、戶外安全梯、排煙室兼梯廳、樓梯間、排煙室、機房、水箱、陽台等１１項,鋼筋混凝土造,107年4月10日,十四層,,持分移轉
RPPSMLMLIINFFBF08CA,,43.99,本共有部分之項目有停車空間、排煙室、電信機房、垃圾存放室、台電配電場所、垃圾暫停車位、發電機室、消防幫浦室、消防水池、水箱等１０項,鋼筋混凝土造,107年4月10日,十四層,,持分移轉
RPQNMLOKIINFFGF38DA,10,84.11,住家用,鋼骨鋼筋混凝土造,97年6月27日,三十六層,三十層 陽臺 雨遮,全筆移轉
RPQNMLOKIINFFGF38DA,10,47.81,共有部分,鋼骨鋼筋混凝土造,97年6月27日,三十七層,,持分移轉
RPQNMLOKIINFFGF38DA,10,23.92,共有部分,鋼骨鋼筋混凝土造,97年6月27日,三十六層,,持分移轉
RPWQMLLKIINFFAF28CA,37,82.25,住家用,鋼筋混凝土造,70年10月15日,五層,三層 陽臺,全筆移轉
RPQTMLPKIINFFBF48CA,3,156.61,集合住宅,鋼筋混凝土造,104年11月16日,十五層,十二層 陽臺 雨遮,全筆移轉
RPQTMLPKIINFFBF48CA,3,83.57,本共有部分項目有自行車停放空間、管委會空間、門廳、門廊、梯間、防空避難室兼停車空間、電信機房、電錶室、垃圾貯存空間、台電配電場所、停車空間、機房、發電機房、消防機房、水箱、梯廳、電梯機房、蓄水池、消防水箱等１９項。,鋼筋混凝土造,104年11月16日,十五層,,持分移轉
RPQTMLPKIINFFBF48CA,3,33.14,本共有部分項目有梯間、雨遮等２項。,鋼筋混凝土造,104年11月16日,十五層,,持分移轉
RPQNMLQKIINFFDF38EA,24,74.62,住家用,鋼筋混凝土造,84年1月26日,二十四層,三層 陽臺 露台,全筆移轉
RPQNMLQKIINFFDF38EA,24,2.82,共有部分,鋼筋混凝土造,84年1月26日,二十六層,,持分移轉
RPQNMLQKIINFFDF38EA,24,4.69,共有部分,鋼筋混凝土造,84年1月26日,二十六層,,持分移轉
RPSNMLPKIINFFIF98EA,12,33.60,住家用,鋼筋混凝土造,95年11月17日,十九層,七層 陽臺,全筆移轉
RPSNMLPKIINFFIF98EA,12,11.10,共有部分,鋼筋混凝土造,95年11月17日,十九層,,持分移轉
RPSNMLPKIINFFIF98EA,12,.12,共有部分,鋼筋混凝土造,95年11月17日,二十一層,,持分移轉
RPSNMLPKIINFFIF98EA,12,4.23,共有部分,鋼筋混凝土造,95年11月17日,二十一層,,持分移轉
RPSNMLPKIINFFIF98EA,12,2.14,共有部分,鋼筋混凝土造,95年11月17日,二十一層,,持分移轉
RPPNMLMKJINFFEF08EA,22,83.25,住家用,鋼筋混凝土造,85年11月28日,七層,三層 陽臺,全筆移轉
RPPNMLMKJINFFEF08EA,22,15.32,共有部分,鋼筋混凝土造,85年11月28日,七層,,持分移轉
RPTNMLSKIINFFEF78CA,11,.17,住家用,鋼筋混凝土造,97年2月21日,四層,一層,持分移轉
RPTNMLSKIINFFEF78CA,11,31.33,共有部分,鋼筋混凝土造,97年2月21日,四層,,持分移轉
RPTNMLSKIINFFEF78CA,11,3.07,共有部分,鋼筋混凝土造,97年2月14日,四層,,持分移轉
RPTNMLSKIINFFEF78CA,11,.03,一般事務所,鋼筋混凝土造,97年2月14日,四層,地下一層,持分移轉
SPQOMLPLIINFFGF88EA,26,11.24,共有部分,鋼筋混凝土造,81年5月21日,十層,,持分移轉
SPQOMLPLIINFFGF88EA,26,1.88,共有部分,鋼筋混凝土造,81年5月21日,十層,,持分移轉
RPTOMLQKIINFFHF09DA,24,49.91,防空避難室、停車場,鋼筋混凝土造,83年7月22日,七層,地下層,持分移轉
SPQOMLPLIINFFGF88EA,26,42.74,工商用,鋼筋混凝土造,81年5月21日,十層,十層 陽臺,持分移轉
