編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLPKPHOFFAB08DA,,34.34,住家用,見其他登記事項,,二層,一層 二層,持分移轉
RPXNMLOLPHOFFFB76DA,,202.17,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPVQMLNLPHOFFBB88CA,36,67.37,住家用,鋼筋混凝土造,72年8月17日,五層,四層 陽台,全筆移轉
RPPSMLSKPHOFFCB98CA,7,115.81,辦公室〈第１２組〉、機械室,鋼骨鋼筋混凝土造,101年12月19日,二十九層,七層 陽台 雨遮,全筆移轉
RPPSMLSKPHOFFCB98CA,7,102.79,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、停車空間、電信室、台電配電室、雨水回收池、門廳、排煙室、機械室、水箱、污水機械室、消防機械室、梯廳、緊急發電機室、垃圾處理場、台電配電室專用管道間、梯間、管道間、車道、防災中心、機車停車空間、台電受電箱機房、中繼水箱、管委會使用、電梯機房、管委會、門廊、男廁、女廁、頂蓋型開放空間、造型牆等３０項。,鋼骨鋼筋混凝土造,101年12月19日,二十九層,,持分移轉
RPVQMLNLPHOFFBB88CA,36,9.45,共有部份,鋼筋混凝土造,72年8月17日,五層,,持分移轉
RPVQMLNLPHOFFBB88CA,36,3.67,共有部份,鋼筋混凝土造,72年8月17日,五層,,持分移轉
RPPOMLLLPHOFFBB87CA,25,24.80,住家用,鋼筋混凝土造,83年2月7日,十八層,十六層 陽台,全筆移轉
RPPOMLLLPHOFFBB87CA,25,10.95,共有部份,鋼筋混凝土造,83年2月7日,十八層,,持分移轉
RPTPMLQKPHOFFAB68CA,24,18.98,住家用,鋼筋混凝土造,84年1月13日,十九層,十一層 陽台,全筆移轉
RPTPMLQKPHOFFAB68CA,24,7.19,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPTPMLQKPHOFFAB68CA,24,2.93,共有部份,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPXPMLQKPHOFFAB09CA,23,13.81,防空避難室兼停車空間、停車空間,鋼筋混凝土造,85年12月11日,二十四層,地下二層 地下三層,持分移轉
RPXPMLQKPHOFFAB09CA,23,1.52,共同使用　,鋼筋混凝土造,85年12月11日,二十四層,,持分移轉
RPOOMLOLPHOFFFB58DA,,199.36,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPPOMLOLPHOFFFB68DA,,199.36,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPWNMLRJQHOFFCB56DA,37,87.46,住家用,鋼筋混凝土造,71年10月29日,五層,一層,全筆移轉
RPWNMLRJQHOFFCB56DA,37,8.65,避難室,鋼筋混凝土造,71年10月29日,五層,,持分移轉
RPSOMLOLPHOFFFB98DA,,181.77,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPTOMLTKPHOFFAB88CA,41,39.51,住家用,鋼筋混凝土造,67年3月6日,十二層,七層,全筆移轉
RPQQMLNLPHOFFAB28CA,24,18.60,住家用,鋼筋混凝土造,84年1月13日,十九層,十七層,全筆移轉
RPQQMLNLPHOFFAB28CA,24,3.91,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPQQMLNLPHOFFAB28CA,24,.29,商業用,鋼筋混凝土造,84年1月13日,十九層,地下一層,持分移轉
RPQQMLNLPHOFFAB28CA,24,4.03,共有部份,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPTOMLOLPHOFFFB09DA,,181.77,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPRPMLOLPHOFFFB98DA,,181.77,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPQNMLPLPHOFFFB78DA,,181.77,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPUNMLPLPHOFFFB56DA,,227.33,人行道、住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPXNMLKMPHOFFBB58CA,25,61.07,住家用,鋼筋混凝土造,83年5月30日,七層,二層 陽台 花台,全筆移轉
RPXNMLKMPHOFFBB58CA,25,23.09,共有部份,鋼筋混凝土造,83年5月30日,七層,,持分移轉
RPQPMLOLPHOFFFB88DA,,181.77,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPXQMLRKPHOFFCB86CA,10,71.61,住家用,鋼筋混凝土造,98年1月21日,十層,九層 陽台 雨遮,全筆移轉
RPXQMLRKPHOFFCB86CA,10,56.17,共用,鋼筋混凝土造,98年1月21日,十層,,持分移轉
RPXOMLSKPHOFFIB37CA,36,4.69,商業用,鋼筋混凝土造,72年7月12日,五層,一層,全筆移轉
RPXOMLSKPHOFFIB37CA,36,6.87,共有部份,鋼筋混凝土造,72年7月12日,五層,,持分移轉
RPXOMLSKPHOFFIB37CA,36,.94,共有部份,鋼筋混凝土造,72年7月12日,五層,,持分移轉
RPPNMLTKPHOFFAB38CA,42,25.25,住家用,鋼筋混凝土造,66年12月28日,十一層,十一層,全筆移轉
RPPPMLOLPHOFFFB78DA,,199.36,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPTNMLPLPHOFFFB09DA,,184.59,住宅、停車空間,鋼筋混凝土造,108年4月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPWOMLSKPHOFFCB66CA,28,17.82,住家用,鋼筋混凝土造,80年5月24日,六層,五層 陽台 花台,全筆移轉
RPWOMLSKPHOFFCB66CA,28,7.68,共有部份,鋼筋混凝土造,80年5月24日,六層,,持分移轉
RPOOMLTKPHOFFIB56CA,2,30.05,本共有部分之項目有：防空避難室兼停車空間、水箱、消防機房、車道、污水池與滯洪池共用機房、機械室排氣機機房、昇降機間、樓梯間、梯廳、台電配電室、發電機室、電信機房、電錶室、機車停車間、管委會空間、門廳、梯間、機房等１８項,鋼筋混凝土造,106年12月25日,七層,,持分移轉
