編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPPMLMKQHPFFEA48DA,38,2.36,農舍,加強磚造,71年8月4日,二層,二層 陽臺,持分移轉
RPTNMLPJQHPFFBA58DA,11,25.43,住家用,鋼筋混凝土造,98年12月16日,十四層,六層 陽臺 雨遮,全筆移轉
RPTNMLPJQHPFFBA58DA,11,12.47,本共有部分之項目有，機車停車區、機車升降機、梯廳、排煙室、門廳、管理維護使用空間、樓梯、行動不便電梯、緊急昇降電梯、騎樓、陽台、雨遮、管道間、管理員室、機電設備、機械室、水箱、消防水箱、發電機室、台電配電室、受電箱、電信室、停車場排氣管道、防空避難室兼停車空間、蓄水池、消防泵浦室，等２６項,鋼筋混凝土造,98年12月16日,十四層,,持分移轉
RPRNMLRJQHPFFEA88DA,16,31.17,住家用,鋼筋混凝土造,93年3月12日,十一層,六層 陽臺 雨遮,全筆移轉
RPRNMLRJQHPFFEA88DA,16,31.17,住家用,鋼筋混凝土造,93年3月12日,十一層,六層 陽臺 雨遮,全筆移轉
RPRNMLRJQHPFFEA88DA,16,13.74,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPRNMLRJQHPFFEA88DA,16,13.74,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPUNMLLKQHPFFEA68DA,36,33.20,住家用,鋼筋混凝土造,73年12月21日,七層,五層 陽臺,全筆移轉
RPRNMLRJQHPFFEA88DA,16,.21,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPUNMLLKQHPFFEA68DA,36,9.74,共有部分,鋼筋混凝土造,73年12月21日,七層,,持分移轉
RPQNMLRJQHPFFEA78DA,16,65.90,住家用,鋼筋混凝土造,93年3月12日,十一層,六層 陽臺 雨遮,全筆移轉
RPRNMLRJQHPFFEA88DA,16,5.49,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPQNMLRJQHPFFEA78DA,16,29.05,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPRNMLRJQHPFFEA88DA,16,6.71,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPQNMLRJQHPFFEA78DA,16,.45,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPRNMLRJQHPFFEA88DA,16,.18,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPQNMLRJQHPFFEA78DA,16,3.66,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPRNMLRJQHPFFEA88DA,16,3.46,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPQNMLRJQHPFFEA78DA,16,18.13,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPRNMLRJQHPFFEA88DA,16,10.82,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPQNMLRJQHPFFEA78DA,16,10.89,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPRNMLRJQHPFFEA88DA,16,10.82,共有部分,鋼筋混凝土造,93年3月12日,十一層,,持分移轉
RPPOMLLKQHPFFAA97EA,24,13.67,見使用執照,鋼筋混凝土造,85年9月25日,十七層,,持分移轉
RPWNMLTJRHPFFDA07EA,16,37.28,停車空間,鋼骨鋼筋混凝土造；鋼骨造,93年12月16日,十七層,地下三層,持分移轉
RPWNMLTJRHPFFDA07EA,16,.11,共有部分,鋼骨鋼筋混凝土造；鋼骨造,93年12月16日,十七層,,持分移轉
RPWNMLTJRHPFFDA07EA,16,.09,共有部分,鋼骨鋼筋混凝土造；鋼骨造,93年12月16日,十七層,,持分移轉
RPWNMLTJRHPFFDA07EA,16,.13,共有部分,鋼骨鋼筋混凝土造；鋼骨造,93年12月16日,十七層,,持分移轉
RPWNMLTJRHPFFDA07EA,16,1.23,共有部分,鋼骨鋼筋混凝土造；鋼骨造,93年12月16日,十七層,,持分移轉
RPWNMLTJRHPFFDA07EA,16,.17,共有部分,鋼骨鋼筋混凝土造；鋼骨造,93年12月16日,十七層,,持分移轉
RPWNMLTJRHPFFDA07EA,16,3.68,共有部分,鋼骨鋼筋混凝土造；鋼骨造,93年12月16日,十七層,,持分移轉
RPUPMLLKQHPFFEA88DA,,32.62,住家用,鋼筋混凝土造,109年4月27日,八層,四層 陽臺 雨遮,全筆移轉
RPUPMLLKQHPFFEA88DA,,20.20,本共有部分之項目有大廳（梯廳）、管委會空間、汽車昇降機道、梯廳、機械室、水箱、台電配電場所、發電機房、機房（供電信使用）、機房、防空避難室兼停車空間、消防機房、倉儲式停車空間、梯間、服務專用樓梯、無障礙電梯、Ａ２梯（無障礙）、Ａ３梯（無障礙）、Ａ１梯、Ａ４梯、客貨兩用梯昇降機道、消防專用屋頂水箱等２２項。,鋼筋混凝土造,109年4月27日,八層,,持分移轉
RPVPMLLKQHPFFEA98DA,,32.62,住家用,鋼筋混凝土造,109年4月27日,八層,五層 陽臺 雨遮,全筆移轉
RPVPMLLKQHPFFEA98DA,,39.69,本共有部分之項目有大廳（梯廳）、管委會空間、汽車昇降機道、梯廳、機械室、水箱、台電配電場所、發電機房、機房（供電信使用）、機房、防空避難室兼停車空間、消防機房、倉儲式停車空間、梯間、服務專用樓梯、無障礙電梯、Ａ２梯（無障礙）、Ａ３梯（無障礙）、Ａ１梯、Ａ４梯、客貨兩用梯昇降機道、消防專用屋頂水箱等２２項。,鋼筋混凝土造,109年4月27日,八層,,持分移轉
RPOQMLLKQHPFFEA38DA,,37.84,住家用,鋼筋混凝土造,109年4月27日,八層,七層 陽臺 雨遮,全筆移轉
