鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
觀音區,土地,忠孝段429地號,2507.85,,一般農業區,農牧用地,1090903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18960000,7560,,0.0,0,,RPQNMLOJRHPFFBH98DA,0.0,0.0,0.0,無,
觀音區,土地,樹新段704地號,340.0,,一般農業區,農牧用地,1090901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,860000,2529,,0.0,0,,RPSRMLOJRHPFFBH07EA,0.0,0.0,0.0,無,
蘆竹區,房地(土地+建物),福祿一街２１６之１號三樓,19.45,住,,,1090901,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950602,86.08,2,1,1,有,有,2800000,32528,,0.0,0,,RPTNMLSJRHPFFEH47EA,60.08,1.02,2.96,有,
中壢區,土地,崇德段244地號,1.66,,鄉村區,特定目的事業用地,1090901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19000,11446,,0.0,0,,RPTTMLOJRHPFFBH27DA,0.0,0.0,0.0,無,
楊梅區,房地(土地+建物),永平路２１０巷２號五樓,14.11,住,,,1090926,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830316,81.53,3,2,1,有,有,2600000,31890,,0.0,0,,RPRNMLKKRHPFFDH98DA,56.23,0.0,7.13,有,
楊梅區,土地,永楊段822-12地號,171.91,都市：其他:,山坡地保育區,農牧用地,1090901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,519366,3021,,0.0,0,畸零地或有合併使用效益；,RPWOMLRJRHPFFDH57DA,0.0,0.0,0.0,無,
蘆竹區,土地,新鼻段235地號,4927.35,商,,,1090902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,798890000,162134,,0.0,0,政府機關標讓售；,RPWOMLSJRHPFFEH87EA,0.0,0.0,0.0,無,
龍潭區,房地(土地+建物)+車位,聖亭路２２２之１１號,34.33,,鄉村區,乙種建築用地,1090805,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030207,149.09,3,1,2,有,有,6050000,40580,坡道平面,0.0,0,僅車位交易；,RPPNMLRJQHPFFCH56DA,86.23,0.0,0.0,有,
龍潭區,房地(土地+建物),渴望二路９９巷２３９弄２之１號,187.26,,鄉村區,乙種建築用地,1090803,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080522,291.77,4,3,6,有,無,15500000,53124,,0.0,0,,RPRNMLRJQHPFFCH76DA,255.08,9.88,26.81,有,
平鎮區,房地(土地+建物),南平路１２１巷５４弄２６號,52.24,住,,,1090801,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671018,90.7,2,4,3,有,無,4200000,46307,,0.0,0,,RPXOMLKKQHPFFGH37EA,90.7,0.0,0.0,無,
中壢區,房地(土地+建物),中明東路９之２６７號,4.94,商,,,1090803,土地1建物1車位0,二層,四層,其他,商業用,鋼筋混凝土造,0660915,12.1,0,0,0,無,無,825000,68182,,0.0,0,建物為早期商場攤位,RPTOMLLMPHPFFBH56DA,12.1,0.0,0.0,無,
桃園區,土地,延壽段196-3地號,19.31,,,,1090801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,880000,45572,,0.0,0,,RPPNMLNJQHPFFAH58DA,0.0,0.0,0.0,無,
新屋區,土地,啟文段1258-4地號,119.53,,特定農業區,甲種建築用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,16732,,0.0,0,,RPOQMLQJQHPFFDH76DA,0.0,0.0,0.0,無,
楊梅區,房地(土地+建物),富民街１４３巷２５０弄３０號四樓,9.92,,特定農業區,甲種建築用地,1090801,土地1建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940223,25.340000000000003,1,0,1,有,有,750000,29597,,0.0,0,,RPPNMLKKQHPFFDH68DA,18.96,1.14,0.0,有,
平鎮區,房地(土地+建物)+車位,坤慶二街５２巷３５號,112.33,住,,,1090803,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1071130,373.68,5,2,5,有,有,20700000,55395,坡道平面,0.0,0,,RPQNMLTJQHPFFGH27DA,249.2,0.0,15.24,有,
龜山區,房地(土地+建物)+車位,長慶二街１０９號十二樓,18.3,住,,,1090802,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090424,148.87,3,2,2,有,有,9400000,64970,坡道平面,35.74,2050000,,RPWOMLNJQHPFFHH47DA,67.63,0.0,9.13,有,
平鎮區,房地(土地+建物),中豐路１１０號六樓之６,2.78,商,,,1090802,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0860614,29.590000000000003,1,1,1,有,有,1400000,47313,,0.0,0,,RPQOMLNJQHPFFGH76DA,19.99,0.0,3.43,有,
平鎮區,土地,鎮安段1192地號,119.68,,特定農業區,甲種建築用地,1090801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,29245,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLNJQHPFFGH56DA,0.0,0.0,0.0,無,
平鎮區,房地(土地+建物)+車位,坤慶二街５２巷１７號,97.24,住,,,1090803,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1071130,331.39,5,2,6,有,有,17680000,53351,坡道平面,0.0,0,,RPPNMLTJQHPFFGH17DA,215.15,0.0,16.2,無,
大園區,土地,埔心段海豐坡小段1101-5地號,16.0,,,,1090804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,20000,,0.0,0,,RPXQMLLKQHPFFEH47EA,0.0,0.0,0.0,無,
中壢區,土地,月眉段1579地號,2000.0,,特定農業區,農牧用地,1090804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,7500,,0.0,0,,RPWQMLLKQHPFFBH96DA,0.0,0.0,0.0,無,
新屋區,土地,清華段1207地號,411.88,,特定農業區,甲種建築用地,1090803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10591000,25714,,0.0,0,,RPPNMLLKQHPFFDH78DA,0.0,0.0,0.0,無,
楊梅區,土地,白鶴段242地號,70.84,,,,1090805,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,428600,6050,,0.0,0,,RPPQMLQJQHPFFDH86DA,0.0,0.0,0.0,無,
中壢區,土地,興南段公坡小段239-9地號,23.65,,,,1090805,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1150000,48626,,0.0,0,,RPTNMLMKQHPFFBH09DA,0.0,0.0,0.0,無,
中壢區,土地,月眉段1581地號,2010.0,,特定農業區,農牧用地,1090804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,7463,,0.0,0,,RPVQMLLKQHPFFBH86DA,0.0,0.0,0.0,無,
觀音區,房地(土地+建物),莊敬路３６５號,64.96,住,,,1090803,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1081108,180.19,4,3,3,有,無,13800000,76586,,0.0,0,,RPPSMLLKQHPFFBH09DA,156.7,0.0,23.49,無,
觀音區,房地(土地+建物),富源二路３５１巷１８號,82.66,,特定農業區,甲種建築用地,1090805,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090331,184.29000000000002,4,2,4,有,無,9650000,52363,,0.0,0,,RPVSMLLKQHPFFBH07DA,175.4,0.0,8.59,無,
龍潭區,土地,潛龍段578-18地號,51.7,,鄉村區,乙種建築用地,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,485920,9399,,0.0,0,,RPRNMLNKQHPFFCH56EA,0.0,0.0,0.0,無,
新屋區,土地,青田段500地號,59.9,,特定農業區,甲種建築用地,1090808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,4174,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLMKQHPFFDH76EA,0.0,0.0,0.0,無,
楊梅區,房地(土地+建物),民有路二段５０３號,115.17,,特定農業區,甲種建築用地,1090804,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080628,215.56,4,2,5,有,無,10200000,47319,,0.0,0,,RPQNMLNKQHPFFDH56EA,199.56,5.2,10.8,無,
平鎮區,土地,金獅段1244地號,235.25,,特定農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3913800,16637,,0.0,0,,RPTNMLMKQHPFFGH07EA,0.0,0.0,0.0,無,
大園區,土地,橫山段橫山小段241地號,319.2,,特定農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6367400,19948,,0.0,0,,RPWTMLMKQHPFFEH77EA,0.0,0.0,0.0,無,
大園區,房地(土地+建物)+車位,潮音北路１０３巷８０弄１６號三樓,29.44,,鄉村區,乙種建築用地,1090803,土地1建物1車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850213,77.37,2,2,1,有,無,2500000,32312,一樓平面,0.0,0,,RPVSMLLKQHPFFEH37DA,62.88,0.0,7.4,無,
龜山區,土地,山福段341地號,15.7,都市：其他:道路用地,,,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,310000,19745,,0.0,0,,RPVNMLKKQHPFFHH07DA,0.0,0.0,0.0,無,
蘆竹區,車位,吉林路７１號等,0.47,住,,,1090804,土地1建物1車位1,一層,九層,其他,見其他登記事項,鋼筋混凝土造,0931028,33.13,0,0,0,有,有,780000,,坡道平面,0.0,780000,僅車位交易；,RPSONLMKQHPFFEH86DA,0.0,0.0,0.0,有,
平鎮區,土地,復旦段186地號,22.98,都市：其他:道路用地,,,1090805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,13925,,0.0,0,包含公共設施保留地用地；,RPUNMLMKQHPFFGH17EA,0.0,0.0,0.0,無,
平鎮區,房地(土地+建物),關爺北路３０號三樓,19.34,,鄉村區,乙種建築用地,1090829,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701218,69.6,2,1,1,有,無,2100000,30172,,0.0,0,,RPTNMLOKQHPFFGH27EA,69.6,0.0,0.0,無,
