鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
汐止區,房地(土地+建物),康寧街６１巷３６號３樓,30.62,住,,,1091201,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790402,128.75,3,2,2,有,無,12680000,98485,,0.0,0,,RPVPMLOJKIPFFDF09DA,108.8,0.0,11.44,無,
五股區,土地,更寮段褒子寮小段29-1地號,0.34,,一般農業區,農牧用地,1091203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12400,0,,0.0,0,,RPSPMLSJKIPFFBF09EA,0.0,0.0,0.0,無,
新店區,車位,安德街６號等,3.87,住,,,1091207,土地1建物1車位1,,,其他,,,,29.77,0,0,0,有,有,1900000,,坡道平面,29.77,1900000,僅車位交易；,RPXOMLTJKIPFFCF07EA,0.0,0.0,0.0,有,
三峽區,房地(土地+建物)+車位,大學路１４０號三樓,60.94,住,,,1091201,土地1建物1車位2,三層，四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990608,318.56,4,3,3,有,有,26200000,82245,坡道平面,81.72,0,夾層；,RPSOMLSJKIPFFIF07EA,139.74,12.12,12.77,有,
新店區,土地,竹林段1036地號,165.58,都市：其他:保護區,,,1091201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1502700,9075,,0.0,0,,RPUNMLSJKIPFFCF56EA,0.0,0.0,0.0,無,
三重區,土地,五谷王段300地號,399.31,住,,,1091208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,102672203,257124,,0.0,0,,RPRNMLSJKIPFFGF66EA,0.0,0.0,0.0,無,
汐止區,車位,福德一路２０１巷１４至４６號（雙號無４４號）、福德一路２１３巷２１至３５號（單號）建築物之地下一、二層,1.41,住,,,1091201,土地1建物1車位1,地下一層，地下二層,十四層,其他,見其他登記事項,鋼筋混凝土造,0830204,14.99,0,0,0,有,有,1400000,,坡道平面,14.99,1400000,僅車位交易；,RPOPMLSJKIPFFDF88EA,0.0,0.0,0.0,有,
新店區,車位,安德街６號等,3.87,住,,,1091204,土地1建物1車位1,,,其他,,,,29.77,0,0,0,有,有,1900000,,坡道平面,29.77,1900000,僅車位交易；,RPWOMLTJKIPFFCF96EA,0.0,0.0,0.0,有,
新莊區,房地(土地+建物),思源路２５９號,17.73,住,,,1091103,土地1建物1車位0,一層，平台，騎樓，停車場,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690802,80.92,0,0,0,無,無,4200000,51903,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPURMLQJJIPFFBF09DA,80.92,0.0,0.0,無,
鶯歌區,建物,中正二路１０７、１０９號,0.0,,,,1091104,土地0建物1車位0,全,一層,透天厝,工業用,磚造,,249.0,5,3,3,有,無,7500000,30120,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOPMLPJJIPFFIF88DA,249.0,0.0,0.0,無,
三重區,房地(土地+建物),溪尾街２２７巷１弄７號,29.0,住,,,1091102,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0570318,48.16,2,1,1,有,無,6000000,124585,,0.0,0,,RPOOMLQJJIPFFGF78EA,43.86,2.15,2.15,無,
