編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLSJJIGGFCH68EA,17,166.52,停車空間，住宅，樓梯間,鋼筋混凝土造,93年10月7日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
RPXRMLSJJIGGFBH98DA,,67.06,集合住宅,鋼筋混凝土造,110年8月10日,十二層,二層 陽台,全筆移轉
RPXRMLSJJIGGFBH98DA,,64.75,本共有部分之項目有：停車空間、消防幫浦室、汙水機房、蓄水池、梯間、防空避難室兼停車空間、發電機室、台電配電場所、電信室、管委會使用空間、車道、機房、水箱及梯廳等十四項。,鋼筋混凝土造,110年8月10日,十二層,,持分移轉
RPVPMLQJKIGGFAH48EA,40,4.07,避難室,鋼筋混凝土造,70年7月14日,五層,,持分移轉
RPVPMLQJKIGGFAH48EA,40,53.82,住商用,鋼筋混凝土造,70年7月14日,五層,一層 騎樓,持分移轉
RPRNMLKKJIGGFAH17DA,12,3.93,附屬管委會使用空間,鋼筋混凝土造,98年12月20日,四層,一層 二層 三層 四層,持分移轉
RPRNMLKKJIGGFAH17DA,12,274.45,集合住宅、附屬（停車空間，機電設備空間，樓梯間，水箱）。,鋼筋混凝土造,98年12月20日,四層,一層 二層 三層 四層 陽台 雨遮 地下一層 見其他登記事項,全筆移轉
RPRNMLKKJIGGFAH17DA,12,.22,本共有部分之項目有（附屬停車空間，附屬機電設備空間）等２項。,鋼筋混凝土造,98年12月20日,四層,,持分移轉
RPRNMLKKJIGGFAH17DA,12,15.63,本共有部分之項目有（附屬停車空間，附屬機電設備空間）等２項。,鋼筋混凝土造,98年12月20日,四層,,持分移轉
RPRNMLLKJIGGFDH57DA,25,48.90,住家用,鋼筋混凝土造,85年6月10日,十一層,四層 陽台,全筆移轉
RPRNMLLKJIGGFDH57DA,25,1.54,防空避難室兼停車場,鋼筋混凝土造,85年6月10日,十一層,,持分移轉
RPRNMLLKJIGGFDH57DA,25,7.49,樓梯、機房、水箱,鋼筋混凝土造,85年6月10日,十一層,,持分移轉
RPSVMLTJJIGGFBH98DA,30,43.67,商業用,鋼筋混凝土造,81年3月3日,六層,一層 平台 花台,全筆移轉
RPSVMLTJJIGGFBH98DA,30,10.73,共有部份,鋼筋混凝土造,81年3月3日,六層,,持分移轉
RPPTMLKKJIGGFBH67DA,6,51.51,工業社區社區住宅,鋼筋混凝土造,105年4月28日,五層,四層 陽台 雨遮,全筆移轉
RPPTMLKKJIGGFBH67DA,6,16.64,本共有部分之項目有：停車空間、電梯間、樓梯間、水箱、梯廳、梯間、屋簷等共七項。,鋼筋混凝土造,105年4月28日,五層,,持分移轉
RPQNMLMKJIGGFBH47EA,27,19.36,住家用,鋼筋混凝土造,83年11月10日,六層,四層 陽台,全筆移轉
RPQNMLMKJIGGFBH47EA,27,5.02,共有部份,鋼筋混凝土造,83年11月10日,六層,,持分移轉
RPQNMLMKJIGGFBH47EA,27,1.53,共有部份,鋼筋混凝土造,83年11月10日,六層,,持分移轉
RPXNMLSLIIGGFEH98DA,6,195.07,住家用,鋼筋混凝土造,104年6月4日,十四層,十四層 陽台,全筆移轉
RPXNMLSLIIGGFEH98DA,6,185.57,共有部份,鋼筋混凝土造,104年6月4日,十四層,,持分移轉
RPPQMLPKJIGGFBH87DA,3,42.85,集合住宅,鋼筋混凝土造,108年3月29日,二十五層,十層 陽台,全筆移轉
RPPQMLPKJIGGFBH87DA,3,3.22,本共有部分之項目有：機電設備空間、排風機房、泵浦機房、雨水機房、梯廳、排煙室、送風機房、前室、走道、台電配電室、防災中心、機房及電梯機房等十三項。,鋼筋混凝土造,108年3月29日,二十五層,,持分移轉
