鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南屯區,房地(土地+建物),臺中市南屯區大墩一街２６１號,105.0,住,,,1110618,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0701230,217.77,0,0,0,無,無,38115000,175024,,0.0,0,本買賣包括地上建物，不另計價。,RPUPMLSKJHHGFCB08DA,201.78,3.89,12.1,無,
東勢區,土地,東勢段中嵙小段151-3地號,332.43,,特定農業區,農牧用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,593000,1784,,0.0,0,,RPWNMLRJLHHGFGB48DA,0.0,0.0,0.0,無,
烏日區,土地,成功嶺段463地號,39.34,住,,,1110301,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,25419,,0.0,0,,RPQNMLSJLHHGFIB18DA,0.0,0.0,0.0,無,
北屯區,土地,平田段216地號,84.0,住,,,1110308,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12778920,152130,,0.0,0,政府機關標讓售；,RPSOMLSJLHHGFBB87EA,0.0,0.0,0.0,無,
大肚區,土地,自強段1572地號,20.1,,鄉村區,乙種建築用地,1110208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1250000,62189,,0.0,0,辦理產權移轉登記、他項權利設定登記、實價登錄等之代書費等由  甲買方、乙賣方  雙方 各半負擔，本案仲介費 6%由買方負擔。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPWNMLKKKHHGFKB18DA,0.0,0.0,0.0,無,00001
大肚區,土地,自強段1572地號,19.63,,鄉村區,乙種建築用地,1110208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1230000,62659,,0.0,0,辦理產權移轉登記、他項權利設定登記、實價登錄等之代書費等由  甲買方、乙賣方  雙方 各半負擔，本案仲介費 6%由買方負擔。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLKKKHHGFKB47DA,0.0,0.0,0.0,無,00001
大肚區,土地,自強段1572地號,20.1,,鄉村區,乙種建築用地,1110208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1250000,62189,,0.0,0,辦理產權移轉登記、他項權利設定登記、實價登錄等之代書費等由  甲買方、乙賣方  雙方 各半負擔，本案仲介費 6%由買方負擔。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTNMLKKKHHGFKB87DA,0.0,0.0,0.0,無,00001
龍井區,土地,龍田段1109-8地號,75.83,都市：其他:第四種住宅區,,,1110207,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,451000,5948,,0.0,0,包含公共設施保留地用地；,RPXNMLTJKHHGFKB09DA,0.0,0.0,0.0,無,
大肚區,土地,自強段1572地號,150.95,,鄉村區,乙種建築用地,1110208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9250000,61279,,0.0,0,辦理產權移轉登記、他項權利設定登記、實價登錄等之代書費等由  甲買方、乙賣方  雙方 各半負擔，本案仲介費 6%由買方負擔。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLKKKHHGFKB67DA,0.0,0.0,0.0,無,00001
大肚區,土地,自強段1572地號,18.46,,鄉村區,乙種建築用地,1110207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1150000,62297,,0.0,0,辦理產權移轉登記、他項權利設定登記、實價登錄等之代書費等由  甲買方、乙賣方  雙方 各半負擔，本案仲介費 6%由買方負擔。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLKKKHHGFKB77DA,0.0,0.0,0.0,無,00001
大肚區,土地,自強段1572地號,18.46,,鄉村區,乙種建築用地,1110208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1150000,62297,,0.0,0,辦理產權移轉登記、他項權利設定登記、實價登錄等之代書費等由  甲買方、乙賣方  雙方 各半負擔，本案仲介費 6%由買方負擔。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLKKKHHGFKB97DA,0.0,0.0,0.0,無,00001
北區,房地(土地+建物)+車位,臺中市北區育樂街３９號八樓之２,12.38,商,,,1110207,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051220,138.47,2,2,1,有,有,10800000,77995,坡道平面,0.0,0,,RPQSMLSJKHHGFBB87DA,62.37,0.0,3.0,有,
石岡區,土地,新岡尾段51地號,1696.36,農,,,1110207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14200000,8371,,0.0,0,,RPSNMLQKKHHGFGB97DA,0.0,0.0,0.0,無,00007
后里區,土地,七塊厝段23-7地號,56.25,,特定農業區,農牧用地,1110210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,659250,11720,,0.0,0,協議價購；,RPROMLLKKHHGFDB17DA,0.0,0.0,0.0,無,00008
東勢區,土地,石圍墻段石圍墻小段417-4地號,1775.0,,山坡地保育區,農牧用地,1110208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,1859,,0.0,0,,RPPNMLQKKHHGFGB77EA,0.0,0.0,0.0,無,
北區,房地(土地+建物),臺中市北區青島西街７５號７樓之９,5.71,住,,,1110209,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780714,31.5,1,1,1,有,有,2200000,69841,,0.0,0,,RPPPMLQKKHHGFBB37DA,18.95,0.0,1.77,有,
大甲區,房地(土地+建物),臺中市大甲區光明路２６３號六之１樓,9.42,住,,,1110204,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821029,52.05,2,1,1,有,有,2800000,53794,,0.0,0,,RPPNMLPJKHHGFEB27DA,38.61,0.0,0.0,有,
清水區,土地,銀聯段1148-1地號,25.0,住,,,1110209,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2450000,98000,,0.0,0,政府機關標讓售；,RPPOMLQKKHHGFFB77EA,0.0,0.0,0.0,無,
南屯區,車位,臺中市南屯區東興西街１１之５號地下三層１號,2.39,住,,,1110206,土地1建物1車位1,地下三層,十二層,其他,辦公室、停車空間,鋼筋混凝土造,0801206,20.7,0,0,0,有,有,1080000,,坡道平面,0.0,1080000,僅車位交易；,RPTSMLOKKHHGFCB97DA,0.0,0.0,0.0,有,00009
