編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLRJNHJGFEA68EA,桃源段五小段,72.96,都市：其他:第二種住宅區。,15,1,持分移轉,03740000
RPRNMLSJNHJGFBA97EA,城中段二小段,1.34,都市：其他:第四種商業區。,10000,4,持分移轉,06470000
RPWNMLQJNHJGFCA28DA,中山段三小段,2.94,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,143200,298,持分移轉,00150000
RPUNMLTJNHJGFCA48EA,德惠段二小段,15.15,都市：其他:道路用地(公共設施用地)。56/10/5,60,9,持分移轉,08300000
RPUNMLTJNHJGFCA48EA,德惠段二小段,61.80,都市：其他:道路用地(公共設施用地)。56/10/5,60,9,持分移轉,08810000
RPUNMLTJNHJGFCA48EA,德惠段二小段,78.17,都市：其他:道路用地(公共設施用地)。56/10/5,3732,520,持分移轉,08810001
RPUNMLTJNHJGFCA48EA,德惠段二小段,49.65,都市：其他:道路用地(公共設施用地)。56/10/5,60,9,持分移轉,08840000
RPPNMLQJNHJGFBA47DA,直興段一小段,10.02,都市：其他:第四種商業區。,10000,156,持分移轉,03100000
RPTNMLKKNHJGFAA27DA,南海段二小段,1.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,20,1,持分移轉,04620000
RPPNMLNKNHJGFDA47DA,南港段四小段,12.30,都市：其他:第三種住宅區。,80,2,持分移轉,03280002
RPPNMLNKNHJGFDA47DA,南港段四小段,2.25,都市：其他:第三種住宅區。,80,2,持分移轉,03290003
RPPNMLNKNHJGFDA47DA,南港段四小段,4.62,都市：其他:第三種住宅區。,80,2,持分移轉,03290005
RPTNMLKKNHJGFAA27DA,南海段二小段,.20,都市：其他:道路用地(公共設施用地)。60/1/23,20,1,持分移轉,04620001
RPTNMLKKNHJGFAA27DA,南海段二小段,2.65,都市：其他:第三種住宅區。,20,1,持分移轉,04620002
RPVNMLTJNHJGFCA58EA,德惠段二小段,16.83,都市：其他:道路用地(公共設施用地)。56/10/5,60,10,持分移轉,08300000
RPVNMLTJNHJGFCA58EA,德惠段二小段,68.67,都市：其他:道路用地(公共設施用地)。56/10/5,60,10,持分移轉,08810000
RPPNMLNKNHJGFFA67DA,金華段三小段,7.92,都市：其他:道路用地(公共設施用地)。,400,99,持分移轉,00320000
RPVNMLTJNHJGFCA58EA,德惠段二小段,86.74,都市：其他:道路用地(公共設施用地)。56/10/5,3732,577,持分移轉,08810001
RPVNMLTJNHJGFCA58EA,德惠段二小段,55.17,都市：其他:道路用地(公共設施用地)。56/10/5,60,10,持分移轉,08840000
RPPQMLTLJHJGFDA18EA,大豐段三小段,53.00,都市：其他:保護區。,2,1,持分移轉,01830000
RPQNMLNLMHJGFDA67EA,民生段,45.17,都市：其他:住宅用地(民生社區特定專用區)。,12,2,持分移轉,00780005
RPSNMLNKNHJGFCA67DA,吉林段四小段,.31,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,10000,1,持分移轉,09230000
RPPNMLRLMHJGFBA67DA,漢中段一小段,29.00,都市：其他:道路用地(公共設施用地)。45/5/4,1,1,全筆移轉,03420000
RPVNMLKKNHJGFCA67DA,中山段一小段,8.87,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,20000,620,持分移轉,09300000
RPXNMLNKNHJGFCA18DA,長春段二小段,2.17,都市：其他:第三種住宅區。,10000,10,持分移轉,07920000
RPUNMLRLMHJGFDA38DA,西松段三小段,5.23,都市：其他:道路用地(公共設施用地)。62/12/31,120000,3784,持分移轉,02390000
RPQNMLNKNHJGFEA67DA,百齡段四小段,17.83,都市：其他:第三種住宅區。,12,2,持分移轉,03530000
RPPNMLLKNHJGFEA37DA,陽明段一小段,1.16,都市：其他:第三之二種住宅區及第三種住宅區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,10000,5,持分移轉,04050000
RPSNMLTKMHJGFFA48DA,復興段一小段,4.00,都市：其他:道路用地(公共設施用地)。48/3/13,6,1,持分移轉,01550002
RPPNMLRLMHJGFFA08DA,仁愛段四小段,69.31,都市：其他:道路用地(公共設施用地)。48/3/13,2000,415,持分移轉,00870000
RPOOMLSJNHJGFEA97DA,富安段三小段,158.41,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,27,7,持分移轉,02080000
RPOOMLSJNHJGFEA97DA,富安段三小段,552.74,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,27,7,持分移轉,02090000
RPVNMLNKNHJGFAA87EA,萬芳段四小段,3.11,都市：其他:第二種住宅區。,2751840,13104,持分移轉,02250000
RPOOMLSJNHJGFEA97DA,溪洲段三小段,6.00,都市：其他:住宅區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,27,6,持分移轉,02180000
RPVNMLNKNHJGFAA87EA,萬芳段四小段,.57,都市：其他:第二種住宅區。,1375920,6552,持分移轉,02260000
RPOOMLSJNHJGFEA97DA,溪洲段三小段,5.78,都市：其他:住宅區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,27,6,持分移轉,02210000
RPOOMLSJNHJGFEA97DA,富安段三小段,2.49,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,1008000,4976,持分移轉,02210000
