編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLQJNHJGFDC08DA,溪頭段,10.12,都市：其他:住宅區(住三),1920,80,持分移轉,04660000
RPWNMLMJNHJGFDC18DA,新店段四小段,9.71,都市：其他:商業區(商四),10000,78,持分移轉,02800000
RPWNMLMJNHJGFDC18DA,新店段四小段,.12,都市：其他:道路用地,10000,78,持分移轉,02800004
RPWNMLMJNHJGFDC18DA,新店段四小段,.41,都市：其他:道路用地,10000,78,持分移轉,02800008
RPQNMLPKNHJGFDC08EA,海濱段三小段,1.96,都市：其他:商業區(商四),10000,190,持分移轉,01260000
RPQNMLPKNHJGFDC08EA,海濱段三小段,3.36,都市：其他:商業區(商四),10000,190,持分移轉,01270000
RPOOMLRJNHJGFDC97DA,港灣段三小段,407.00,都市：其他:保護區,1,1,全筆移轉,00270020
RPROMLKKNHJGFDC67DA,工建段,48.27,都市：其他:住宅區(住三),300,5,持分移轉,07780000
RPPNMLPKNHJGFDC97EA,麥金段,13.04,都市：其他:住宅區(住二),10000,72,持分移轉,04110000
RPPNMLPKNHJGFDC97EA,麥金段,2.78,都市：其他:道路用地,10000,72,持分移轉,04110001
RPPNMLPKNHJGFDC97EA,麥金段,6.75,都市：其他:住宅區(住二),10000,72,持分移轉,04110002
RPUNMLMKNHJGFDC08DA,成功段,15.80,都市：其他:商業區,5,1,持分移轉,00860000
RPQOMLQKNHJGFDC18DA,新城段,6.34,都市：其他:道路用地,10000,180,持分移轉,08600000
RPQOMLQKNHJGFDC18DA,新城段,28.43,都市：其他:住宅區(住一),10000,180,持分移轉,08610000
RPUNMLQJNHJGFDC38DA,武嶺段,27.25,都市：其他:住宅區(住一),4,1,持分移轉,00590000
RPSNMLLLNHJGFDC87DA,泰安段,31.78,都市：其他:住宅區,10000,191,持分移轉,01850000
RPTNMLQKNHJGFDC48EA,新會段,25.35,都市：其他:住宅區(住一),10000,51,持分移轉,02370000
RPVNMLMLNHJGFDC28DA,武嶺段,14.79,都市：其他:住宅區(住一),10000,25,持分移轉,03930000
RPVNMLMLNHJGFDC28DA,武嶺段,.16,都市：其他:保護區,10000,25,持分移轉,03930001
