編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQLKHJGFDC87DB,代天府段,23.18,都市：住,100000,869,持分移轉,08980000
RPPNMLRJLHJGFDC87DB,代天府段,24.97,都市：住,100000,936,持分移轉,08980000
RPPNMLRJLHJGFDC77CB,湖海段,80.19,都市：住,1000,245,持分移轉,02570000
RPPNMLRJLHJGFDC77CB,湖海段,113.45,都市：住,1000,245,持分移轉,02610000
RPSNMLTLKHJGFDC48DB,明德段,15.43,都市：住,10000,128,持分移轉,03170002
RPPNMLNKLHJGFDC47CB,太平段,2.60,都市：住,1000000,17200,持分移轉,00730000
RPPNMLNKLHJGFDC47CB,太平段,.26,都市：商,1000000,17200,持分移轉,00730001
RPPNMLNKLHJGFDC47CB,太平段,5.50,都市：商,1000000,17200,持分移轉,00740000
RPQNMLRJLHJGFDC87CB,湖海段,157.64,都市：住,1000,190,持分移轉,02930000
RPQNMLTLKHJGFDC28DB,明德段,17.24,都市：住,10000,143,持分移轉,03170002
RPQNMLNKLHJGFDC57CB,太平段,2.60,都市：住,1000000,17200,持分移轉,00730000
RPQNMLNKLHJGFDC57CB,太平段,.26,都市：商,1000000,17200,持分移轉,00730001
RPQNMLNKLHJGFDC57CB,太平段,5.50,都市：商,1000000,17200,持分移轉,00740000
RPRNMLRJLHJGFDC08DB,代天府段,24.97,都市：住,100000,936,持分移轉,08980000
RPQNMLRJLHJGFDC97DB,代天府段,23.18,都市：住,100000,869,持分移轉,08980000
RPRNMLNKLHJGFDC67CB,太平段,2.60,都市：住,1000000,17200,持分移轉,00730000
RPRNMLNKLHJGFDC67CB,太平段,.26,都市：商,1000000,17200,持分移轉,00730001
RPRNMLNKLHJGFDC67CB,太平段,5.50,都市：商,1000000,17200,持分移轉,00740000
RPWNMLNKLHJGFDC18CB,太平段,1.54,都市：住,1000000,10185,持分移轉,00730000
RPWNMLNKLHJGFDC18CB,太平段,.15,都市：商,1000000,10185,持分移轉,00730001
RPWNMLNKLHJGFDC18CB,太平段,3.26,都市：商,1000000,10185,持分移轉,00740000
RPTNMLNKLHJGFDC87CB,太平段,2.15,都市：住,1000000,14237,持分移轉,00730000
RPTNMLNKLHJGFDC87CB,太平段,.21,都市：商,1000000,14237,持分移轉,00730001
RPTNMLNKLHJGFDC87CB,太平段,4.56,都市：商,1000000,14237,持分移轉,00740000
RPOOMLNKLHJGFDC47CB,太平段,1.58,都市：住,1000000,10436,持分移轉,00730000
RPOOMLNKLHJGFDC47CB,太平段,.16,都市：商,1000000,10436,持分移轉,00730001
RPOOMLNKLHJGFDC47CB,太平段,3.34,都市：商,1000000,10436,持分移轉,00740000
RPQOMLNKLHJGFDC67CB,太平段,2.01,都市：住,1000000,13285,持分移轉,00730000
RPQOMLNKLHJGFDC67CB,太平段,.20,都市：商,1000000,13285,持分移轉,00730001
RPQOMLNKLHJGFDC67CB,太平段,4.25,都市：商,1000000,13285,持分移轉,00740000
RPXNMLNKLHJGFDC28CB,太平段,1.54,都市：住,1000000,10185,持分移轉,00730000
RPXNMLNKLHJGFDC28CB,太平段,.15,都市：商,1000000,10185,持分移轉,00730001
RPXNMLNKLHJGFDC28CB,太平段,3.26,都市：商,1000000,10185,持分移轉,00740000
RPSOMLNKLHJGFDC87CB,太平段,2.60,都市：住,1000000,17200,持分移轉,00730000
RPSOMLNKLHJGFDC87CB,太平段,.26,都市：商,1000000,17200,持分移轉,00730001
RPSOMLNKLHJGFDC87CB,太平段,5.50,都市：商,1000000,17200,持分移轉,00740000
RPPNMLOKLHJGFDC57CB,太平段,2.15,都市：住,1000000,14237,持分移轉,00730000
RPPNMLOKLHJGFDC57CB,太平段,.21,都市：商,1000000,14237,持分移轉,00730001
RPPNMLOKLHJGFDC57CB,太平段,4.56,都市：商,1000000,14237,持分移轉,00740000
RPQNMLOKLHJGFDC67CB,太平段,2.15,都市：住,1000000,14237,持分移轉,00730000
RPQNMLOKLHJGFDC67CB,太平段,.21,都市：商,1000000,14237,持分移轉,00730001
RPQNMLOKLHJGFDC67CB,太平段,4.56,都市：商,1000000,14237,持分移轉,00740000
RPTNMLOKLHJGFDC97CB,太平段,2.53,都市：住,1000000,16771,持分移轉,00730000
RPTNMLOKLHJGFDC97CB,太平段,.25,都市：商,1000000,16771,持分移轉,00730001
RPTNMLOKLHJGFDC97CB,太平段,5.37,都市：商,1000000,16771,持分移轉,00740000
RPSNMLOKLHJGFDC87CB,太平段,2.53,都市：住,1000000,16771,持分移轉,00730000
RPSNMLOKLHJGFDC87CB,太平段,.25,都市：商,1000000,16771,持分移轉,00730001
RPSNMLOKLHJGFDC87CB,太平段,5.37,都市：商,1000000,16771,持分移轉,00740000
RPTOMLNKLHJGFDC97CB,太平段,2.15,都市：住,1000000,14237,持分移轉,00730000
RPTOMLNKLHJGFDC97CB,太平段,.21,都市：商,1000000,14237,持分移轉,00730001
RPTOMLNKLHJGFDC97CB,太平段,4.56,都市：商,1000000,14237,持分移轉,00740000
RPRNMLOKLHJGFDC77CB,太平段,2.48,都市：住,1000000,16433,持分移轉,00730000
RPRNMLOKLHJGFDC77CB,太平段,.25,都市：商,1000000,16433,持分移轉,00730001
RPRNMLOKLHJGFDC77CB,太平段,5.26,都市：商,1000000,16433,持分移轉,00740000
RPPNMLQKLHJGFDC87DB,明德段,17.24,都市：住,10000,143,持分移轉,03170002
RPPNMLSKLHJGFDC08DB,明德段,15.43,都市：住,10000,128,持分移轉,03170002
RPPNMLKLLHJGFDC27CB,湖海段,130.26,都市：住,1000,157,持分移轉,02930000
RPPNMLLMLHJGFDC57DB,明德段,15.43,都市：住,10000,128,持分移轉,03170002
RPPNMLQLLHJGFDC97DB,明德段,17.36,都市：住,10000,144,持分移轉,03170002
RPRNMLMLMHJGFDC77CB,長潭段,45.53,都市：住,100000,346,持分移轉,09020000
RPPNMLPLLHJGFDC87DB,明德段,17.24,都市：住,10000,143,持分移轉,03170002
RPPNMLSJMHJGFDC97CB,培德段,.06,都市：住,10000,995,持分移轉,07530001
RPPNMLSJMHJGFDC97CB,培德段,56.68,都市：住,10000,995,持分移轉,07550000
RPPNMLSJMHJGFDC97CB,培德段,.16,都市：住,10000,995,持分移轉,07550002
RPPNMLSJMHJGFDC97CB,培德段,23.70,都市：住,10000,995,持分移轉,07560000
RPPNMLSJMHJGFDC97CB,培德段,1.85,都市：住,10000,995,持分移轉,07570000
RPPNMLMLMHJGFDC57CB,長潭段,47.37,都市：住,100000,360,持分移轉,09020000
RPPNMLLJNHJGFDC47DB,明德段,15.43,都市：住,10000,128,持分移轉,03170002
RPQNMLLJNHJGFDC57DB,明德段,15.43,都市：住,10000,128,持分移轉,03170002
RPPNMLSJNHJGFDC08CB,湖海段,129.43,都市：住,1000,156,持分移轉,02930000
