編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLRJLHJGFDC87DB,坡道平面,1700000,41.49,地下三樓
RPPNMLRJLHJGFDC77CB,一樓平面,0,13.75,一樓
RPSNMLTLKHJGFDC48DB,坡道平面,1800000,38.49,地下三樓
RPQNMLRJLHJGFDC87CB,一樓平面,0,13.75,一樓
RPQNMLTLKHJGFDC28DB,坡道平面,1750000,38.49,地下三樓
RPRNMLRJLHJGFDC08DB,坡道平面,1700000,41.49,地下三樓
RPQNMLRJLHJGFDC97DB,坡道平面,1700000,41.49,地下三樓
RPRNMLNKLHJGFDC67CB,升降平面,2000000,14.77,地下二樓
RPQOMLNKLHJGFDC67CB,升降平面,1750000,13.58,地下二樓
RPTNMLOKLHJGFDC97CB,升降平面,2100000,14.77,地下一樓
RPSNMLOKLHJGFDC87CB,升降平面,1500000,14.77,地下一樓
RPRNMLOKLHJGFDC77CB,升降平面,1850000,14.77,地下二樓
RPPNMLQKLHJGFDC87DB,坡道平面,1800000,38.49,地下三樓
RPPNMLSKLHJGFDC08DB,坡道平面,1800000,38.49,地下三樓
RPPNMLKLLHJGFDC27CB,一樓平面,0,13.75,一樓
RPPNMLLMLHJGFDC57DB,坡道平面,1800000,38.49,地下三樓
RPRNMLMLMHJGFDC77CB,坡道平面,1350000,32.00,地下三樓
RPRNMLMLMHJGFDC77CB,坡道平面,1500000,38.21,地下三樓
RPPNMLMLMHJGFDC57CB,坡道平面,1350000,32.00,地下三樓
RPPNMLLJNHJGFDC47DB,坡道平面,1800000,38.49,地下三樓
RPQNMLLJNHJGFDC57DB,坡道平面,1750000,38.49,地下三樓
RPPNMLSJNHJGFDC08CB,一樓平面,0,13.75,一樓
