編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLRKKHJGFKD09CB,坡道平面,1550000,24.53,地下三樓
RPRNMLQKKHJGFDD97CB,升降機械,750000,10.05,地下一樓
RPQNMLSKKHJGFFD28CB,其他,900000,10.91,一樓
RPWNMLRKKHJGFKD66CB,坡道平面,1550000,24.53,地下三樓
RPPNMLSKKHJGFFD18CB,其他,900000,10.91,一樓
RPVNMLRKKHJGFKD56CB,坡道平面,1700000,24.53,地下二樓
RPPNMLSKKHJGFKD68CB,其他,750000,8.76,一樓
RPTNMLKLKHJGFBD47CB,坡道平面,1350000,32.94,地下五樓含以下
RPSNMLKLKHJGFBD37CB,坡道平面,1650000,32.94,地下四樓
RPUNMLKLKHJGFBD57CB,坡道平面,1600000,32.94,地下四樓
RPSNMLKLKHJGFCD47CB,坡道平面,1470000,26.25,地下一樓
RPUNMLKLKHJGFCD67CB,坡道平面,1470000,26.25,地下三樓
RPVNMLKLKHJGFCD77CB,坡道平面,1520000,26.25,地下三樓
RPTNMLKLKHJGFCD57CB,坡道平面,1360000,26.25,地下一樓
RPXNMLKLKHJGFCD97CB,坡道平面,1420000,26.25,地下三樓
RPWNMLKLKHJGFCD87CB,坡道平面,1570000,26.25,地下三樓
RPOOMLKLKHJGFCD17CB,坡道平面,1770000,26.25,地下一樓
RPPNMLKLKHJGFHD67CB,坡道平面,1600000,27.70,地下二樓
RPPOMLKLKHJGFCD27CB,坡道平面,1520000,26.25,地下三樓
RPTNMLKLKHJGFHD08CB,一樓平面,1550000,18.32,一樓
RPQNMLKLKHJGFID87CB,坡道機械,700000,15.97,地下二樓
RPVNMLKLKHJGFKD58CB,一樓平面,1750000,15.00,一樓
RPPNMLKLKHJGFKD97CB,坡道平面,1550000,31.74,地下三樓
RPPNMLLLKHJGFBD17CB,坡道平面,1350000,29.66,地下二樓
RPRNMLLLKHJGFCD47CB,坡道平面,1650000,23.91,地下三樓
RPVNMLLLKHJGFBD77CB,坡道平面,1520000,32.34,地下三樓
RPPNMLLLKHJGFID97DB,坡道平面,1530000,26.04,地下二樓
RPPNMLLLKHJGFID97DB,坡道平面,1480000,26.04,地下二樓
RPPNMLLLKHJGFKD08CB,一樓平面,1300000,16.92,一樓
RPQNMLLLKHJGFID08DB,坡道平面,1480000,26.04,地下二樓
RPQNMLLLKHJGFID08DB,坡道平面,1530000,26.04,地下二樓
RPUNMLMLKHJGFAD67CB,坡道機械,950000,13.25,地下一樓
RPQNMLMLKHJGFAD27CB,坡道平面,1880000,21.44,地下一樓
RPRNMLNLKHJGFBD57CB,坡道平面,1800000,29.43,地下一樓
RPQNMLNLKHJGFBD47CB,坡道平面,1600000,29.43,地下一樓
RPTNMLNLKHJGFBD77CB,坡道平面,1770000,29.43,地下二樓
RPSNMLNLKHJGFBD67CB,坡道平面,1800000,29.43,地下一樓
RPPNMLNLKHJGFBD37CB,坡道平面,1780000,29.43,地下二樓
RPUNMLNLKHJGFBD87CB,坡道平面,1700000,29.43,地下三樓
RPWNMLNLKHJGFBD08CB,坡道平面,1860000,29.43,地下一樓
RPVNMLNLKHJGFBD97CB,坡道平面,1720000,29.43,地下三樓
RPPNMLNLKHJGFHD97CB,坡道平面,1500000,19.84,地下二樓
RPQNMLNLKHJGFHD08CB,一樓平面,1650000,26.77,一樓
RPPNMLQLKHJGFCD77CB,坡道平面,2000000,41.16,地下一樓
RPQNMLQLKHJGFDD97CB,坡道平面,1200000,35.88,地下二樓
RPPNMLQLKHJGFDD87CB,坡道平面,1200000,35.88,地下二樓
RPQNMLQLKHJGFFD18CB,一樓平面,1000000,16.52,一樓
RPPNMLQLKHJGFHD28CB,一樓平面,1450000,27.77,一樓
