編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLPKKHJGFAD28CC,北元段,20.29,都市：住,,,,07220000
RPPNMLQKKHJGFAD57CC,金華段,240.00,都市：住,,,,01550005
RPQNMLPKKHJGFKD58CC,鹽行段,88.04,都市：住,,,,13500000
RPTNMLQKKHJGFAD97CC,新南段,239.00,都市：住,,,,00330010
RPTNMLQKKHJGFAD97CC,新南段,239.00,都市：住,,,,00330011
RPTNMLQKKHJGFAD97CC,新南段,239.00,都市：住,,,,00330012
RPTNMLQKKHJGFAD97CC,新南段,239.00,都市：住,,,,00330013
RPUNMLQKKHJGFAD08CC,新南段,239.00,都市：住,,,,00330004
RPUNMLQKKHJGFAD08CC,新南段,238.00,都市：住,,,,00330009
RPRNMLPKKHJGFKD68CC,大灣段,87.00,都市：商,,,,71780002
RPPNMLQKKHJGFID38CC,和愛段,26.25,都市：工,,,,01460000
RPPNMLQKKHJGFID38CC,和愛段,100.02,都市：工,,,,01470000
RPPNMLQKKHJGFID38CC,和愛段,23.23,都市：工,,,,01480000
RPPNMLQKKHJGFID38CC,和愛段,24.56,都市：工,,,,01430000
RPPNMLQKKHJGFID38CC,和愛段,96.88,都市：工,,,,01420000
RPPNMLQKKHJGFID38CC,和愛段,23.53,都市：工,,,,01410000
RPQNMLRKKHJGFKD78CC,建國段,1164.26,都市：工,,,,01200000
RPQNMLSKKHJGFCD08CC,富裕段,24.22,都市：住,,,,05330000
RPPNMLSKKHJGFDD08CC,華城段,82.59,都市：住,,,,02870000
RPQNMLTKKHJGFBD08CC,國安段,94.21,都市：住,,,,17270015
RPQNMLTKKHJGFDD28CC,茄苳段,70.00,都市：住,,,,07770000
RPSNMLTKKHJGFDD48CC,延平段,58.12,都市：商,,,,03990000
RPUNMLTKKHJGFHD09CC,港口段,137.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,29320004
RPUOMLTKKHJGFKD86CC,六甲頂段,25.79,都市：住,,,,12690000
RPPNMLKLKHJGFAD07CC,開元段,.02,都市：其他:廣場及停車場,,,,03610025
