編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLPKKHJGFAD28CC,坡道平面,0,19.79,地下二樓
RPPNMLQKKHJGFCD77CC,坡道平面,0,15.13,地下二樓
RPUNMLQKKHJGFKD09CC,坡道平面,0,,地下一樓
RPPNMLPKKHJGFID28CC,坡道機械,500,12.24,地下二樓
RPOOMLRKKHJGFKD68CC,坡道平面,1500,25.04,地下二樓
RPSNMLTKKHJGFAD18CC,坡道平面,0,,地下一樓
RPUNMLTKKHJGFAD38CC,坡道平面,0,,地下二樓
RPQNMLRKKHJGFHD48CC,坡道平面,0,27.88,地下二樓
RPROMLTKKHJGFAD18CC,坡道平面,0,27.08,地下三樓
RPPOMLTKKHJGFAD97CC,坡道平面,1500,,地下一樓
RPUOMLTKKHJGFCD68CC,坡道平面,3300,,地下一樓
RPROMLTKKHJGFCD38CC,坡道平面,0,32.87,地下三樓
RPSOMLTKKHJGFCD48CC,坡道平面,3300,,地下一樓
RPPNMLTKKHJGFHD58CC,坡道平面,0,13.75,一樓
RPTNMLTKKHJGFHD98CC,坡道平面,0,29.63,地下一樓
RPPNMLTKKHJGFID68CC,坡道平面,0,17.45,地下四樓
RPWNMLTKKHJGFKD96CC,坡道機械,0,,地下一樓
RPXNMLTKKHJGFKD07CC,坡道平面,0,,地下一樓
RPOOMLTKKHJGFKD88CC,坡道機械,0,,地下一樓
RPUOMLTKKHJGFKD86CC,一樓平面,0,,一樓
RPOPMLTKKHJGFCD18CC,坡道平面,3300,,地下一樓
RPSNMLKLKHJGFHD08CC,一樓平面,0,,一樓
RPPNMLKLKHJGFID87CC,坡道機械,0,11.65,地下二樓
RPVNMLKLKHJGFCD87CC,坡道平面,0,,地下一樓
RPOOMLLLKHJGFAD17CC,坡道平面,2500,26.53,地下三樓
RPPNMLLLKHJGFBD27CC,一樓平面,2500,17.25,一樓
RPPNMLLLKHJGFKD18CC,坡道機械,0,,地下二樓
RPSNMLLLKHJGFKD48CC,坡道機械,0,,地下三樓
RPXNMLMLKHJGFAD08CC,坡道平面,0,,地下三樓
RPQNMLMLKHJGFBD47CC,坡道平面,0,30.18,地下二樓
RPOOMLMLKHJGFCD47CC,坡道平面,0,,地下二樓
RPSNMLMLKHJGFID38CC,一樓平面,0,,一樓
RPPNMLPLKHJGFAD57CC,坡道機械,0,23.36,地下三樓
RPSNMLQLKHJGFAD97CC,坡道平面,0,35.79,地下一樓
RPTNMLQLKHJGFAD08CC,坡道平面,0,,地下三樓
RPQNMLQLKHJGFBD87CC,坡道平面,0,23.35,地下四樓
RPPNMLQLKHJGFID48CC,一樓平面,0,16.71,一樓
RPQNMLQLKHJGFID58CC,坡道機械,0,12.24,地下二樓
RPWNMLQLKHJGFCD58CC,坡道平面,0,,地下一樓
