編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKKHJGFBF57CB,建林段,16.83,都市：住,10000,24,持分移轉,00800000
RPPNMLNKKHJGFBF47CB,建林段,10.52,都市：住,10000,15,持分移轉,00800000
RPQNMLRKKHJGFBF97CB,力行段,.87,都市：商,1000000,1606,持分移轉,01740000
RPPNMLTKKHJGFAF97CB,永和段,15.37,都市：住,2000000,5088,持分移轉,02070000
RPQNMLRKKHJGFBF97CB,力行段,1.04,都市：商,1000000,1606,持分移轉,01750000
RPQNMLRKKHJGFBF97CB,力行段,.39,都市：商,1000000,1606,持分移轉,01760000
RPQNMLRKKHJGFBF97CB,力行段,.51,都市：商,1000000,1606,持分移轉,01770000
RPQNMLRKKHJGFBF97CB,力行段,.57,都市：商,1000000,1606,持分移轉,02220000
RPQNMLRKKHJGFBF97CB,力行段,.44,都市：商,1000000,1606,持分移轉,02230000
RPQNMLRKKHJGFBF97CB,力行段,.44,都市：商,1000000,1606,持分移轉,02230001
RPQNMLRKKHJGFBF97CB,力行段,.44,都市：商,1000000,1606,持分移轉,02230002
RPQNMLRKKHJGFBF97CB,力行段,1.22,都市：商,1000000,1606,持分移轉,02250000
RPQNMLRKKHJGFBF97CB,力行段,1.69,都市：商,1000000,1606,持分移轉,02270000
RPVNMLRKKHJGFBF48CB,建林段,10.52,都市：住,10000,15,持分移轉,00800000
RPUNMLRKKHJGFAF28CB,永翠段,8.17,都市：商,1000000,2975,持分移轉,00280000
RPPNMLOKKHJGFGF08CB,中興段,.00,都市：其他:特定專用區,1000000,570,持分移轉,14420005
RPPNMLOKKHJGFGF08CB,中興段,2.91,都市：其他:特定專用區,1000000,570,持分移轉,14420006
RPPNMLOKKHJGFGF08CB,中興段,.38,都市：其他:特定專用區,1000000,570,持分移轉,14420010
RPPNMLOKKHJGFGF08CB,中興段,.04,都市：其他:特定專用區,1000000,570,持分移轉,14610001
RPPNMLOKKHJGFGF08CB,中興段,3.36,都市：其他:特定專用區,1000000,570,持分移轉,14610000
RPPNMLOKKHJGFGF08CB,中興段,1.90,都市：其他:特定專用區,1000000,570,持分移轉,14620000
RPQNMLRKKHJGFCF08CB,中央段,4.91,都市：住,100000,2488,持分移轉,09360000
RPQNMLRKKHJGFCF08CB,中央段,4.71,都市：住,100000,2488,持分移轉,09370000
RPQNMLRKKHJGFCF08CB,中央段,4.71,都市：住,100000,2488,持分移轉,09380000
RPQNMLRKKHJGFCF08CB,中央段,4.70,都市：住,100000,2488,持分移轉,09880000
RPQNMLRKKHJGFCF08CB,中央段,4.90,都市：住,100000,2488,持分移轉,09890000
RPQNMLTKKHJGFAF08CB,永和段,19.71,都市：住,2000000,6523,持分移轉,02070000
RPRNMLRKKHJGFCF18CB,寶強段,4.34,都市：住,1000000,1814,持分移轉,08490000
RPRNMLRKKHJGFCF18CB,寶強段,.70,都市：住,1000000,1814,持分移轉,08580000
RPRNMLRKKHJGFCF18CB,寶強段,1.10,都市：住,1000000,1814,持分移轉,08590000
RPRNMLRKKHJGFCF18CB,寶強段,1.33,都市：住,1000000,1814,持分移轉,09050000
RPRNMLRKKHJGFCF18CB,寶強段,.73,都市：住,1000000,1814,持分移轉,09060000
RPRNMLRKKHJGFCF18CB,寶強段,.21,都市：住,1000000,1814,持分移轉,09070000
RPRNMLRKKHJGFCF18CB,寶強段,.11,都市：住,1000000,1814,持分移轉,09080000
RPRNMLRKKHJGFCF18CB,寶強段,.16,都市：住,1000000,1814,持分移轉,09090000
RPRNMLRKKHJGFCF18CB,寶強段,.15,都市：住,1000000,1814,持分移轉,09100000
RPRNMLRKKHJGFCF18CB,寶強段,.20,都市：住,1000000,1814,持分移轉,09110000
RPRNMLRKKHJGFCF18CB,寶強段,.06,都市：住,1000000,1814,持分移轉,09120000
RPRNMLRKKHJGFCF18CB,寶強段,.04,都市：住,1000000,1814,持分移轉,09130000
RPRNMLRKKHJGFCF18CB,寶強段,.06,都市：住,1000000,1814,持分移轉,09140000
RPRNMLRKKHJGFCF18CB,寶強段,.11,都市：住,1000000,1814,持分移轉,09150000
RPRNMLRKKHJGFCF18CB,寶強段,.09,都市：住,1000000,1814,持分移轉,09160000
RPRNMLRKKHJGFCF18CB,寶強段,.14,都市：住,1000000,1814,持分移轉,09170000
RPRNMLRKKHJGFCF18CB,寶強段,.08,都市：住,1000000,1814,持分移轉,09180000
RPRNMLRKKHJGFCF18CB,寶強段,.04,都市：住,1000000,1814,持分移轉,09190000
RPRNMLRKKHJGFCF18CB,寶強段,.05,都市：住,1000000,1814,持分移轉,09200000
RPRNMLRKKHJGFCF18CB,寶強段,1.19,都市：住,1000000,1814,持分移轉,09300000
RPRNMLRKKHJGFCF18CB,寶強段,.13,都市：住,1000000,1814,持分移轉,09300001
RPRNMLRKKHJGFCF18CB,寶強段,.11,都市：住,1000000,1814,持分移轉,09310000
RPRNMLRKKHJGFCF18CB,寶強段,.20,都市：住,1000000,1814,持分移轉,09360000
RPRNMLRKKHJGFCF18CB,寶強段,.20,都市：住,1000000,1814,持分移轉,09370000
RPRNMLRKKHJGFCF18CB,寶強段,.20,都市：住,1000000,1814,持分移轉,09380000
RPRNMLRKKHJGFCF18CB,寶強段,.26,都市：住,1000000,1814,持分移轉,09390000
RPRNMLRKKHJGFCF18CB,寶強段,.32,都市：住,1000000,1814,持分移轉,09400000
RPRNMLRKKHJGFCF18CB,寶強段,.36,都市：住,1000000,1814,持分移轉,09410000
RPRNMLRKKHJGFCF18CB,寶強段,.01,都市：住,1000000,1814,持分移轉,09430000
RPRNMLRKKHJGFCF18CB,寶強段,.44,都市：住,1000000,1814,持分移轉,09440000
RPRNMLRKKHJGFCF18CB,寶強段,.08,都市：住,1000000,1814,持分移轉,09450000
RPRNMLRKKHJGFCF18CB,寶強段,.23,都市：住,1000000,1814,持分移轉,09460000
RPRNMLRKKHJGFCF18CB,寶強段,.09,都市：住,1000000,1814,持分移轉,09470000
RPRNMLRKKHJGFCF18CB,寶強段,.24,都市：住,1000000,1814,持分移轉,09480000
RPRNMLRKKHJGFCF18CB,寶強段,.22,都市：住,1000000,1814,持分移轉,09490000
