編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLPKKHJGFBF97CC,光明段,27.04,都市：住,,,,04180000
RPXNMLPKKHJGFAF48CC,明德段,8.16,都市：商,,,,00230000
RPQOMLPKKHJGFBF97CC,榮富段,25.13,都市：住,,,,03510000
RPQOMLPKKHJGFBF97CC,榮富段,.01,都市：其他:人行步道,,,,03510001
RPUNMLPKKHJGFEF58CC,新市段,9.23,都市：商,,,,01410000
RPQNMLPKKHJGFEF18CC,飛歌段,8.35,都市：工,,,,07900003
RPUNMLQKKHJGFBF38CC,中誠段,25.52,都市：住,,,,07720000
RPVOMLPKKHJGFHF09CC,莊敬段,28.44,都市：住,,,,01450000
RPPOMLQKKHJGFBF97CC,建林段,6.30,都市：商,,,,00160000
RPXNMLQKKHJGFBF68CC,力行段,21.38,都市：商,,,,01160000
RPSNMLQKKHJGFEF48CC,中山段,26.12,都市：住,,,,04010000
RPVNMLQKKHJGFEF78CC,淡海段,12.85,都市：其他:第二種中心商業區,,,,00020000
RPXNMLQKKHJGFEF98CC,新市段,28.43,都市：住,,,,00430000
RPPNMLSKKHJGFAF97CC,光仁段,85.00,都市：住,,,,06180000
RPPNMLSKKHJGFBF08CC,麗林段,1258.20,都市：住,,,,08760000
RPQNMLSKKHJGFIF88CC,大學段一小段,19.75,都市：住,,,,01240000
RPUNMLTKKHJGFAF58CC,明德段,8.12,都市：商,,,,00230000
RPROMLRKKHJGFEF58CC,淡海段,.24,都市：住,,,,01580000
RPUOMLTKKHJGFEF09CC,龍米段,19.18,都市：住,,,,16890000
RPOPMLTKKHJGFEF58CC,中山段,15.29,都市：住,,,,00010000
RPOPMLTKKHJGFEF58CC,埤頭段,1.44,都市：住,,,,00980000
RPRNMLTKKHJGFIF09CC,大學段一小段,10.61,都市：住,,,,00110000
RPPNMLTKKHJGFDF48DC,工建段,329.13,都市：工,,,,01620000
RPXNMLKLKHJGFEF48CC,鄧公段,6.33,都市：住,,,,04590000
RPXNMLKLKHJGFEF48CC,鄧公段,20.67,都市：住,,,,04620000
RPROMLLLKHJGFAF67CC,學成段,121.88,都市：住,,,,08480000
RPOOMLKLKHJGFIF08CC,大學段一小段,9.24,都市：商,,,,00500000
RPPNMLLLKHJGFEF77CC,海天段,4.92,都市：住,,,,01900000
RPQNMLLLKHJGFEF87CC,淡海段,15.66,都市：其他:第二種中心商業區,,,,00020000
RPROMLLLKHJGFEF08CC,海鷗段,3.06,都市：住,,,,01260000
RPROMLLLKHJGFEF08CC,海鷗段,.10,都市：住,,,,01260002
RPWNMLLLKHJGFCF28CC,大豐段,28.16,都市：住,,,,03160000
RPTOMLLLKHJGFGF48CC,光華段,18.75,都市：住,,,,10800000
RPPNMLMLKHJGFBF57CC,建林段,55.59,都市：住,,,,01900000
RPQOMLLLKHJGFHF28CC,秀峰段,20.33,都市：住,,,,02810000
RPQPMLLLKHJGFEF08CC,中興段,39.80,都市：住,,,,00660000
RPTNMLMLKHJGFDF18CC,昊天段,23.30,都市：工,,,,08720000
RPTNMLMLKHJGFDF18CC,同新段,.73,都市：工,,,,00060000
