編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKNHJGFAG28EA,補城二段,449.23,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07390000
RPOOMLRKNHJGFBG28DA,深賢段,1034.37,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08690000
RPVPMLPKNHJGFBG88DA,吉祥二段,267.87,都市：其他:農業區,8,1,持分移轉,04560000
RPSOMLOKNHJGFBG38DA,五峰段,14.95,都市：其他:住宅區,10000,53,持分移轉,13370000
RPRNMLLLNHJGFBG97DA,嵐峰段,8.52,都市：其他:住宅區,100000,464,持分移轉,02720000
RPRNMLLLNHJGFBG97DA,嵐峰段,.47,都市：其他:住宅區,100000,233,持分移轉,02730000
RPPOMLPKNHJGFAG08DA,義成四段,56.24,都市：其他:住宅區,2,1,持分移轉,01310000
RPPOMLRJNHJGFBG28DA,忠義段,8.08,都市：其他:住宅區,10000,188,持分移轉,07350000
RPQNMLKLNHJGFAG77EA,義成七段,44.12,都市：其他:農業區,1,1,全筆移轉,03430000
RPSOMLRKNHJGFBG68DA,忠義段,8.16,都市：其他:住宅區,10000,159,持分移轉,07800001
RPPOMLKLNHJGFAG67DA,保安段,86.99,都市：其他:住宅區,1,1,全筆移轉,09140008
RPSNMLKKNHJGFAG77DA,碼崙段,4860.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01980000
RPSNMLKKNHJGFAG77DA,碼崙段,7200.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02580000
RPWNMLQKNHJGFBG88DA,民權段,537.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04620001
RPPOMLNKNHJGFBG97DA,吉祥一段,19.63,都市：其他:農業區,83169,1963,持分移轉,10510000
RPPOMLNKNHJGFBG97DA,吉祥一段,9.51,都市：其他:農業區,29,1,持分移轉,10520002
RPQNMLTKNHJGFBG58DA,深洲段,113.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06060000
