編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQKKHJGFAG87CB,永愛段,64.06,都市：住,1,1,全筆移轉,09180049
RPQNMLQKKHJGFAG87CB,永愛段,18.56,都市：住,1,1,全筆移轉,09180016
RPSNMLRKKHJGFAG18CB,雙賢二段,29.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,375,持分移轉,00090000
RPSNMLRKKHJGFAG18CB,雙賢二段,47.53,非都市：特定農業區 ; 非都市編定：農牧用地,10000,434,持分移轉,00070000
RPSOMLRKKHJGFAG28CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPROMLRKKHJGFAG18CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPUOMLRKKHJGFAG48CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPXNMLRKKHJGFAG68CB,雙賢二段,27.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,350,持分移轉,00090000
RPXNMLRKKHJGFAG68CB,雙賢二段,77.11,非都市：特定農業區 ; 非都市編定：農牧用地,10000,704,持分移轉,00070000
RPTOMLRKKHJGFAG38CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPQOMLRKKHJGFAG08CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPVOMLRKKHJGFAG58CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPWOMLRKKHJGFAG68CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPQNMLSKKHJGFAG08CB,永愛段,64.06,都市：住,1,1,全筆移轉,09180046
RPQNMLSKKHJGFAG08CB,永愛段,18.56,都市：住,1,1,全筆移轉,09180013
RPPNMLTKKHJGFBG28DB,外員段,8.48,都市：住,342158,4839,持分移轉,05290000
RPQNMLTKKHJGFAG18CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPXOMLRKKHJGFAG78CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPPNMLTKKHJGFBG28DB,外員段,12.30,都市：住,342158,4839,持分移轉,05300000
RPPNMLTKKHJGFBG28DB,外員段,4.00,都市：住,342158,4839,持分移轉,05340000
RPPNMLTKKHJGFBG28DB,外員段,2.08,都市：住,342158,4839,持分移轉,05360007
RPPNMLSKKHJGFAG97CB,永愛段,64.06,都市：住,1,1,全筆移轉,09180045
RPPNMLSKKHJGFAG97CB,永愛段,18.56,都市：住,1,1,全筆移轉,09180012
RPQNMLSKKHJGFBG28DB,壯濱一段,102.10,非都市：一般農業區 ; 非都市編定：甲種建築用地,1000000,38302,持分移轉,01480000
RPQNMLTKKHJGFBG38DB,外員段,12.09,都市：住,342158,6903,持分移轉,05290000
RPQNMLTKKHJGFBG38DB,外員段,17.55,都市：住,342158,6903,持分移轉,05300000
RPQNMLTKKHJGFBG38DB,外員段,5.71,都市：住,342158,6903,持分移轉,05340000
RPQNMLTKKHJGFBG38DB,外員段,2.97,都市：住,342158,6903,持分移轉,05360007
RPRNMLTKKHJGFAG28CB,大洲一段,58.49,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06400024
RPRNMLTKKHJGFAG28CB,大洲一段,30.32,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06400023
RPRNMLTKKHJGFAG28CB,大洲一段,3.67,非都市：特定農業區 ; 非都市編定：甲種建築用地,14,1,持分移轉,06400018
RPRNMLTKKHJGFAG28CB,大洲一段,9.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,5,1,持分移轉,06400029
RPQNMLSKKHJGFAG18DB,蘇聖段,26.76,都市：住,10000,460,持分移轉,03310000
RPRNMLTKKHJGFBG48DB,新張段,39.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,182233,3961,持分移轉,07190000
RPPNMLMLKHJGFAG47CB,鹿得一段,96.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02750000
RPQNMLKLKHJGFAG37CB,丸山段,30.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2884,持分移轉,00620000
RPQNMLKLKHJGFBG57DB,美城段,59.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,32947,持分移轉,03400000
RPQNMLKLKHJGFBG57DB,美城段,20.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2640,持分移轉,03400001
RPPNMLMLKHJGFAG57DB,鹿埔新段,49.42,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,8103,持分移轉,04830000
RPSNMLNLKHJGFAG87CB,山明段,113.59,都市：住,1,1,全筆移轉,06270006
RPRNMLKLKHJGFBG67DB,金六結二段,43.71,都市：住,100000,25000,持分移轉,04230000
RPRNMLKLKHJGFBG67DB,金六結二段,8.26,都市：住,100000,25000,持分移轉,04230001
RPQNMLMLKHJGFAG57CB,鹿得一段,101.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02770002
RPQNMLNLKHJGFBG77CB,過港段,36.20,都市：住,100000,2332,持分移轉,12700000
RPPNMLNLKHJGFBG67CB,武營段,.46,都市：住,100000,3842,持分移轉,03250000
RPPNMLNLKHJGFBG67CB,武營段,3.68,都市：住,100000,3842,持分移轉,03260000
RPPNMLNLKHJGFBG67CB,武營段,4.12,都市：住,100000,3842,持分移轉,03270000
RPPNMLNLKHJGFBG67CB,武營段,4.11,都市：住,100000,3842,持分移轉,03280000
RPPNMLNLKHJGFBG67CB,武營段,4.11,都市：住,100000,3842,持分移轉,03290000
RPPNMLNLKHJGFBG67CB,武營段,5.77,都市：住,100000,3842,持分移轉,03300000
RPPNMLNLKHJGFBG67CB,武營段,8.18,都市：住,100000,3842,持分移轉,03310000
RPPNMLOLKHJGFBG77CB,振興一段,22.72,都市：農,21,1,持分移轉,05850000
RPPNMLOLKHJGFBG77CB,振興一段,4.01,都市：農,21,1,持分移轉,05880000
RPPNMLOLKHJGFBG77CB,振興一段,2.44,都市：農,21,1,持分移轉,05900000
RPPNMLOLKHJGFBG77CB,振興一段,17.04,都市：農,1,1,全筆移轉,06200000
RPPNMLOLKHJGFBG77CB,振興一段,76.07,都市：農,1,1,全筆移轉,06390000
RPRNMLQLKHJGFAG08CB,太山段,36.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1970,持分移轉,03740000
RPRNMLQLKHJGFAG08CB,太山段,25.68,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2534,持分移轉,03730000
RPSNMLQLKHJGFAG18CB,太山段,43.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2340,持分移轉,03740000
RPSNMLQLKHJGFAG18CB,太山段,25.68,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2534,持分移轉,03730000
RPPNMLPLKHJGFBG87CB,白玉段,42.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4642,持分移轉,01590001
RPTNMLRLKHJGFAG38CB,柯林二段,26.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,20805,持分移轉,01560000
RPPNMLRLKHJGFAG97CB,永愛段,22.51,都市：商,100000,2120,持分移轉,05330000
RPRNMLRLKHJGFAG18CB,柯林二段,70.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02590002
RPRNMLRLKHJGFAG18CB,柯林二段,14.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02590033
RPRNMLRLKHJGFAG18CB,柯林二段,2.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,02590017
RPRNMLRLKHJGFAG18CB,柯林二段,.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,02590018
RPRNMLRLKHJGFAG18CB,柯林二段,69.44,非都市：特定農業區 ; 非都市編定：農牧用地,34,1,持分移轉,02580000
