編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKKHJGFHH68CB,善捷段,7.79,都市：住,10000,35,持分移轉,00320000
RPQNMLRKKHJGFAH08CB,中路三段,20.47,都市：住,100000,537,持分移轉,06900000
RPOOMLSKKHJGFEH58DB,新鼻段,36.40,都市：住,100000,654,持分移轉,01780000
RPPOMLSKKHJGFEH68DB,新鼻段,36.35,都市：住,100000,653,持分移轉,01780000
RPROMLSKKHJGFEH88DB,新鼻段,36.40,都市：住,100000,654,持分移轉,01780000
RPQOMLRKKHJGFCH38CB,田心子段上田心子小段,18.26,都市：住,100000,1476,持分移轉,05730000
RPQOMLSKKHJGFEH78DB,新鼻段,36.40,都市：住,100000,654,持分移轉,01780000
RPXNMLTKKHJGFAH98CB,中路二段,18.16,都市：住,10000,107,持分移轉,02190000
RPSOMLSKKHJGFEH98DB,新鼻段,35.79,都市：住,100000,643,持分移轉,01780000
RPWNMLTKKHJGFAH88CB,中路二段,24.27,都市：住,10000,143,持分移轉,02190000
RPPOMLTKKHJGFAH28CB,中路二段,18.16,都市：住,10000,107,持分移轉,02190000
RPOOMLTKKHJGFAH18CB,中路二段,18.16,都市：住,10000,107,持分移轉,02190000
RPPNMLTKKHJGFCH38CB,石門段,8.42,都市：商,100000,158,持分移轉,03100000
RPQOMLTKKHJGFAH38CB,中路二段,25.63,都市：住,10000,151,持分移轉,02190000
RPQNMLTKKHJGFCH48CB,石門段,8.42,都市：商,100000,158,持分移轉,03100000
RPRNMLTKKHJGFCH58CB,石門段,8.47,都市：商,100000,159,持分移轉,03100000
RPQNMLTKKHJGFDH58CB,新洲段,28.89,都市：住,100000,965,持分移轉,03920000
RPXNMLKLKHJGFBH28CB,豐興段,2.08,都市：商,1000000,733,持分移轉,01370000
RPXNMLKLKHJGFBH28CB,豐興段,2.35,都市：商,1000000,733,持分移轉,01380000
RPXNMLKLKHJGFBH28CB,豐興段,3.01,都市：商,1000000,733,持分移轉,01390000
RPPNMLTKKHJGFFH68CB,榮興段,23.90,非都市：一般農業區 ; 非都市編定：甲種建築用地,1000000,5396,持分移轉,07100000
RPOOMLKLKHJGFBH47CB,豐興段,2.49,都市：商,1000000,880,持分移轉,01370000
RPOOMLKLKHJGFBH47CB,豐興段,2.82,都市：商,1000000,880,持分移轉,01380000
RPOOMLKLKHJGFBH47CB,豐興段,3.61,都市：商,1000000,880,持分移轉,01390000
RPPOMLKLKHJGFBH57CB,豐興段,1.72,都市：商,1000000,609,持分移轉,01370000
RPPOMLKLKHJGFBH57CB,豐興段,1.95,都市：商,1000000,609,持分移轉,01380000
RPPOMLKLKHJGFBH57CB,豐興段,2.50,都市：商,1000000,609,持分移轉,01390000
RPQOMLKLKHJGFBH67CB,豐興段,1.52,都市：商,1000000,537,持分移轉,01370000
RPQOMLKLKHJGFBH67CB,豐興段,1.72,都市：商,1000000,537,持分移轉,01380000
RPQOMLKLKHJGFBH67CB,豐興段,2.20,都市：商,1000000,537,持分移轉,01390000
RPSOMLKLKHJGFBH87CB,豐興段,3.90,都市：商,1000000,1376,持分移轉,01370000
RPSOMLKLKHJGFBH87CB,豐興段,4.41,都市：商,1000000,1376,持分移轉,01380000
RPSOMLKLKHJGFBH87CB,豐興段,5.64,都市：商,1000000,1376,持分移轉,01390000
RPROMLKLKHJGFBH77CB,豐興段,3.90,都市：商,1000000,1376,持分移轉,01370000
RPROMLKLKHJGFBH77CB,豐興段,4.41,都市：商,1000000,1376,持分移轉,01380000
RPROMLKLKHJGFBH77CB,豐興段,5.64,都市：商,1000000,1376,持分移轉,01390000
RPVOMLKLKHJGFBH18CB,豐興段,3.84,都市：商,1000000,1358,持分移轉,01370000
RPVOMLKLKHJGFBH18CB,豐興段,4.35,都市：商,1000000,1358,持分移轉,01380000
RPVOMLKLKHJGFBH18CB,豐興段,5.57,都市：商,1000000,1358,持分移轉,01390000
RPTOMLKLKHJGFBH97CB,豐興段,3.84,都市：商,1000000,1358,持分移轉,01370000
RPTOMLKLKHJGFBH97CB,豐興段,4.35,都市：商,1000000,1358,持分移轉,01380000
RPTOMLKLKHJGFBH97CB,豐興段,5.57,都市：商,1000000,1358,持分移轉,01390000
RPXOMLKLKHJGFBH38CB,豐興段,3.84,都市：商,1000000,1358,持分移轉,01370000
RPXOMLKLKHJGFBH38CB,豐興段,4.35,都市：商,1000000,1358,持分移轉,01380000
RPXOMLKLKHJGFBH38CB,豐興段,5.57,都市：商,1000000,1358,持分移轉,01390000
RPWOMLKLKHJGFBH28CB,豐興段,3.84,都市：商,1000000,1358,持分移轉,01370000
RPWOMLKLKHJGFBH28CB,豐興段,4.35,都市：商,1000000,1358,持分移轉,01380000
