編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLTKKHJGFAI38CB,遠東段,29.74,都市：住,100000,789,持分移轉,00640000
RPPNMLNLKHJGFAI77CB,湖子內段湖美小段,84.07,都市：其他:第三種休閒專用區,1,1,全筆移轉,05210026
RPPNMLNLKHJGFAI77CB,湖子內段湖美小段,19.38,都市：其他:第三種休閒專用區,18,1,持分移轉,05210020
RPRNMLNLKHJGFAI97CB,湖子內段湖美小段,30.08,都市：住,324478,3008,持分移轉,00890000
RPPNMLRLKHJGFAI18CB,湖子內段湖美小段,32.23,都市：住,324478,3223,持分移轉,00890000
RPPNMLTKKHJGFAI28CB,遠東段,29.36,都市：住,100000,779,持分移轉,00640000
RPQNMLRLKHJGFAI28CB,遠東段,26.87,都市：住,100000,713,持分移轉,00640000
RPPNMLQLKHJGFAI08CB,湖內段,108.00,都市：住,1,1,全筆移轉,09690020
RPPNMLQLKHJGFAI08CB,湖內段,.02,都市：住,92,1,持分移轉,09690026
RPRNMLRLKHJGFAI38CB,遠東段,29.40,都市：住,100000,780,持分移轉,00640000
RPPNMLQLKHJGFAI08CB,湖內段,.14,都市：住,160,1,持分移轉,09250000
RPPNMLQLKHJGFAI08CB,湖內段,3.00,都市：住,640,3,持分移轉,09700000
RPPNMLQLKHJGFAI08CB,湖內段,.01,都市：住,640,3,持分移轉,09700001
RPPNMLQLKHJGFAI08CB,湖內段,4.52,都市：住,92,1,持分移轉,09690024
RPPNMLRLKHJGFAI28DB,台斗坑段,41.38,都市：住,10000,886,持分移轉,03780103
RPOOMLLJLHJGFAI47CB,湖子內段新民小段,23.36,都市：商,10000,42,持分移轉,03150000
RPWNMLLJLHJGFAI18CB,湖子內段新民小段,17.24,都市：商,10000,31,持分移轉,03150000
RPTNMLTLKHJGFAI78CB,湖子內段新民小段,26.87,都市：住,10000,125,持分移轉,00240000
RPSNMLTLKHJGFAI68CB,湖子內段新民小段,34.83,都市：住,10000,162,持分移轉,00240000
RPXNMLLJLHJGFAI28CB,湖子內段新民小段,17.24,都市：商,10000,31,持分移轉,03150000
RPPOMLLJLHJGFAI57CB,湖子內段新民小段,17.24,都市：商,10000,31,持分移轉,03150000
RPROMLLJLHJGFAI77CB,湖子內段新民小段,21.69,都市：商,10000,39,持分移轉,03150000
RPQOMLLJLHJGFAI67CB,湖子內段新民小段,21.69,都市：商,10000,39,持分移轉,03150000
RPSOMLLJLHJGFAI87CB,湖子內段新民小段,16.13,都市：商,10000,29,持分移轉,03150000
RPUOMLLJLHJGFAI08CB,湖子內段湖美小段,83.44,都市：其他:第三種休閒專用區,1,1,全筆移轉,05210018
RPUOMLLJLHJGFAI08CB,湖子內段湖美小段,19.38,都市：其他:第三種休閒專用區,18,1,持分移轉,05210020
RPOPMLLJLHJGFAI57CB,湖子內段湖美小段,42.05,都市：住,10000,820,持分移轉,03810000
RPPNMLOJLHJGFAI77CB,湖子內段新民小段,87.03,都市：住,1,1,全筆移轉,01610008
RPPNMLOJLHJGFAI77CB,湖子內段新民小段,22.21,都市：住,9,1,持分移轉,01610010
RPPNMLMJLHJGFAI67DB,湖子內段湖美小段,89.28,都市：其他:第一種休閒專用區,1,1,全筆移轉,05040007
