編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLTKKHJGFAI38CB,坡道平面,1200000,24.74,地下二樓
RPRNMLNLKHJGFAI97CB,坡道平面,1200000,28.43,地下二樓
RPPNMLRLKHJGFAI18CB,坡道平面,1200000,28.43,地下二樓
RPPNMLTKKHJGFAI28CB,坡道平面,1200000,24.74,地下二樓
RPQNMLRLKHJGFAI28CB,坡道平面,1200000,24.74,地下二樓
RPRNMLRLKHJGFAI38CB,坡道平面,1250000,26.70,地下二樓
RPPNMLRLKHJGFAI28DB,其他,850000,16.68,一樓
RPOOMLLJLHJGFAI47CB,坡道平面,1250000,29.27,地下三樓
RPWNMLLJLHJGFAI18CB,坡道平面,1250000,29.27,地下三樓
RPTNMLTLKHJGFAI78CB,坡道平面,1300000,28.72,地下一樓
RPSNMLTLKHJGFAI68CB,坡道平面,1200000,28.72,地下二樓
RPROMLLJLHJGFAI77CB,坡道平面,1250000,29.27,地下三樓
RPQOMLLJLHJGFAI67CB,坡道平面,1250000,29.27,地下三樓
RPSOMLLJLHJGFAI87CB,坡道平面,1250000,28.19,地下二樓
RPOPMLLJLHJGFAI57CB,一樓平面,1300000,24.75,一樓
RPPNMLOJLHJGFAI77CB,一樓平面,0,13.75,一樓
RPRNMLOJLHJGFAI97CB,一樓平面,0,13.75,一樓
RPRNMLOJLHJGFAI97CB,一樓平面,0,13.75,一樓
RPQNMLOJLHJGFAI87CB,一樓平面,0,13.75,一樓
RPQNMLOJLHJGFAI87CB,一樓平面,0,13.75,一樓
RPPNMLQJLHJGFAI97CB,坡道平面,1250000,24.74,地下一樓
RPQNMLQJLHJGFAI08CB,坡道平面,1200000,24.74,地下二樓
RPXNMLQJLHJGFAI78CB,一樓平面,1300000,17.54,一樓
RPOOMLQJLHJGFAI97CB,其他,0,,一樓
RPPOMLQJLHJGFAI08CB,一樓平面,1300000,17.54,一樓
RPPNMLRJLHJGFAI08CB,一樓平面,1300000,17.54,一樓
RPRNMLRJLHJGFAI28CB,坡道平面,1200000,13.75,二樓含以上
RPPNMLLKLHJGFAI57CB,坡道平面,1200000,28.43,地下二樓
RPQNMLLKLHJGFAI67CB,坡道平面,1200000,28.43,地下二樓
RPQNMLMKLHJGFAI77CB,坡道平面,1250000,26.70,地下二樓
RPRNMLTKKHJGFAI48CB,坡道平面,1250000,26.70,地下二樓
RPPNMLMKLHJGFAI67CB,坡道機械,880000,13.22,地下一樓
RPQNMLNKLHJGFAI87CB,坡道平面,1200000,24.74,地下二樓
RPRNMLMKLHJGFAI87CB,坡道平面,1250000,24.74,地下一樓
RPTNMLNKLHJGFAI18CB,一樓平面,1300000,17.54,一樓
RPPNMLOKLHJGFAI87CB,坡道平面,1350000,29.27,地下一樓
RPRNMLOKLHJGFAI08CB,坡道平面,1250000,29.27,地下三樓
RPSNMLOKLHJGFAI18CB,坡道平面,1250000,29.27,地下三樓
RPQNMLOKLHJGFAI97CB,坡道平面,1250000,29.27,地下三樓
RPWNMLOKLHJGFAI58CB,坡道平面,1200000,28.19,地下三樓
RPXNMLOKLHJGFAI68CB,坡道平面,1250000,29.27,地下三樓
RPPOMLOKLHJGFAI97CB,坡道平面,1250000,29.27,地下三樓
RPROMLOKLHJGFAI18CB,坡道平面,1300000,29.27,地下二樓
RPUOMLOKLHJGFAI48CB,坡道平面,1300000,29.27,地下二樓
RPTNMLOKLHJGFAI28CB,坡道平面,1350000,29.27,地下一樓
RPUNMLOKLHJGFAI38CB,坡道平面,1250000,29.27,地下三樓
RPPNMLPKLHJGFAI97CB,一樓平面,1300000,17.54,一樓
RPRNMLPKLHJGFAI18CB,一樓平面,0,,一樓
RPQNMLPKLHJGFAI08CB,一樓平面,0,,一樓
RPTNMLPKLHJGFAI38CB,一樓平面,0,,一樓
RPSNMLPKLHJGFAI28CB,一樓平面,0,,一樓
RPQNMLTKLHJGFAI48CB,坡道平面,1300000,28.43,地下一樓
RPTNMLTKLHJGFAI78CB,坡道平面,1200000,28.43,地下二樓
RPSNMLTKLHJGFAI68CB,一樓平面,0,13.75,一樓
