編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLQKKHJGFAI38CC,28,96.54,住家用,鋼筋混凝土造,84年8月16日,十九層,,
RPTNMLPKKHJGFAI38CC,30,102.08,住家用,鋼筋混凝土造,83年6月22日,十三層,,
RPSNMLQKKHJGFAI38CC,28,31.28,共有部份,鋼筋混凝土造,84年8月16日,十九層,,
RPTNMLPKKHJGFAI38CC,30,34.00,共有部份,鋼筋混凝土造,83年6月22日,十三層,,
RPVNMLPKKHJGFAI58CC,31,101.51,住家用,鋼筋混凝土造,82年6月9日,十二層,,
RPVNMLPKKHJGFAI58CC,31,18.91,共有部份,鋼筋混凝土造,82年6月9日,十二層,,
RPVNMLPKKHJGFAI58CC,31,17.42,共有部份,鋼筋混凝土造,82年6月9日,十二層,,
RPPNMLPKKHJGFAI97CC,35,31.15,商業用,鋼筋混凝土造,77年11月8日,七層,,
RPPNMLPKKHJGFAI97CC,35,5.22,共有部份,鋼筋混凝土造,77年11月8日,七層,,
RPWNMLPKKHJGFAI68CC,31,105.56,住家用,鋼筋混凝土造,82年5月4日,七層,,
RPWNMLPKKHJGFAI68CC,31,38.32,共有部份,鋼筋混凝土造,82年5月4日,七層,,
RPQNMLQKKHJGFAI18CC,6,209.91,住宅、梯間,鋼筋混凝土構造,107年5月8日,三層,,
RPRNMLQKKHJGFAI28CC,31,33.55,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPPNMLQKKHJGFAI08CC,37,241.88,住商用,鋼筋混凝土造,75年8月26日,三層,,
RPRNMLQKKHJGFAI28CC,31,5.50,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPSNMLPKKHJGFAI28CC,36,90.31,住家用,鋼筋混凝土造,77年7月9日,五層,,
RPRNMLQKKHJGFAI28CC,31,7.27,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPSNMLPKKHJGFAI28CC,37,7.94,共有部份,鋼筋混凝土造,75年11月26日,五層,,
RPSNMLPKKHJGFAI28CC,36,6.68,共有部份,鋼筋混凝土造,77年7月9日,五層,,
RPRNMLPKKHJGFAI18CC,38,83.78,住家用,鋼筋混凝土造,75年4月23日,五層,,
RPRNMLPKKHJGFAI18CC,38,14.58,共有部份,鋼筋混凝土造,75年4月23日,五層,,
RPUNMLQKKHJGFAI58CC,26,57.13,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPTNMLRKKHJGFAI58CC,31,72.55,住家用,鋼筋混凝土造,82年7月2日,六層,,
RPUNMLQKKHJGFAI58CC,26,10.80,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPTNMLRKKHJGFAI58CC,31,33.38,共有部份,鋼筋混凝土造,82年7月2日,六層,,
RPUNMLQKKHJGFAI58CC,26,11.63,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPXNMLQKKHJGFAI88CC,43,111.97,住家用,鋼筋混凝土加強磚造,69年12月29日,二層,,
RPWNMLQKKHJGFAI78CC,30,208.98,住家用,鋼筋混凝土造,83年7月6日,四層,,
RPVNMLQKKHJGFAI68CC,8,20.00,店舖、住宅,鋼筋混凝土構造,104年11月10日,五層,,
RPWNMLQKKHJGFAI78CC,30,25.90,共有部份,鋼筋混凝土造,83年7月6日,四層,,
RPTNMLQKKHJGFAI48CC,26,59.97,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPTNMLQKKHJGFAI48CC,26,11.52,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPTNMLQKKHJGFAI48CC,26,12.92,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPQNMLRKKHJGFAI28CC,31,85.64,住家用,鋼筋混凝土造,82年6月18日,十二層,,
RPQNMLRKKHJGFAI28CC,31,25.33,共有部份,鋼筋混凝土造,82年6月18日,十二層,,
RPPNMLRKKHJGFAI18CC,25,70.20,住家用,鋼筋混凝土造,88年4月21日,十四層,,
RPPNMLRKKHJGFAI18CC,25,27.11,共有部份,鋼筋混凝土造,88年4月21日,十四層,,
RPRNMLRKKHJGFAI38CC,35,31.54,住家用,鋼筋混凝土造,78年5月18日,五層,,
RPRNMLRKKHJGFAI38CC,35,2.33,共有部份,鋼筋混凝土造,78年5月18日,五層,,
RPRNMLRKKHJGFAI38CC,35,4.91,共有部份,鋼筋混凝土造,78年5月18日,五層,,
RPPNMLTKKHJGFAI38CC,36,125.96,住家用,加強磚造,76年10月19日,二層,,
RPQNMLTKKHJGFAI48CC,27,90.28,住家用,鋼筋混凝土造,85年9月20日,七層,,
RPQNMLTKKHJGFAI48CC,27,28.22,共有部份,鋼筋混凝土造,85年9月20日,七層,,
RPSNMLTKKHJGFAI68CC,33,63.33,住家用,鋼筋混凝土造,80年6月27日,十五層,,
RPSNMLTKKHJGFAI68CC,33,10.02,共有部份,鋼筋混凝土造,80年6月27日,十五層,,
RPTNMLTKKHJGFAI78CC,30,30.86,住商用,鋼筋混凝土造,83年7月8日,五層,,
RPPNMLKLKHJGFAI57CC,30,24.99,住家用,鋼筋混凝土造,83年1月27日,七層,,
RPPNMLKLKHJGFAI57CC,30,8.81,共有部份,鋼筋混凝土造,83年1月27日,七層,,
